col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41
693541,,Gloria*,114r,145,693516,909000,https://fragmentarium.ms/view/page/F-w00b/5534/52190,4165,02,4474,6,Gloria*,Gloria | Euouae,1---fg--gf--gh7---3---f--g--fd--f--g--f---3,"'0081':17A 'book':9A 'collect':12A,14A 'dominici':20B 'euouae':3A 'fragment':18A 'gloria':1A,2A,4A 'inv':19B 'manuscript':13A 'mcgill':6A 'mediev':16A 'mi':21B 'montréal':5A 'ms':15A 'rare':8A 'special':11A 'univers':7A",145,2023-06-07 20:15:20.393177+00,2023-06-07 20:15:20.393181+00,,,InV,Introit verse,Mass,693516,26,MS Medieval 0081,26,McGill University - Rare Books and Special Collections - Manuscript Collection,CDN-Mlr,Montréal,4165,2020-06-18 19:20:24.031+00,2020-06-18 19:20:24.033+00,,,MI,Mass,4474,Dominici,"Dominic, founder of the Order of Friars Preachers"
713883,,Gloria patri et filio et ,040r,161,713701,909000,,4153,02,4474,,Gloria patri et filio et spiritui sancto,,,"'222':18A '40':17A 'berlin':13A 'dominici':20B 'et':3A,5A,8A,10A 'filio':4A,9A 'gloria':1A,6A 'm':21B 'ms':16A 'mus':15A 'patri':2A,7A 'sancto':12A 'spiritui':11A 'staatsbibliothek':14A 'v':19B",161,2023-06-07 20:15:20.417915+00,2023-06-07 20:15:20.417919+00,,,V,Responsory verse,Office,713701,61,Mus. ms. 40 222,61,Staatsbibliothek Preussischer Kulturbesitz,D-B,Berlin,4153,2020-06-18 19:20:24.024+00,2020-06-18 19:20:24.026+00,,,M,Matins,4474,Dominici,"Dominic, founder of the Order of Friars Preachers"
713893,,Gloria patri et filio et ,040v,161,713701,909000,,4153,,4474,,Gloria patri et filio et spiritui sancto,,,"'222':18A '40':17A 'berlin':13A 'dominici':20B 'et':3A,5A,8A,10A 'filio':4A,9A 'gloria':1A,6A 'm':21B 'ms':16A 'mus':15A 'patri':2A,7A 'sancto':12A 'spiritui':11A 'staatsbibliothek':14A 'v':19B",161,2023-06-07 20:15:20.417915+00,2023-06-07 20:15:20.417919+00,,,V,Responsory verse,Office,713701,61,Mus. ms. 40 222,61,Staatsbibliothek Preussischer Kulturbesitz,D-B,Berlin,4153,2020-06-18 19:20:24.024+00,2020-06-18 19:20:24.026+00,,,M,Matins,4474,Dominici,"Dominic, founder of the Order of Friars Preachers"
713903,,Gloria patri et filio et,041r,161,713701,909000,,4153,,4474,,Gloria patri et filio et spiritui sancto,,,"'222':18A '40':17A 'berlin':13A 'dominici':20B 'et':3A,5A,8A,10A 'filio':4A,9A 'gloria':1A,6A 'm':21B 'ms':16A 'mus':15A 'patri':2A,7A 'sancto':12A 'spiritui':11A 'staatsbibliothek':14A 'v':19B",161,2023-06-07 20:15:20.417915+00,2023-06-07 20:15:20.417919+00,,,V,Responsory verse,Office,713701,61,Mus. ms. 40 222,61,Staatsbibliothek Preussischer Kulturbesitz,D-B,Berlin,4153,2020-06-18 19:20:24.024+00,2020-06-18 19:20:24.026+00,,,M,Matins,4474,Dominici,"Dominic, founder of the Order of Friars Preachers"
278517,,Gloria patri et filio et,030v,161,123740,909000,,4153,02,2099,3,,,,"'badija':10A 'codex':9A 'dominici':14B 'dubrovnik':6A 'et':3A,5A 'filio':4A 'franjevacki':7A 'gloria':1A 'm':15B 'patri':2A 'samostan':8A 'transl':13B 'v':12B 'xi':11A",161,2023-06-07 20:15:20.417915+00,2023-06-07 20:15:20.417919+00,,,V,Responsory verse,Office,123740,137,Codex Badija XI,137,Franjevacki samostan,HR-Dsmbb,Dubrovnik,4153,2020-06-18 19:20:24.024+00,2020-06-18 19:20:24.026+00,,,M,Matins,2099,Transl. Dominici,Moving of Dominic's relics
278520,,Gloria patri et filio et,031r,161,123740,909000,,4153,02,2099,6T,,,,"'badija':10A 'codex':9A 'dominici':14B 'dubrovnik':6A 'et':3A,5A 'filio':4A 'franjevacki':7A 'gloria':1A 'm':15B 'patri':2A 'samostan':8A 'transl':13B 'v':12B 'xi':11A",161,2023-06-07 20:15:20.417915+00,2023-06-07 20:15:20.417919+00,,,V,Responsory verse,Office,123740,137,Codex Badija XI,137,Franjevacki samostan,HR-Dsmbb,Dubrovnik,4153,2020-06-18 19:20:24.024+00,2020-06-18 19:20:24.026+00,,,M,Matins,2099,Transl. Dominici,Moving of Dominic's relics
278523,,Gloria patri et filio et,031v,161,123740,909000,,4153,02,2099,1,,,,"'badija':10A 'codex':9A 'dominici':14B 'dubrovnik':6A 'et':3A,5A 'filio':4A 'franjevacki':7A 'gloria':1A 'm':15B 'patri':2A 'samostan':8A 'transl':13B 'v':12B 'xi':11A",161,2023-06-07 20:15:20.417915+00,2023-06-07 20:15:20.417919+00,,,V,Responsory verse,Office,123740,137,Codex Badija XI,137,Franjevacki samostan,HR-Dsmbb,Dubrovnik,4153,2020-06-18 19:20:24.024+00,2020-06-18 19:20:24.026+00,,,M,Matins,2099,Transl. Dominici,Moving of Dominic's relics
278800,,Gloria patri et filio et,076v,161,123740,909000,,4153,02,4474,3S,,,,"'badija':10A 'codex':9A 'dominici':13B 'dubrovnik':6A 'et':3A,5A 'filio':4A 'franjevacki':7A 'gloria':1A 'm':14B 'patri':2A 'samostan':8A 'v':12B 'xi':11A",161,2023-06-07 20:15:20.417915+00,2023-06-07 20:15:20.417919+00,,,V,Responsory verse,Office,123740,137,Codex Badija XI,137,Franjevacki samostan,HR-Dsmbb,Dubrovnik,4153,2020-06-18 19:20:24.024+00,2020-06-18 19:20:24.026+00,,,M,Matins,4474,Dominici,"Dominic, founder of the Order of Friars Preachers"
278810,,Gloria patri et filio et,078r,161,123740,909000,,4153,02,4474,6T,,,,"'badija':10A 'codex':9A 'dominici':13B 'dubrovnik':6A 'et':3A,5A 'filio':4A 'franjevacki':7A 'gloria':1A 'm':14B 'patri':2A 'samostan':8A 'v':12B 'xi':11A",161,2023-06-07 20:15:20.417915+00,2023-06-07 20:15:20.417919+00,,,V,Responsory verse,Office,123740,137,Codex Badija XI,137,Franjevacki samostan,HR-Dsmbb,Dubrovnik,4153,2020-06-18 19:20:24.024+00,2020-06-18 19:20:24.026+00,,,M,Matins,4474,Dominici,"Dominic, founder of the Order of Friars Preachers"
278823,,Gloria patri et filio et,080r,161,123740,909000,,4153,02,4474,1S,,,,"'badija':10A 'codex':9A 'dominici':13B 'dubrovnik':6A 'et':3A,5A 'filio':4A 'franjevacki':7A 'gloria':1A 'm':14B 'patri':2A 'samostan':8A 'v':12B 'xi':11A",161,2023-06-07 20:15:20.417915+00,2023-06-07 20:15:20.417919+00,,,V,Responsory verse,Office,123740,137,Codex Badija XI,137,Franjevacki samostan,HR-Dsmbb,Dubrovnik,4153,2020-06-18 19:20:24.024+00,2020-06-18 19:20:24.026+00,,,M,Matins,4474,Dominici,"Dominic, founder of the Order of Friars Preachers"
