id,date_created,date_updated,created_by_id,last_updated_by_id,name,description,feast_code,notes,month,day,prefix,lower
2230,2023-06-07 20:15:53.696899+00,2023-07-17 18:39:40.577159+00,,,Ambrosii TP,"Ambrose, Eastertide",14040480,,4,4,14,ambrosii tp
2212,2023-06-07 20:15:56.853324+00,2023-07-17 18:39:40.659647+00,,,Annuntiatio TP,"Annunciation of Mary, Eastertide",14032580,,3,25,14,annuntiatio tp
2214,2023-06-07 20:16:09.259192+00,2023-07-17 18:39:40.646202+00,,,Benedicti TP,"Benedict, Eastertide",14032180,,3,21,14,benedicti tp
1488,2023-06-07 20:16:22.174578+00,2023-07-17 18:39:40.72788+00,,,Comm. Apostolorum sive Martyrum TP,"Common of Apostles or Martyrs, Eastertide",12801100,,,,12,comm. apostolorum sive martyrum tp
1501,2023-06-07 20:16:22.428464+00,2023-07-17 18:39:40.729257+00,,,Comm. Apostolorum TP,"Common of Apostles, Eastertide",12801000,,,,12,comm. apostolorum tp
2093,2023-06-07 20:16:23.827307+00,2023-07-17 18:39:40.738915+00,,,Comm. Evangelistarum TP,"Common of Evangelists, Eastertide",12811000,,,,12,comm. evangelistarum tp
1534,2023-06-07 20:16:24.862151+00,2023-07-17 18:39:40.743768+00,,,Comm. plurimorum Confessorum non Pontificum TP,"Common of several Confessors (not Popes), Eastertide",12805200,,,,12,comm. plurimorum confessorum non pontificum tp
1509,2023-06-07 20:16:25.271593+00,2023-07-17 18:39:40.746159+00,,,Comm. plurimorum Confessorum TP,"Common of several Confessors, Eastertide",12805000,,,,12,comm. plurimorum confessorum tp
1514,2023-06-07 20:16:27.018965+00,2023-07-17 18:39:40.753441+00,,,Comm. plurimorum Martyrum TP,"Common of several Martyrs, Eastertide",12803000,,,,12,comm. plurimorum martyrum tp
1532,2023-06-07 20:16:28.474494+00,2023-07-17 18:39:40.760548+00,,,Comm. plurimorum Virginum TP,"Common of several Virgins, Eastertide",12806000,,,,12,comm. plurimorum virginum tp
1536,2023-06-07 20:16:31.565443+00,2023-07-17 18:39:40.77635+00,,,Comm. unius Confessoris non Pontificis TP,"Common of one Confessor (not Pope), Eastertide",12804700,,,,12,comm. unius confessoris non pontificis tp
1541,2023-06-07 20:16:33.157635+00,2023-07-17 18:39:40.719391+00,,,Comm. unius Confessoris Pontificis TP,"Common of one Confessor (Pope), Eastertide",12804100,,,,12,comm. unius confessoris pontificis tp
1525,2023-06-07 20:16:34.169457+00,2023-07-17 18:39:40.720584+00,,,Comm. unius Confessoris TP,"Common of one Confessor, Eastertide",12804000,,,,12,comm. unius confessoris tp
4471,2023-06-07 20:16:37.273807+00,2023-07-17 18:39:40.783692+00,,,Comm. unius Martyris non Pontificis TP,"Common of one Martyr (not Pope), Eastertide",12802200,,,,12,comm. unius martyris non pontificis tp
1527,2023-06-07 20:16:37.898958+00,2023-07-17 18:39:40.787264+00,,,Comm. unius Martyris TP,"Common of one Martyr, Eastertide",12802000,,,,12,comm. unius martyris tp
1529,2023-06-07 20:16:38.805185+00,2023-07-17 18:39:40.855751+00,,,Comm. unius Virginis TP,"Common of one Virgin, Eastertide",12807100,,,,12,comm. unius virginis tp
1555,2023-06-07 20:16:45.649497+00,2023-07-17 18:39:40.828187+00,,,De Angelis TP,"Memorial chants for Angels, Eastertide",12813000,,,,12,de angelis tp
1563,2023-06-07 20:16:47.351893+00,2023-07-17 18:39:40.837891+00,,,De BMV TP,"Votive Office for Mary, Eastertide",15008080,,,,15,de bmv tp
1570,2023-06-07 20:16:51.983809+00,2023-07-17 18:39:40.860579+00,,,De Plur. Sanctis TP,"Common of several Saints, Eastertide",12815100,,,,12,de plur. sanctis tp
1575,2023-06-07 20:16:53.834649+00,2023-07-17 18:39:40.867828+00,,,De Sanctis TP,"Common of Saints, Eastertide",12815000,,,,12,de sanctis tp
2237,2023-06-07 20:23:38.971479+00,2023-07-17 18:39:41.475115+00,,,Hugonis TP,"Hugo, Eastertide",14040980,,4,9,14,hugonis tp
2091,2023-06-07 20:23:40.492906+00,2023-07-17 18:39:42.427245+00,,,In Dedicat. Eccl. TP,"Dedication of a Church, in Eastertide",12008080,,,,12,in dedicat. eccl. tp
1949,2023-06-07 20:24:11.606366+00,2023-07-17 18:39:41.659423+00,,,Mart. sive Conf. TP,"Common of Martyrs or Confessors, Eastertide",12802300,,,,12,mart. sive conf. tp
2096,2023-06-07 20:25:02.953694+00,2023-07-17 18:39:42.007919+00,,,Purificatio Mariae TP,"Purification of Mary, Eastertide",14020280,,,,14,purificatio mariae tp
2021,2023-06-07 20:25:27.527423+00,2023-07-17 18:39:42.477196+00,,,Suff. Annae TP,"Memorial chants for Anne, Eastertide",15072680,,,,15,suff. annae tp
2027,2023-06-07 20:25:28.792083+00,2023-07-17 18:39:42.090066+00,,,Suff. Crucis TP,"Memorial chants for the Holy Cross, Eastertide",15050380,,,,15,suff. crucis tp
2035,2023-06-07 20:25:30.231921+00,2023-07-17 18:39:42.099843+00,,,Suff. Jo. Bapt. TP,"Memorial chants for John the Baptist, Eastertide",15062480,,,,15,suff. jo. bapt. tp
2038,2023-06-07 20:25:30.909487+00,2023-07-17 18:39:40.85449+00,,,Suff. Justinae TP,"Memorial chants for Justina, Eastertide",15092680,,,,15,suff. justinae tp
2046,2023-06-07 20:25:32.90901+00,2023-07-17 18:39:42.104685+00,,,Suff. Mariae TP,"Memorial chants for Mary, Eastertide",15081580,,,,15,suff. mariae tp
2054,2023-06-07 20:25:34.378003+00,2023-07-17 18:39:42.114287+00,,,Suff. Om. Sanct. TP,"Memorial chants for All Saints, Eastertide",15110180,,,,15,suff. om. sanct. tp
2058,2023-06-07 20:25:35.077354+00,2023-07-17 18:39:42.117857+00,,,Suff. Paschae,Memorial chants for Easter,15811000,,,,15,suff. paschae
2063,2023-06-07 20:25:36.126964+00,2023-07-17 18:39:42.125009+00,,,Suff. pro Pace TP,"Memorial chants for peace, Eastertide",15001080,,,,15,suff. pro pace tp
2068,2023-06-07 20:25:37.130162+00,2023-07-17 18:39:42.132105+00,,,Suff. un. Mart. TP,"Memorial chants for one Martyr, Eastertide",15006080,,,,15,suff. un. mart. tp
