id,date_created,date_updated,created_by_id,last_updated_by_id,name,description,feast_code,notes,month,day,prefix
2722,2023-06-07 20:15:47.125774+00,2023-07-17 18:39:40.54057+00,,,Adalheidae,"Adelaide, Empress",14121600,Empress (931-999),12,16,14
4611,2024-07-13 04:19:34.5162+00,2024-07-13 04:19:34.516226+00,613,,Attalae,"Attala (Atala, Attalia, Attale) of Strasbourg, first abbess of convent of St Stephen",14120310,"Holweck, pp. 115-16;",12,3,14
2723,2023-06-07 20:16:02.803454+00,2023-07-17 18:39:40.616549+00,,,Auberti,"Aubert (Aubertus), Bishop of Cambrai",14121310,,12,13,14
2724,2023-06-07 20:16:07.264201+00,2023-07-17 18:39:40.63395+00,,,Barbarae,"Barbara, Virgin Martyr",14120400,,12,4,14
4181,2023-06-07 20:16:11.894755+00,2023-07-17 18:39:40.662015+00,,,BMV de Guadalupe,Our Lady of Guadalupe,14121210,"Holweck, p. 676; Beatae Mariae Virginis de Guadalupe;",12,12,14
2725,2023-06-07 20:16:20.760288+00,2023-07-17 18:39:42.37116+00,,,Columbae,"Columba of Sens, Virgin Martyr",14123110,,12,31,14
2726,2023-06-07 20:16:40.221106+00,2023-07-17 18:39:40.797012+00,,,Conceptio Mariae,Immaculate Conception of Mary,14120800,,12,8,14
2727,2023-06-07 20:16:45.003898+00,2023-07-17 18:39:40.823456+00,,,Damasi,"Damasus, Pope",14121100,,12,11,14
4618,2024-10-08 20:08:25.030529+00,2024-10-08 20:13:51.073831+00,613,613,Dominici Silensis,"Dominic of Silos, Abbot",14122010,Holweck p. 286;,12,20,14
2733,2023-06-07 20:17:40.66751+00,2023-07-17 18:39:41.07747+00,,,Egwini,"Egwin, Bishop of Worcester",14123000,,12,30,14
2734,2023-06-07 20:17:42.042677+00,2023-07-17 18:39:41.088421+00,,,Eligii,"Eligius (Eloi), Bishop of Noyon",14120100,,12,1,14
4189,2023-06-07 20:17:49.383605+00,2023-07-17 18:39:41.104222+00,,,Eucharii,"Eucharius, First Bishop of Trier",14120810,,12,8,14
4557,2023-06-07 20:17:49.670295+00,2023-07-17 18:39:41.106561+00,,,Eulaliae Emeritensis,"Eulalia of Mérida, Virgin Martyr",14121010,"Holweck, pp. 337-38;",12,10,14
2735,2023-06-07 20:17:50.825431+00,2023-07-17 18:39:41.115016+00,,,Eustratii et Soc.,"Eustratius et al, Martyrs",14121350,,12,13,14
2769,2023-06-07 20:17:52.178827+00,2023-07-17 18:39:41.123386+00,,,Exspectationis BMV,The Expectation of Mary (The Expectation of the Birth of Jesus),14121810,,12,18,14
