id,title,mode,service_name,manuscript_full_text
232322,,*,V2,Beata es virgo
232883,,*,V2,Beata cecilia
243395,,*,V2,Beatam me
411069,,*,V2,Beata nobis gaudia
411091,,*,V2,Beata nobis
457378,,*,V2,Beata es maria. Beatus vir
457379,,*,V2,Beatam me dicent. Laudate pueri
459288,,*,V2,Beata es virgo maria
472338,,*,V2,Beata es maria
472339,,*,V2,Beatam me dicent
474180,,*,V2,Beata es virgo maria
514762,,*,V2,Beatam
514803,,*,V2,Beatam
514856,,*,V2,Beatam me dicent
517443,,*,V2,Beata nobis
517469,,*,V2,Beata nobis
517489,,*,V2,Beata nobis
522466,,*,V2,Beatam
522507,,*,V2,Beatam
522548,,*,V2,Beatam me dicent
614801,,*,V2,Beatam me dicent
677251,,*,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluia
392117,,5,V2,Beata nobis gaudia anni reduxit orbita nam victorini et floriani corpora ad nostra hodie venerunt limina 
496258,,5,V2,Beata augusta de muro sedule orabat dicens domine deus suspice filium meum quia romani amputaverunt caput eius | euouae
231607,,7,V2,Beata agathes ingressa carcerem expandit manus suas ad deum et dixit domine qui me fecisti vincere tormenta carnificum iube me domine ad tuam misericordiam pervenire | euouae 
242360,,7,V2,Beata agathes ingressa carcerem expandit manus suas ad deum et dixit domine qui me fecisti vincere tormenta carnificum iube me domine ad tuam misericordiam pervenire
246413,,7,V2,Beata agathes ingressa carcerem expandit manus suas ad deum et dixit domine qui me fecisti vincere tormenta carnificum iube me domine ad tuam misericordiam pervenire
288562,,7,V2,Beata agathes ingressa carcerem expandit manus suas ad deum et dixit domine qui me fecisti vincere tormenta carnificum iube me domine ad tuam misericordiam pervenire
457257,,7,V2,Beata Agathes ingressa carcerem expandit manus suas ad deum et dixit Domine qui me fecisti vincere tormenta carnificum iube me domine ad tuam misericordiam pervenire
472182,,7,V2,Beata agathes ingressa carcerem expandit manus suas ad deum et dixit domine qui me fecisti vincere tormenta carnificum iube me domine ad tuam misericordiam pervenire
493318,,7,V2,Beata agathes ingressa carcerem expandit manus suas ad deum et dixit domine qui me fecisti vincere tormenta carnificum iube me domine ad tuam misericordiam pervenire
170311,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluia | ~Magnificat
170313,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus | ~Magnificat
200029,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluya | euouae
200079,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit dominus | euouae | ~Magnus
203777,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino
228424,,8,V2,Beata es maria que credidisti perfitientur in te que dicta sunt tibi a domino alleluia | euouae
