chant_id,title,incipit,genre_name,source_siglum,institution_siglum
149368,,Domine virtus et laetitia,A,GB-AB 20541 E,GB-AB
149442,,Domine suscipe me ut cum,A,GB-AB 20541 E,GB-AB
149995,,Domine deus meus in te,A,GB-AB 20541 E,GB-AB
149998,,Domine ne in ira tua arguas,R,GB-AB 20541 E,GB-AB
150018,,Domine in virtute tua,A,GB-AB 20541 E,GB-AB
150023,,Domine dilexi decorem domus,V,GB-AB 20541 E,GB-AB
150029,,Domine deus Israel exaudi,V,GB-AB 20541 E,GB-AB
150079,,Domine in caelo misericordia,W,GB-AB 20541 E,GB-AB
150141,,Domine ne in ira tua arguas,V,GB-AB 20541 E,GB-AB
150193,,Domine deus in adjutorium,A,GB-AB 20541 E,GB-AB
150208,,Domine refugium factus est,A,GB-AB 20541 E,GB-AB
150241,,Domine audivi auditum tuum et,A,GB-AB 20541 E,GB-AB
150247,,Domine probasti me et,A,GB-AB 20541 E,GB-AB
150249,,Domine clamavi ad te et,A,GB-AB 20541 E,GB-AB
150262,,Domine exaudi orationem meam,W,GB-AB 20541 E,GB-AB
150265,,Domine exaudi orationem meam,R,GB-AB 20541 E,GB-AB
150285,,Domine puer meus jacet,A,GB-AB 20541 E,GB-AB
150288,,Domine non est bonum semen,A,GB-AB 20541 E,GB-AB
150390,,Domine refugium factus es,W,GB-AB 20541 E,GB-AB
150450,,Domine refugium*,W,GB-AB 20541 E,GB-AB
150475,,Domine non secundum peccata,W,GB-AB 20541 E,GB-AB
150478,,Domine puer meus jacet,A,GB-AB 20541 E,GB-AB
150479,,Domine non sum dignus ut,A,GB-AB 20541 E,GB-AB
150606,,Domine deus Israel exaudi,V,GB-AB 20541 E,GB-AB
150626,,Domine bonum est nos hic ,A,GB-AB 20541 E,GB-AB
150661,,Domine labia mea aperies et,A,GB-AB 20541 E,GB-AB
150863,,Domine vim patior responde,A,GB-AB 20541 E,GB-AB
150979,,Domine abstraxisti ab inferis,A,GB-AB 20541 E,GB-AB
151686,,Domine qui custodit pactum et,V,GB-AB 20541 E,GB-AB
151689,,Domine si conversus fuerit,R,GB-AB 20541 E,GB-AB
151765,,Domine pater et deus vitae,V,GB-AB 20541 E,GB-AB
151766,,Domine pater et deus vitae,R,GB-AB 20541 E,GB-AB
151822,,Domine deus qui conteris,R,GB-AB 20541 E,GB-AB
151824,,Domine rex omnipotens*,R,GB-AB 20541 E,GB-AB
151829,,Domine rex omnipotens in,R,GB-AB 20541 E,GB-AB
151834,,Domine deus caeli et terrae,V,GB-AB 20541 E,GB-AB
151974,,Domine si conversus fuerit,V,GB-AB 20541 E,GB-AB
152014,,Domine clamavi ad te exaudi,A,GB-AB 20541 E,GB-AB
152083,,Domine Jesu Christe magister,A,GB-AB 20541 E,GB-AB
152583,,Domine ostende nobis patrem,A,GB-AB 20541 E,GB-AB
152591,,Domine ostende*,A,GB-AB 20541 E,GB-AB
