id,title,incipit,source_id,cantus_id,siglum,source_title
248197,,Doleo super te frater mi,123611,002321,A-Gu 30,"Graz, Universitätsbibliothek, 30 (olim 38/9 f.)"
286673,,Doleo super te frater mi,123613,002321,A-KN CCl 1012,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1012"
294466,,Doleo super te frater mi,123616,002321,A-KN CCl 1018,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1018"
305260,,Doleo super te frater mi,123656,002321,A-KN CCl 589,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 589"
307343,,Doleo super te frater mi,123660,002321,A-KR VI/258,"Kremsmünster, Benediktiner-Stift Kremsmünster - Musikarchiv, Schachtel VI/258"
338263,,Doleo super te frater mi,123617,002321,A-LIb 290,"Linz, Oberösterreichische Landesbibliothek, 290 (olim 183; olim Gamma p 19)"
439773,,Doleo super te frater mi,123658,002321,A-SF XI 480,"Sankt Florian, Augustiner-Chorherrenstift - Bibliothek und Musikarchiv, XI 480"
509150,,Doleo super te frater mi,123643,002321,A-VOR 287,"Vorau, Stiftsbibliothek, 287 (olim XXIX)"
510686,,Doleo super te frater mi,123644,002321,A-Wda C-10,"Wien, Diözesanarchiv, C-10"
534860,,Doleo super te frater mi,123649,002321,A-Wda D-4,"Wien, Diözesanarchiv, D-4"
554093,,Doleo super te frater mi ,123713,002321,A-Wn Cod. 1890,"Wien, Österreichische Nationalbibliothek - Musiksammlung, Cod. 1890"
230638,,Doleo super te frater mi,123606,002321,CH-E 611,"Einsiedeln, Stiftsbibliothek, 611"
181060,,Doleo super te frater mi,123714,002321,D-AAm G 20,"Aachen (Aix-la-Chapelle), Domarchiv, G 20"
199181,,Doleo super te frater mi,123688,002321,D-B Mus. 40047,"Berlin, Staatsbibliothek Preussischer Kulturbesitz, Mus. 40047"
187105,,Doleo super te frater mi,123594,002321,D-BAs Msc.Lit.25,"Bamberg, Staatsbibliothek, Msc.Lit.25 (olim Ed.IV.11)"
258045,,Doleo super te frater mi,123685,002321,D-FUl Aa 55,"Fulda, Hessische Landesbibliothek, Aa 55"
619119,,Doleo super te frater mi,123612,002321,D-KA Aug. LX,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, Aug. LX"
334012,,Doleo super te frater mi ,123741,002321,D-KNd 215,"Köln, Erzbischöfliche Diözesan- und Dombibliothek, 215"
348796,,Doleo super te frater mi,123623,002321,D-MZb D,"Mainz, Bischöfliches Dom- und Diözesanmuseum, D"
377095,,Doleo super te frater mi,123684,002321,D-Mbs Clm 4306,"München, Bayerische Staatsbibliothek, Clm 4306"
435463,,Doleo super te frater mi,123637,002321,D-Sl HB.I.55,"Stuttgart, Württembergische Landesbibliothek, HB.I.55"
312686,,Doleo super te frater mi,123696,002321,DK-Kk 3449 8o [08] VIII,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [08] VIII"
481724,,Doleo super te frater mi,123638,002321,E-Tc 44.1,"Toledo, Catedral - Archivo y Biblioteca Capitulares, 44.1"
487244,,Doleo super te frater mi,123639,002321,E-Tc 44.2,"Toledo, Catedral - Archivo y Biblioteca Capitulares, 44.2"
202384,,Doleo super te frater mi,123601,002321,F-CA 38,"Cambrai, Bibliothèque municipale, 38 (olim 40)"
450707,,Doleo super te*,123663,002321,F-Pn Lat. 1085,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1085"
395617,,Doleo super te frater mi,123627,002321,F-Pn Lat. 1090,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1090"
395618,,Doleo super te frater mi,123627,002321,F-Pn Lat. 1090,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1090"
401442,,Doleo super te frater mi ,123628,002321,F-Pn Lat. 12044,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12044"
407782,,Doleo super te frater mi,123630,002321,F-Pn Lat. 12601,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12601"
418187,,Doleo super te frater mi,123633,002321,F-Pn NAL 1535,"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1535"
500935,,Doleo super te frater mi,123642,002321,F-VAL 114,"Valenciennes, Bibliothèque municipale, 114"
382063,,Doleo super te frater mi,123687,002321,GB-Ob MS. Canon. Liturg. 202,"Oxford, Bodleian Library, MS. Canon. Liturg. 202"
386086,,Doleo super te frater mi,123707,002321,GB-Ob MS. Laud Misc. 284,"Oxford, Bodleian Library, MS. Laud Misc. 284"
275861,,Doleo super te frater mi,123737,002321,HR-Dsmbb III,"Dubrovnik, Franjevacki samostan, Codex Badija III"
163573,,Doleo super te frater mi,123666,002321,I-AO 6,"Aosta, Seminario Maggiore - Biblioteca, 6"
174559,,Doleo super te frater mi,123675,002321,I-Ad 5,"Assisi, Cattedrale San Rufino - Archivio e Biblioteca, 5"
237639,,Doleo super te frater mi,123607,002321,I-Far s.c.,"Firenze (Florence), Arcivescovado - Biblioteca, s.c."
370203,,Doleo super te frater mi,123680,002321,I-Lc 601,"Lucca, Biblioteca Capitolare Feliniana e Biblioteca Arcivescovile, 601"
355025,,Doleo super te frater mi,123626,002321,I-MZ 15/79,"Monza, Biblioteca capitolare, 15/79"
428587,,Doleo super te frater mi,123635,002321,I-Rv C.5,"Roma, Biblioteca Vallicelliana, C.5"
569375,,Doleo super te frater mi,123758,002321,I-VCd LXII,"Vercelli, Biblioteca Capitolare, LXII"
576756,,Doleo super te frater mi,123763,002321,I-VCd LXIV,"Vercelli, Biblioteca Capitolare, LXIV"
584410,,Doleo super te frater mi ,123765,002321,I-VCd LXXIX,"Vercelli, Biblioteca Capitolare, LXXIX"
389017,,Doleo super te frater mi,123724,002321,MA Impr. 1537,Münster Antiphoner (1537)
326747,,Doleo super te frater mi ,123736,002321,PL-KIk 1,"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1"
597655,,Doleo super te frater mi,589069,002321,PL-WRu I F 401,"Wroclaw, Biblioteka Uniwersytecka, I F 401"
563040,,Doleo super te frater mi,123756,002321,PL-WRu R 503,"Wroclaw, Biblioteka Uniwersytecka, Ms. R 503"
356856,,Doleo super te frater mi,123659,002321,SI-Lna 19 (olim 18),"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 19 (olim 18)"
263162,,Doleo super te frater mi,123706,002321,TR-Itks 42,"Istanbul, Topkapı Sarayı Müzesi, Deissmann 42"
218875,,Doleo super te frater mi,123661,002321,V-CVbav B.79,"Città del Vaticano, Biblioteca Apostolica Vaticana, San Pietro B.79"
