id,title,service_name,feast_name,institution_siglum
247356,,M,Pro defunctis,A-Gu
247357,,M,Pro defunctis,A-Gu
247358,,M,Pro defunctis,A-Gu
247359,,M,Pro defunctis,A-Gu
247360,,M,Pro defunctis,A-Gu
247361,,M,Pro defunctis,A-Gu
247362,,M,Pro defunctis,A-Gu
247363,,M,Pro defunctis,A-Gu
247365,,M,Pro defunctis,A-Gu
247367,,M,Pro defunctis,A-Gu
294818,,M,Pro defunctis,A-KN
294819,,M,Pro defunctis,A-KN
300003,,M,Pro defunctis,A-KN
300004,,M,Pro defunctis,A-KN
300007,,M,Pro defunctis,A-KN
300008,,M,Pro defunctis,A-KN
302671,,M,Pro defunctis,A-KN
302672,,M,Pro defunctis,A-KN
302675,,M,Pro defunctis,A-KN
302676,,M,Pro defunctis,A-KN
305565,,M,Pro defunctis,A-KN
305566,,M,Pro defunctis,A-KN
439911,,M,De Prophetis,A-SF
688822,,M,Pro defunctis,CDN-Mlr
460456,,M,Pro defunctis,CH-SGs
460457,,M,Pro defunctis,CH-SGs
460458,,M,Pro defunctis,CH-SGs
460459,,M,Pro defunctis,CH-SGs
460467,,M,Pro defunctis,CH-SGs
460468,,M,Pro defunctis,CH-SGs
460469,,M,Pro defunctis,CH-SGs
460477,,M,Pro defunctis,CH-SGs
460478,,M,Pro defunctis,CH-SGs
460479,,M,Pro defunctis,CH-SGs
460483,,M,Pro defunctis,CH-SGs
460487,,M,Pro defunctis,CH-SGs
460724,,M,De Prophetis,CH-SGs
184640,,M,Pro defunctis,D-AAm
199368,,M,De Prophetis,D-B
334869,,M,Pro defunctis,D-KNd
334870,,M,Pro defunctis,D-KNd
334871,,M,Pro defunctis,D-KNd
334872,,M,Pro defunctis,D-KNd
334876,,M,Pro defunctis,D-KNd
334877,,M,Pro defunctis,D-KNd
334878,,M,Pro defunctis,D-KNd
334879,,M,Pro defunctis,D-KNd
334880,,M,Pro defunctis,D-KNd
334881,,M,Pro defunctis,D-KNd
334884,,M,Pro defunctis,D-KNd
334885,,M,Pro defunctis,D-KNd
334886,,M,Pro defunctis,D-KNd
334887,,M,Pro defunctis,D-KNd
334888,,M,Pro defunctis,D-KNd
334889,,M,Pro defunctis,D-KNd
334890,,M,Pro defunctis,D-KNd
334892,,M,Pro defunctis,D-KNd
334894,,M,Pro defunctis,D-KNd
334895,,M,Pro defunctis,D-KNd
334896,,M,Pro defunctis,D-KNd
334897,,M,Pro defunctis,D-KNd
334898,,M,Pro defunctis,D-KNd
334899,,M,Pro defunctis,D-KNd
334910,,M,Pro defunctis,D-KNd
334911,,M,Pro defunctis,D-KNd
334912,,M,Pro defunctis,D-KNd
334921,,M,Pro defunctis,D-KNd
334922,,M,Pro defunctis,D-KNd
334931,,M,Pro defunctis,D-KNd
334933,,M,Pro defunctis,D-KNd
334940,,M,Pro defunctis,D-KNd
334941,,M,Pro defunctis,D-KNd
334942,,M,Pro defunctis,D-KNd
334943,,M,Pro defunctis,D-KNd
334944,,M,Pro defunctis,D-KNd
334945,,M,Pro defunctis,D-KNd
435795,,M,Pro defunctis,D-Sl
435796,,M,Pro defunctis,D-Sl
435797,,M,Pro defunctis,D-Sl
435798,,M,Pro defunctis,D-Sl
435799,,M,Pro defunctis,D-Sl
435800,,M,Pro defunctis,D-Sl
435805,,M,Pro defunctis,D-Sl
435806,,M,Pro defunctis,D-Sl
435807,,M,Pro defunctis,D-Sl
435808,,M,Pro defunctis,D-Sl
435809,,M,Pro defunctis,D-Sl
435810,,M,Pro defunctis,D-Sl
435813,,M,Pro defunctis,D-Sl
435814,,M,Pro defunctis,D-Sl
436809,,M,Pro defunctis,E-SA
398299,,M,Pro defunctis,F-Pn
398300,,M,Pro defunctis,F-Pn
398308,,M,Pro defunctis,F-Pn
408062,,M,De Prophetis,F-Pn
415889,,M,Pro defunctis,F-Pn
419438,,M,Pro defunctis,F-Pn
451008,,M,De Prophetis,F-Pn
451038,,M,De Prophetis,F-Pn
451052,,M,De Prophetis,F-Pn
451058,,M,De Prophetis,F-Pn
451059,,M,De Prophetis,F-Pn
386262,,M,De Prophetis,GB-Ob
163730,,M,De Prophetis,I-AO
170271,,M,Pro defunctis,I-Ac
237938,,M,Pro defunctis,I-Far
237939,,M,Pro defunctis,I-Far
431049,,M,Pro defunctis,I-Rv
327053,,M,De Prophetis,PL-KIk
330135,,M,Pro defunctis,PL-KIk
599322,,M,De Prophetis,PL-WRu
358986,,M,Pro defunctis,SI-Lna
