record_type,id,title,incipit,siglum,manuscript_full_text
chant,243157,,Custodit dominus omnes diligentes se,A-Gu 29,Custodit dominus omnes diligentes se
chant,244066,,Custodit dominus omnes diligentes se,A-Gu 29,Custodit dominus omnes diligentes se
chant,244739,,Dum fortis armatus custodit atrium,A-Gu 29,Dum fortis armatus custodit atrium suum in pace sunt omnia que possidet  si autem forcior illo supervenienes vicerunt enim universa arma eius aufferet et spolia eius distribuet 
chant,246994,,Qui odit animam suam in,A-Gu 29,Qui odit animam suam in hoc mundo in vitam eternam custodit eam
chant,247379,,Dominus custodit te ab omni,A-Gu 29,Dominus custodit te ab omni malo custodiat animam tuam dominus
chant,251921,,Est secretum Valeriane quod tibi,A-Gu 30,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,252513,,Qui odit animam suam in ,A-Gu 30,Qui odit animam suam in hoc mundo in vitam eternam custodit eam | ~Beatus vir
chant,653946,,Dum fortis armatus custodit atrium,A-Gu Ms. 211,Cum fortis armatus custodit atrium suum in pace sunt omnia quae possidet
chant,658415,,Vos autem estote fortes et,A-Gu Ms. 211,Vos autem estote fortes et custodite quae a me accepistis quia non videbitis amplius faciem meam
chant,663225,,Est secretum Valeriane quod tibi,A-Gu Ms. 211,Et secretum Valeriane quod tibi volo dicere angelum dei habeo amatore qui nimio zelo custodit corpus meum
chant,663246,,Est secretum Valeriane quod tibi ,A-Gu Ms. 211,Est secretum Valeriane quod tibi volo dicere angelum dei habeo amatore qui nimio zelo custodit corpus meum
chant,296840,,Dum fortis armatus custodit,A-KN 1010,
chant,299468,,Dum fortis armatus custodit,A-KN 1011,
chant,286133,,Est secretum Valeriane quod tibi,A-KN 1012,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | ~Et non
chant,286153,,Est secretum Valeriane quod tibi ,A-KN 1012,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,289044,,Dum fortis armatus custodit atrium,A-KN 1013,Dum fortis armatus custodit atrium suum in pace sunt omnia que possidet
chant,302129,,Dum fortis armatus custodit,A-KN 1015,
chant,291679,,Dum fortis armatus custodit,A-KN 1017,
chant,294083,,Est secretum Valeriane quod tibi,A-KN 1018,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | ~Et non diebus
chant,294103,,Est secretum Valeriane quod tibi ,A-KN 1018,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,337218,,Dum fortis armatus custodit,A-LIs 290,
chant,438457,,Dum fortis armatus custodit,A-SF XI 480,
chant,505598,,Cum fortis armatus custodit,A-VOR 287,
chant,509671,,Caeli dei judicia custodit,A-VOR 287,
chant,509694,,Sic a deo custoditur virgo,A-VOR 287,
