siglum,id,type,title,incipit
A-Gu,247356,chant,,Libera me domine de morte 
A-Gu,247357,chant,,Judex clementissime in regnum tuum
A-Gu,247358,chant,,Dies illa dies irae calamitatis 
A-Gu,247359,chant,,Christe te deprecor miserere pro 
A-Gu,247360,chant,,Deus vitam viventium spes morientium 
A-Gu,247361,chant,,Creator omnium rerum deus qui 
A-Gu,247362,chant,,Fletus et stridor dentium (...)
A-Gu,247363,chant,,Hujus mundi decus et gloria 
A-Gu,247365,chant,,Virgo dei genetrix stella maris 
A-Gu,247367,chant,,Aurum et argentum non liberabit 
A-KN,294818,chant,,Absolve domine animas eorum ab
A-KN,294819,chant,,Sique illis sint domine digne
A-KN,300003,chant,,Libera me domine de viis
A-KN,300004,chant,,Clamantes et dicentes advenisti redemptor
A-KN,300007,chant,,Putasne mortuus homo rursum vivat
A-KN,300008,chant,,Ecce in pulvere sedeo et
A-KN,302671,chant,,Libera me domine de viis
A-KN,302672,chant,,Clamantes et dicentes
A-KN,302675,chant,,Putasne mortuus homo rursum
A-KN,302676,chant,,Ecce in pulvere sedeo et 
A-KN,305565,chant,,Absolve domine animas eorum
A-KN,305566,chant,,Si quae illis sint domine
A-SF,439911,chant,,Laudabilem virum adoremus in
CDN-Mlr,688822,chant,,Requiem aeternam dona eis domine 
CH-SGs,460456,chant,,Regem vivorum acquiescentium dominum venite
CH-SGs,460457,chant,,Dirige domine deus meus in
CH-SGs,460458,chant,,Convertere domine et eripe animam
CH-SGs,460459,chant,,Nequando rapiat ut leo animam
CH-SGs,460467,chant,,In loco pascuae ibi me
CH-SGs,460468,chant,,Delicta juventutis meae et ignorantias
CH-SGs,460469,chant,,Credo videre bona domini in
CH-SGs,460477,chant,,Anima mea exsultabit in domino
CH-SGs,460478,chant,,Complaceat tibi domine ut eripias
CH-SGs,460479,chant,,Sitivit anima mea ad deum
CH-SGs,460483,chant,,Libera me domine de viis
CH-SGs,460487,chant,,Libera me domine de morte
