id,title,siglum,mode,volpiano
250109,,A-Gu,2,
284821,,A-KN,2,1---a7--cdf--d---cff---gffed-feD--dc---dfec--ef--gffe---dffede--fd---f---fgh--hgge--fg---fgffede--fd7---da--c---df--d--d---dF--d---df--d---df--d--d---cef-gfe-ef-gfg--gf---3---c---dF7--f--def---dC--df--dfcd--cdc-bab-ba---ab--cdC--cdef-gfe-efgfg--gf---fgh--h-ghfd-cdfg-hfgfe--defef--ed7---4
284822,,A-KN,2,1---d--c--cdffG--f---gh--g--f---fE--fg---ef--d--defe--fd---d--defedc--d--fe-fgf7---fedf--dc---3---6------6---3
284863,,A-KN,2,1---a--a--cdfD--d7---d--d--f---fe-fgdf--dc---def-gffe--d--dffede--fd---f--fhgf--fd--g---fgfede--fd---3---da--c7---df--d--d---dF--d---df--d---df--d--d---dcdf-gfe-efgfg--gf---fghG--h-ghfd-cdfg-hfgfe77--dfef--ed---4
284923,,A-KN,2,1---a--a--cfd--d---ff--fg---gffed-feD--dc---dC---c-dfD--d7---f--fe-ffcd--def-gffe---dffede--fd---d---cdef-g--f--f---fE--fg--fgffede--fd---defedc--defe-fgf---fedf77--dc---3---d--dfD--c---a---dfec--def-gffe---dffede--fd---4
284924,,A-KN,2,1---d--cdeffG--f---f7---f---fg--ef--dfe--fd---d---d--efedc--d--fe-fgf---fedf--dc---3---6------6---3
284977,,A-KN,2,1---cd--d---d-efd--d---d--d--c--d---fe--fgF--d--d7---dca-bcd--d---dF---d---dC--d--fd--cd--c---c--dF--ffed--fd---cD---d--d---dg7---gfd--d---fe--dc--d--c---a---cD--d--d---d---d--c--def--dC---defg--fE--d--d---d---fG7--g---g--gf--ghG--fed--d---d---d--c--d--f--ef---g--fe--d--d---4---6------6---3---7f--f--f--f--cd--d---3
285050,,A-KN,2,1---cd--dfddc---cd--ffg--f---ef-gfgfe--defef--ed---f7--ef---d--dC--dfcd--cdbcca---cdf--f---ef-gfgfe--dfef--ed---3---c--d--fghgf-egfg--fgeffd---fe--fg7--fe--d---cd---dfcd--cdbcca---cd--df-ff-fdc-cdef--f---ef-gfgfe--fd--defef--ed---4
285051,,A-KN,2,1---cdef-g--f---gh--g---fg--f7--fe---fg---ef--defe---fd---d--cd---df--d---d---d--df--d--d---df--d7---d--df--d---defedc---d--fe-fgf---fedf--dc---3---6------6---3
285059,,A-KN,2,1---a--cdf--d--d---f---fe-fgdf--dc---d--dfec--ff---gffe--d--dffede--fd---f---fghg-hkh--g7---fe--fg---fg--ffede--fd---cdffedc---d--fefgf---fedf--dc---3---dfec--def-gffe---df-fede--fd---4
285060,,A-KN,2,1---c-def-g--f7---gh--g---3---6------6---3
285123,,A-KN,2,1---d--cd--d--cb--a---c--d--f---cd--fd--d---d--f--gF--d--gF---d--cd7--d---dC--a9d--d---dg-h--g---g--f--g---fe--d--cd--d---cB---c--d--f--c---a97---cD--d---3---6------6---3---7f--f--f--cd--d---3
285127,,A-KN,2,1---d---cdcd-efg--fe--d---df--d---cA---c--df--fed--d---dg---g-fg-hg--fed---df--d---c--a7--cdf--cd--d---dg..--g-fg-hgF--ed---fe--cd--d---d--dC--de-fg--d---3---d--h--gh--h---h--fgh--d77---fec-ddcba-cdcd-de-fg--dcb-cd--d---4
285145,,A-KN,2,1---dC--dcad---d--cd--dfecd---dh--h--ghk-gfd--fgfd---fdcD7--ddca-cD--d---dg--hggd---ggfef--d-cc-ca9-bcd-df-gfed--cd---d--d---gg-efd--ddc--a--bcd-efcd---3---dh---h-gg-hd---dC7--db--cde---gfed-efg--cd-fgfed-cd---dca9-bcd-gg-h-gg-gfe-dd-dcbc--ac-dfed--cd--d---4
285150,,A-KN,2,1---d--c---fe--gF--d---c--a--cd--d---dg--f---g--fe--d---cd--d--d77---d--c--d---fD--cd--d---c--a--cd--d---dg--g--f---g--g--fe--d---cdf--cd--d---4
285187,,A-KN,2,1---dfe--cd--d---g--ghG---g--fe--d---fD---c-efd--cd--d---d---c--a--bcd---f--e--f--d7---cB---cd-ffedcD--d---4
285189,,A-KN,2,1---a--cd--d---d-efd--cD---d--d7---dc--ba--cd--d---c---d--f--g--edfed---f---dcD--d---c---d--dh-k--hgF---gh--h7---fe--d--fgh--ed---fe--d--cd--d---h---gh--h---hjkl--gh--h---h---gh--h---hlK---lnl--kl--l--l---lkjh77--gh--h---h---gF--gh--h---h---k--kj--gf--gh--h---h---d--c---f--gf--gh--h---h--gh--hhgfed7---d--c--defg--fg---g--cD--d---4
285190,,A-KN,2,1---a---cd--d---d--cd--d---d--c---defg--fe---d--c7--df---ed-ffd--d---h--g--f---g--f---g--h--k---lkjh--gh---h--h---h---g--hG--f---g--f--gh---h--d---f-efd7--cd--d---dh---h--g--f--gh--h---h--g---hjk-lgH--h---h---gF--gF--d-cdf-efd---cd--d--d---4
285194,,A-KN,2,1---dfc-fd--d---efg--g---fe---cd--d---d--ca--cd---df---d---dc--ba---cd--d---dg---gh--hgf7---ed--d---fdc--efgff--ed---3---h--h--ghg---fe---cd--d---dca--cd--dfec-efgff--ed---4
285217,,A-KN,2,1---d--ddcd.-ffed---fdcd--ca--bcd---d--efg---gH--hggfef--d---d---cfedcD--d---dcb--cd-fdc-db-cD--d7---d--ggF---f---gdg--g---ghgff---ed--fd---cD---d--d---dfd--c---efg--c--dF---fed--cd--d7---d-bcddC--a9-ccb---cd--d---3---d--dH---hgf--gh-hgf---gdcd--d---abc--cd--fdcd-dd-fdc-dad-ad-dfe-cde77-dggf-ghd-gg-bcd---dcb---cd-fedc-fegd--d---4
285226,,A-KN,2,1---dC--cdca---cD--d---cdeff7..---fgfd..f--c--a---cd--d---dF--d---dC--cdca---ca--cd--d--d---fdefg--fe--d---f---d--cbcdC--a9a7---a--abc-dc--dffedcD--d---d-cdf---ff-gfd-fd--cd--defef--ed---ddH--h--gf--g--gh---hK--h---hjk---kjgf-hg-hk7--h---d---hghf--gh--h---fe--d--fgh--ffd---fefg---ed-ffd--cd--d---3---h--ghgfed---gH--h--gH--h7---hjk--kj--gh---h---hgF---g--fe---d--d---dhkH--h---h--gh--h---hk-lklmnlk-lkh-jhgf77-gfed-dcba-bcd-cdf--cd--a---cd--defef--ed---4
285238,,A-KN,2,1---d--cD---d--a--cB---cD--d--d---f---g--d--cB--a---c--cd--d---d--f--g7---f---g--f---g---ij--g--fG---g--c---d---f---g--d--c---d--f--d--cB---c---d--cd7---d--d---a--c--d---f--d--cD---d---c--a--cB--a---c--cd--d--d---4---7f--f--f--f--cd--d---3
285256,,A-KN,2,1---dC--dde-fe--de---fd--cd--d---de--f---d--c---d--cb--a---cD--d---dC--fg--h--gf7---gfef--d---ef--dc--d---c--a--cd--f---fe--d--d---4---7f--f--f--f--cd--d---3
285273,,A-KN,2,1---c--cd--cf-feD--fd---egh--gfe---de--fgf--f---f--f--fed--fd7---cd--d---cd--fgff-fe---fg-fed--fedc--cd--de-fd--d---h--hkg-hhgfed-fegF--fe---c--cd--defefgf--ed7---efd--cd--d77---4
285299,,A-KN,2,1---acD---d---d--cd--defg--cd---d---c--a)--cd---d--d---dh--h--gfed---cdf--c---a--cd--d7---a-dd---cB--a---cD---d-hh--gh--h---h--g--fe--d---ad--cb--ad-cdfd--cd---d--d7---4---7f--f--f--cd--d---3
285304,,A-KN,2,1---dC--dcad---d--cd--dfecd---d7--cd--d---dh--hghk--gfd--fgfd---fE--cd--ddcacD--d---d--g---hggd--ggfef--d--d---d---d-cc-ca9--bcd-df-gfed--cd7---d--d---gg-efd--ddc--abcd--fgcd---3---dh---h-gg-hd---dC--c--a--bcd---g--f---ed---efg--cd-fgfed--cd---dC--a9---bcd7-gg-j-gg-gfe-dd-dcbc--ac-dfed--cd--d---4
285330,,A-KN,2,1---da-cD--dC---cf--c--a---cD--dcf--d---f---h--gfd--g---gh--h--h---dfef7--dc---a)--cD--d---g--g--d---gh--gfef--d---dcbc--a)--cd--d---dh--hgfed---fD--c--cd---d---c--a---cD7--d---ggfed-dcba-cD--d--d---4---7f--f--f--cd---3
285352,,A-KN,2,1---a--cd-f--d---f--fef--df--ddc---d--f---edc-df--d---d--def-gffe--d--dffede---fd---fg---f7---gF--fg---fgfede--fd---df--d---deffeddC--d--fe-fgf--fedf--dc---d---fe--fE--d---dfe--fe-fd--cd--dbca9-adccba---dfec--ef7---gffe--d--dffede--fd---4
285353,,A-KN,2,1---d--cdeffG--f---fe--fg---ef--d--dfe--fd---d--cd--d--d---dF--d---df--d7---d---d--defedc--d---fe-fge--fedf--dc---3
285356,,A-KN,2,1---a--cdf7--d---d--d--f---fe-fgdf--dc---c--d--f---edcd---def-gffe--d--deffede--fd---f--fg--f--f--fe--fg---fgffede7--fd---d--dF--d---deffedcd--fe-fgf---fedf--dc---3---cd--df-gfg--ef---d--d--dc---de--f---dcd--aca-cd-efd7---d--dC--dfec--ef---gffe---dffede--fd---4
285357,,A-KN,2,1---d--cdefg--f--f---gh--g---f--fG--f---f--f--fe7--fg---ef--defe--fd---d--d---deffedc--d---fe-fgf--fedf--dc---3---6------6---3
285369,,A-KN,2,1---a--cdf---f--fef--df7--dc---f--edc-df--d---def-gffe---dffede--fd---f--gh---hgge--fg---fgffede--fd---d---dF--d---deffedc--d---fe-fgf--fed--dc---3---d7---f--f--fe---dC---dfdef--cd--dbca9-adcba---dfD--ef--gffe---dffede--fd---4
285370,,A-KN,2,1---defg--f---f---f--fe--fg7---ef---defe--fd---d----cd--d--d---d---defedc--d---fe--fgf-fedf--ddc---3---6------6---3
285407,,A-KN,2,1---c7--dF---f--fed--d---fddC--a---cd--d---d---dc--fg--gf---gh--h---hghgf-gE--d---dca--cd--d---4---6------6---3---7f--f--f--f--cd--d---3
285445,,A-KN,2,1---f--fgff-dfd---d---ef--g--hg-hk--h---h7--h---h--g--gh-kjk---hkgh--fe--fgfef--fe---f--f---f--g--f---fe--d---fe--df---d--dc--d--df7---fff---dfdc--d--fe--fdfdcd--dc---3---fE---fg--g--fe--df---d---dc---ddc--cbba9-b9---efgffed-fd--dc--dggfef--fd---4
285446,,A-KN,2,1---cdefg--f--f---gh--g---f---f--f--fe--fg--ef---defe--fd---d--cd--d---df--d--d---d7--efgedc--d---fe-fgf---fedf--dc---3---6------6---3
285482,,A-KN,2,1---d--c---d--f--f---ed---f--d---d7--cd--d---d--c---dF--f--f--f---f---gH--h7--h---h--g---h--f--e---d---6------6---cD---d--d7---4---7f--f--f--f--cd--d---3
285489,,A-KN,2,1---d---c--d---f---e--f--d---f--d---d---c--d---f---e---f--d--c7---f--f--fhgh---fe--dc---c..--gF--fe--dc---d--fe--d--d---4---7f--f--f--f--cd--d---3
285517,,A-KN,2,1---dcD--def---eD---f--d---cdf--f---fe--d---dfD--cd--d---e--fgF---fe--de---fe7--d---def--fd--cd--d---a--c--d--f---edC--de--e---f--d--b--cd---d--d---dcB--c--df--efdcc--a7---cD--d--d---4---f--f--f--cd--d---3
