id,name,month,day,feast_code,description
1471,Ad Benedicite,,,16001000,Antiphons for the Benedicite canticle
1472,Ad Benedictus,,,16002000,Antiphons for the Benedictus canticle
1473,Ad Completorium,,,16006000,For Compline
1474,Ad Magnificat,,,16003000,Antiphons for the Magnificat canticle
1477,Ad Nunc Dimittis,,,16005000,Antiphons for the Nunc Dimittis canticle
2104,Ad Nunc Dimittis TP,,,16005080,"Antiphons for the Nunc Dimittis canticle, Eastertide"
1479,Ad Suffragium,,,15000000,Memorial chants
1470,Ad aquam benedictio,,,16010000,Chants for the blessing of water
2797,Ad aspersionem aquae benedictae,,,16023000,For the sprinkling of Holy Water
2798,Ad aspersionem aquae benedictae TP,,,16023080,For the sprinkling of Holy Water in Eastertide
2800,Ad lavandum altaria,,,16024000,Chants for the washing of the altar
2228,Adalberti,4,23,14042310,"Adalbert of Prague, Bishop and Martyr"
2092,"Adalberti,8",,,14042318,In week after Adalbert
4552,Adalhardi Corbeiensis,1,2,14010220,"Adalard (Adalhard) of Corbie, Abbot"
2722,Adalheidae,12,16,14121600,"Adelaide, Empress"
1481,Additamenta,,,17001000,"Added or Miscellaneous Items

To be used when the feast designation is unknown/unknowable because it was not provided by the scribe(s)."
2582,Adventus Ewaldorum,10,29,14102910,Arrival of the Ewald brothers' relics (heads) in Muenster
2434,Adventus Walburgae,8,4,14080410,The Departure of Walburga from England (to found a religious house in Bischofsheim)
2517,Aegidii,9,1,14090100,"Aegidius (Giles), Abbot"
4263,Aemiliani Cucullati,,,14111220,"Aemilianus Cucullatus, Confessor, Relics in San Millan de la Cogolla"
4264,Agnetis Assisiensis,,,14111610,"Agnes of Assisi, younger sister to Clare"
4612,Agnetis secundo,1,28,14012840,"The memory of Agnes (""a remnant of an ancient octave,"" Holweck, p. 33)"
2312,"Albani, Mart.",6,21,14062100,"Albanus (Alban) of Mainz, Martyr"
2437,Alberti,8,7,14080720,"Albert of Trapani, Confessor and Carmelite Friar"
2801,Alberti Magni,11,15,14111550,"Albert the Great (Albertus Magnus), Bishop of Regensburg and ""Doctor Universalis"""
2210,"Albini, Epi.",3,1,14030100,"Albinus (Aubin), Bishop of Angers"
2117,Aldegundis,1,30,14013000,"Aldegundis, Virgin"
2257,Alexandri et sociorum,5,3,14050310,"Alexander and Eventius, Martyrs"
2361,Alexis,7,17,14071700,"Alexis, the Man of God"
4170,Aloisii Gonzagae,6,21,14062120,"Aloysius (Luigi) Gonzaga, Confessor, Patron of youthful Catholic students"
4617,Alphegi,4,19,14041920,"Alphege (Aelfeah, Elphege, Aelfeach),Archbishop of Canterbury (1006-1012)"
4171,Alphonsi Mariae de Ligorio,8,2,14080210,"Alphonsus Maria de Liguori, Bishop, Confessor, Doctor of the Church"
2229,Ambrosii,4,4,14040400,"Ambrose, Bishop of Milan, Doctor"
2661,Andreae,11,30,14113000,"Andrew, Apostle"
4172,Andreae Avellini,11,10,14111010,"Andrew, Avellino (Lancelotto), Confessor"
2185,Andreae Corsini,2,4,14020400,"Andrew Corsini, Carmelite ""apostle of Florence"""
4173,Angelae Mericiae,5,31,14053120,"Angela Merici, Virgin, Foundress of the Ursuline Order of Nuns"
2584,Angeli Custodis,10,2,14100220,For Guardian Angels
2662,Aniani,11,17,14111710,"Anianus (Aignan), Bishop of Orleans"
2211,Annuntiatio Mariae,3,25,14032500,Annunciation of Mary (Lady Day)
4174,Anselmi,4,21,14042100,"Anselm, Bishop, Confessor, Doctor of the Church"
4175,Antonii Mariae Claret,10,23,14102330,"Antonio Maria Claret y Clara, Bishop, Confessor, Spanish Prelate and Missionary"
4176,Antonii Mariae Zaccaria,7,5,14070500,"Antonio Maria Zaccaria, Confessor, Founder of the Clerks Regular of St. Paul (Barnabites)"
4177,Antonini Episcopi,5,10,14051010,"Antoninus, Archbishop of Florence"
2363,Apollinaris,7,23,14072320,"Apollinaris, Bishop of Ravenna"
4178,Apolloniae,2,9,14020900,"Apollonia, Virgin Martyr"
2259,Appar. Michaelis,5,8,14050800,Appearing of Michael the Archangel
2120,"Aquilae, Priscae",1,18,14011810,"Aquila and Prisca, Virgin Martyrs"
2438,Arnulfi,8,16,14081600,"Arnulf, Bishop of Metz"
2364,Arnulfi Metensis,7,18,14071810,"Arnulfus (Arnoul), Bishop of Metz"
4206,"Ascensionis Domini, in vigilia",,,08064001,Eve of Ascension
2260,Athanasii,5,2,14050200,"Athanasius, Archbishop of Alexandria"
4611,Attalae,12,3,14120310,"Attala (Atala, Attalia, Attale) of Strasbourg, first abbess of convent of St Stephen"
4614,Aureliae Argentoratensis,10,15,14101510,"Aurelia, Virgin (4th century)"
4265,Austremonii,,,14110160,"Austremonius (Stremoine), Bishop, Martyr, Apostle of Auvergne"
4489,Aviti,6,17,14061720,"Avitus, Abbot and Confessor, born at Aurillac"
4183,BMV Immaculatae a Sacro Numismate,11,27,14112700,Our Lady of the Miraculous Medal
4179,BMV a Rosario,10,7,14100730,Our Lady of the Rosary
