institution_siglum,source_shelfmark,source_title
A-Gu,1584,"Graz, Universitätsbibliothek, 1584"
A-Gu,281,"Graz, Universitätsbibliothek, 281"
A-Gu,29 (olim 38/8 f.),"Graz, Universitätsbibliothek, 29 (olim 38/8 f.)"
A-Gu,30 (olim 38/9 f.),"Graz, Universitätsbibliothek, 30 (olim 38/9 f.)"
A-Gu,479,"Graz, Universitätsbibliothek, 479"
A-Gu,761,"Graz, Universitätsbibliothek, 761"
A-Gu,767,"Graz, Universitätsbibliothek, 767"
A-Gu,769,"Graz, Universitätsbibliothek, 769"
A-Gu,Cod. 17  (37/9 f.),"Graz, Universitätsbibliothek, Cod. 17  (37/9 f.)"
A-Gu,MS 756,"Graz, Universitätsbibliothek, MS 756"
A-Gu,Ms. 211,"Graz, Universitätsbibliothek, Ms. 211"
A-KN,588,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 588"
A-KN,CCl 1010,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1010"
A-KN,CCl 1011,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1011"
A-KN,CCl 1012,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1012"
A-KN,CCl 1013,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1013"
A-KN,CCl 1015,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1015"
A-KN,CCl 1017,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1017"
A-KN,CCl 1018,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1018"
A-KN,CCl 589,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 589"
A-KR,Schachtel VI/258,"Kremsmünster, Benediktiner-Stift Kremsmünster - Musikarchiv, Schachtel VI/258"
A-LIb,286,"Linz, Oberösterreichische Landesbibliothek, 286"
A-LIb,290 (olim 183; olim Gamma p 19),"Linz, Oberösterreichische Landesbibliothek, 290 (olim 183; olim Gamma p 19)"
A-LIb,466,"Linz, Oberösterreichische Landesbibliothek, 466"
A-LIb,466 - ff. 234-254,"Linz, Oberösterreichische Landesbibliothek, 466 - ff. 234-254"
A-M,109 (olim 1056),"Melk, Stiftsbibliothek, 109 (olim 1056)"
A-SF,XI 480,"Sankt Florian, Augustiner-Chorherrenstift - Bibliothek und Musikarchiv, XI 480"
A-VOR,121 (XXX),"Vorau, Stiftsbibliothek, 121 (XXX)"
A-VOR,177 (XC),"Vorau, Stiftsbibliothek, 177 (XC)"
A-VOR,287 (olim XXIX),"Vorau, Stiftsbibliothek, 287 (olim XXIX)"
A-VOR,303 (XXXVII),"Vorau, Stiftsbibliothek, 303 (XXXVII)"
A-Wda,C-10,"Wien, Diözesanarchiv, C-10"
A-Wda,C-11,"Wien, Diözesanarchiv, C-11"
A-Wda,D-4,"Wien, Diözesanarchiv, D-4"
A-Wn,1799**,"Wien, Österreichische Nationalbibliothek - Handschriftensammlung, 1799**"
A-Wn,Cod. 1707,"Wien, Österreichische Nationalbibliothek, Cod. 1707"
A-Wn,Cod. 1890,"Wien, Österreichische Nationalbibliothek - Musiksammlung, Cod. 1890"
A-Wn,Cod. 3672,"Wien, Österreichische Nationalbibliothek, Cod. 3672"
A-Wn,"Cod. 3841, flyleaf","Wien, Österreichische Nationalbibliothek, Cod. 3841, flyleaf"
A-Wn,Cpv 1043,"Wien, Österreichische Nationalbibliothek, Cpv 1043"
A-Wn,Cpv 13 314,"Wien, Österreichische Nationalbibliothek, Cpv 13 314"
A-Wn,Cpv 1845,"Wien, Österreichische Nationalbibliothek, Cpv 1845"
A-Wn,Fragm. 1494,"Wien, Österreichische Nationalbibliothek, Fragm. 1494"
A-Wn,Fragm. 613,"Wien, Österreichische Nationalbibliothek, Fragm. 613"
A-Wn,Mus.Hs.15489,"Wien, Österreichische Nationalbibliothek, Mus.Hs.15489"
A-Wn,Ser. Nov. 2700,"Wien, Österreichische Nationalbibliothek,  Ser. Nov. 2700"
AUS-Msl,"096.1/R66A (""The Poissy Antiphonal"")","Melbourne, State Library of Victoria, 096.1/R66A (""The Poissy Antiphonal"")"
AUS-Sfl,Add. Ms. 413 (olim Add. Ms. Fol.1),"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add. Ms. 413 (olim Add. Ms. Fol.1)"
AUS-Sfl,"Add. Ms. 413, Frag. 1","Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add. Ms. 413, Frag. 1"
AUS-Sfl,Add.Ms. 327,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 327"
AUS-Sfl,Add.Ms. 327 (front pastedown),"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 327 (front pastedown)"
AUS-Sfl,Add.Ms. 327 (rear pastedown),"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 327 (rear pastedown)"
AUS-Sfl,Add.Ms. 376,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 376"
AUS-Sfl,Add.Ms. 379,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 379"
AUS-Sfl,Add.Ms. 380,"Sydney, University of Sydney - Fisher Library - Rare Books and Special Collections, Add.Ms. 380"
AUS-Ssl,SAFE/RB/MSS X001,"Sydney, State Library New South Wales, SAFE/RB/MSS X001"
B-AVna,IV.413,"Averbode, Norbertijnenabdij, IV.413"
B-Br,11396,"Bruxelles, Bibliothèque royale, 11396"
B-Br,15073,"Bruxelles, Bibliothèque royale, 15073"
B-Br,19389,"Bruxelles, Bibliothèque royale, 19389"
B-Br,2031-32,"Bruxelles, Bibliothèque royale, 2031-32"
B-Br,4767,"Bruxelles, Bibliothèque royale, 4767"
B-Br,II 3823 (Fétis 1172),"Bruxelles, Bibliothèque royale, II 3823 (Fétis 1172)"
B-Br,II 3825 (Fétis 1174),"Bruxelles, Bibliothèque royale, II 3825 (Fétis 1174)"
B-DEa,ms. 9,"Dendermonde, Sint-Pieters-en Paulusabdij, ms. 9"
B-Gu,"Hs BKT.006 (""Tsgrooten Antiphoner"")","Gent, Universiteitsbibliotheek, Hs BKT.006 (""Tsgrooten Antiphoner"")"
B-TOb,152,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 152"
B-TOb,63 (olim V),"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 63 (olim V)"
B-TOb,64 (olim IV),"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 64 (olim IV)"
BR-SLUN,330976,"São Leopoldo, UNISINOS Memorial Jesuíta, 330976"
BR-SLUN,340723 Front Pastedown,"São Leopoldo, UNISINOS Memorial Jesuíta, 340723 Front Pastedown"
CDN-Hsmu,M2149.L4 1554,"Halifax (Canada), St. Mary’s University - Patrick Power Library, M2149.L4 1554"
CDN-Lu,M2150,"London (ON), University of Western Ontario - Archives and Research Collections Centre (ARCC), M2150"
CDN-Lu,manuscript MS101 Toswell,"London (ON), University of Western Ontario - Archives and Research Collections Centre (ARCC), manuscript MS101 Toswell"
CDN-Lu,no shelf-mark yet,"London (ON), University of Western Ontario - Archives and Research Collections Centre (ARCC), no shelf-mark yet"
CDN-Mlr,MS Medieval 0018,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0018"
CDN-Mlr,MS Medieval 0020,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0020"
CDN-Mlr,MS Medieval 0021,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0021"
CDN-Mlr,MS Medieval 0024,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0024"
CDN-Mlr,MS Medieval 0025,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0025"
CDN-Mlr,MS Medieval 0064,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0064"
CDN-Mlr,MS Medieval 0065,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0065"
CDN-Mlr,MS Medieval 0072,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0072"
CDN-Mlr,MS Medieval 0073,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0073"
CDN-Mlr,MS Medieval 0078,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0078"
CDN-Mlr,MS Medieval 0080,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0080"
CDN-Mlr,MS Medieval 0081,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0081"
CDN-Mlr,MS Medieval 0086,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0086"
CDN-Mlr,MS Medieval 0087,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0087"
CDN-Mlr,MS Medieval 0088,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0088"
CDN-Mlr,MS Medieval 0089,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0089"
CDN-Mlr,MS Medieval 0092,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0092"
CDN-Mlr,MS Medieval 0093,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0093"
CDN-Mlr,MS Medieval 0111,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0111"
CDN-Mlr,MS Medieval 0169,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0169"
CDN-Mlr,MS Medieval 0170,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0170"
CDN-Mlr,MS Medieval 0171,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0171"
CDN-Mlr,MS Medieval 0172,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0172"
CDN-Mlr,MS Medieval 0176,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0176"
CDN-Mlr,MS Medieval 0184,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0184"
CDN-Mlr,MS Medieval 0186,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0186"
CDN-Mlr,MS Medieval 0204,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0204"
CDN-Mlr,MS Medieval 0205,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0205"
CDN-Mlr,MS Medieval 0206,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0206"
CDN-Mlr,MS Medieval 0207,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0207"
CDN-Mlr,MS Medieval 0208,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0208"
CDN-Mlr,MS Medieval 0209,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0209"
CDN-Mlr,MS Medieval 0210,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0210"
CDN-Mlr,MS Medieval 0211,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0211"
CDN-Mlr,MS Medieval 0212,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0212"
CDN-Mlr,MS Medieval 0215,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0215"
CDN-Mlr,MS Medieval 0216,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0216"
CDN-Mlr,MS Medieval 0217,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0217"
CDN-Mlr,MS Medieval 0218,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0218"
CDN-Mlr,MS Medieval 0219,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0219"
CDN-Mlr,MS Medieval 0220,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0220"
CDN-Mlr,MS Medieval 0221,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0221"
CDN-Mlr,MS Medieval 0222,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0222"
CDN-Mlr,MS Medieval 0231,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0231"
CDN-Mlr,MS Medieval 0234,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0234"
CDN-Mlr,MS Medieval 0237,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0007"
CDN-Mlr,MS Medieval 0239,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0239"
CDN-Mlr,MS Medieval 0239 early layer,
CDN-Mlr,MS Medieval 0239 late layer,
CDN-Oc,ms. 1,"Ottawa, Carleton University - MacOdrum Library - Archives and Research Collection, ms. 1"
CDN-Oc,ms. 2,"Ottawa, Carleton University - MacOdrum Library - Archives and Research Collection, ms. 2"
CDN-Qsl,Le Paroissien Noté,"Quebec, Séminaire de Québec, Le Paroissien Noté"
CDN-STCbul,RG 394,"St. Catharines (ON), Brock University Library - Archives and Special Collections, RG 394"
CDN-STCbul,RG 396,"St. Catharines (ON), Brock University Library - Archives and Special Collections, RG 396"
CDN-Ttfl,MSS 09700,"Toronto, University of Toronto - Thomas Fisher Rare Book Library, MSS 09700"
CDN-Tu,musi MSS 0019,"Toronto, Faculty of Music Library, musi MSS 0019"
CDN-W,MS 1,"Winnipeg (Manitoba), University of Manitoba Libraries - The Dysart Memorial Collection, MS 1"
CDN-WAdl,MS Book A,"Waterloo, University of Waterloo – DRAGEN Lab-St Jerome’s University, MS Book A"
CDN-WAdl,MS Medieval 01,"Waterloo, University of Waterloo – DRAGEN Lab-St Jerome’s University, MS Medieval 01"
CDN-WAdl,MS Medieval 02,"Waterloo, University of Waterloo – DRAGEN Lab-St Jerome’s University, MS Medieval 02"
CDN-WAwlul,M2142.L2 N6 RB88,"Waterloo, Wilfrid Laurier University Library, M2142.L2 N6 RB88"
CH-BEb,620,"Bern, Burgerbibliotek, 620"
CH-BEb,A. 421,"Bern, Burgerbibliotek, A. 421"
CH-BSPh,MS 7,"Bourg-Saint-Pierre, Hospice du Grand-Saint-Bernard - Bibliothèque, MS 7"
CH-CObodmer,Cod. Bodmer 74,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 74"
CH-E,611,"Einsiedeln, Stiftsbibliothek, 611"
CH-E,Codex 121,"Einsiedeln, Stiftsbibliothek, Codex 121"
CH-E,cod. 113 (466),"Einsiedeln, Stiftsbibliothek, cod. 113 (466)"
CH-E,cod. 114,"Einsiedeln, Stiftsbibliothek, cod. 114"
CH-E,cod. 121,"Einsiedeln, Stiftsbibliothek, cod. 121"
CH-E,cod. 366,"Einsiedeln, Stiftsbibliothek, cod. 366"
CH-EN,1003,"Engelberg, Stiftsbibliothek, 1003"
CH-EN,102,"Engelberg, Stiftsbibliothek, 102"
CH-EN,314,"Engelberg, Stiftsbibliothek, 314"
CH-EN,cod. 314,"Engelberg, Stiftsbibliothek, cod. 314"
CH-ENstb,Cod. 103,"Engelberg, Benediktinerkloster - Stiftsbibliothek, Cod. 103"
CH-Fco,Ms. 2,"Fribourg, Bibliothèque des Cordeliers, Ms. 2"
CH-Fco,Ms. 9,"Fribourg, Bibliothèque des Cordeliers, Ms. 9"
CH-P,18,"Porrentruy, Bibliothèque cantonale jurassienne, 18"
CH-ROM,"Ms. liturg. FiD 1, flyleaves","Romont, Abbaye de la Fille-Dieu Romont, Ms. liturg. FiD 1, flyleaves"
CH-SGs,388,"Sankt-Gallen, Stiftsbibliothek, 388"
CH-SGs,390,"Sankt-Gallen, Stiftsbibliothek, 390"
CH-SGs,391,"Sankt-Gallen, Stiftsbibliothek, 391"
CH-SGs,"Cod. Sang. 340, flyleaf","Sankt-Gallen, Stiftsbibliothek, Cod. Sang. 340, flyleaf"
CH-SGs,Cod. Sang. 359,"Sankt-Gallen, Stiftsbibliothek, Cod. Sang. 359"
CH-SGs,cod. 375,"Sankt-Gallen, Stiftsbibliothek, cod. 375"
CH-SGs,cod. 376,"Sankt-Gallen, Stiftsbibliothek, cod. 376"
