id,title,siglum,shelfmark
709973,"Austin, Harry Ransom Center, 21",US-AUS 21,21
673035,"Austin, Harry Ransom Center, HRC 13",US-AUS HRC 13,HRC 13
710075,"Austin, Harry Ransom Center, HRC 145",US-AUS 145,HRC 145
702358,"Baltimore, Walters Art Museum, W 759",US-BAw W 759,W 759
702359,"Baltimore, Walters Art Museum, W 760",US-BAw W 760,W 760
656252,"Chestnut Hill (MA), Boston College University Libraries - John J. Burns Library, MS.1996.097",US-CHNbcbl MS.1996.097,MS.1996.097
669030,"Chicago, Art Institute of Chicago - Mrs. William E. Kelley Collection, 1911.142b",US-Cai 1911.142b,1911.142b
123671,"Chicago, The Newberry Library, 24",US-Cn 24,24
123953,"Chicago, The Newberry Library, case 181",US-Cn 181,case 181
124051,"Chicago, The Newberry Library, case 59.1",US-Cn 59.1,case 59.1
711199,"Iowa City, University of Iowa Rita Benton Music Library Rare Book Room, M2149.6 1475",US-IO M2149.6 1475,M2149.6 1475
712836,"Iowa City, University of Iowa Libraries Special Collections and Archives, MSC0542, xMMS.Po1","US-IOspca MSC0542, xMMS.Po1","MSC0542, xMMS.Po1"
699262,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, M2147.C53 1500z",US-KClbsc M2147.C53 1500z,M2147.C53 1500z
710152,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, M2149.2 .V4 1629",US-KClbsc M2149.2 .V4 1629,M2149.2 .V4 1629
711438,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 Object 4",US-KClbsc MS 0285 Object 4,MS 0285 Object 4
123921,"Los Angeles, J. Paul Getty Museum, Ms. 64",US-LAgmmd Ms.64,Ms. 64
712288,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 1",US-Mu BX1999.85.82 1562 Volume 1,BX1999.85.82 1562 Volume 1
712319,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 2",US-Mu BX1999.85.82 1562 Volume 2,BX1999.85.82 1562 Volume 2
1000039,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 4",US-Mu BX1999.85.82 1562 Volume 4,BX1999.85.82 1562 Volume 4
1000044,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 9",US-Mu BX1999.85.82 1562 Volume 9,BX1999.85.82 1562 Volume 9
123767,"Notre Dame, University of Notre Dame - Music Library, Lat. a. 12",US-NDu Lat. a. 12,Lat. a. 12
123744,"Notre Dame, University of Notre Dame - Music Library, lat. b.4",US-NDu lat. b.4,lat. b.4
604043,"New York City (NY), Columbia University - Rare Book and Manuscript Library, Plimpton MS 034",US-NYcub Plimpton MS 034,Plimpton MS 034
589026,"New York City (NY), Columbia University - Rare Book and Manuscript Library, Plimpton MS 041",US-NYcub Plimpton MS 041,Plimpton MS 041
706333,"New York City (NY), Columbia University - Rare Book and Manuscript Library, Western MS 097",US-NYcub Western MS 097,Western MS 097
683940,"New York City (NY), Columbia University - Barnard College Library, MS 1",US-NYcubl MS 1,MS 1
1000050,"Princeton, Princeton University Library, 67.4",US-PRu 67.4,67.4
713017,"Princeton, Princeton University Library, Garrett MS. 169",US-PRu 169,Garrett MS. 169
691366,"Princeton, Princeton University Library, Princeton MS. 245",US-PRu Princeton MS. 245,Princeton MS. 245
693859,"Stanford, Stanford University - Green Library - Department of Special Collections, M2223, Item 42","US-STu M2223, Item 42","M2223, Item 42"
1000019,"Stanford, Stanford University - Green Library - Department of Special Collections, MSS CODEX 0734 FF",US-STu MSS CODEX 0734 FF,MSS CODEX 0734 FF
1000064,"McClean (USA), Private Collection, D-00jf0",US-pc(VA) D-00jf0,D:00jf0
1000057,"Los Angeles (USA), Private Collection, D-0poon",US-pc(CA) D-0poon,D:0poon
699263,"Boston (Massachusetts USA), Private collections, D-0r3s1",US-BosMApc D-0r3s1,D:0r3s1
