fragment,siglum,shelfmark
F-3ulj,"A-Wn 3841, flyleaf","Cod. 3841, flyleaf"
F-6736,A-Wn Cod. 1707,Cod. 1707
F-vwrz,A-Wn Cod. 3672,Cod. 3672
F-1en8,A-Wn Fragm. 1494,Fragm. 1494
F-q4re,A-Wn Fragm. 613,Fragm. 613
F-4ihz,BEAUVAIS,BEAUVAIS
F-egev,BR-PApc D-0egev,D:0egev
F-u4y1,BR-SLUN 330976,330976
F-irt6,BR-SLUN 340723 Pastedown,340723 Front Pastedown
F-2fkm,CDN-HalNSpc D-02fkm,D:02fkm
F-nmt3,CDN-HalNSpc D-0nmt3,F-nmt3
F-1oko,CDN-LonONpc D-01oko,D:01oko
F-6b7w,CDN-MasQCpc D-06b7w,D:06b7w
F-okxy,CDN-Mlr MS Medieval 0020,MS Medieval 0020
F-hb34,CDN-Mlr MS Medieval 0021,MS Medieval 0021
F-tbay,CDN-Mlr MS Medieval 0024,MS Medieval 0024
F-mtrk,CDN-Mlr MS Medieval 0025,MS Medieval 0025
F-ukrz,CDN-Mlr MS Medieval 0064,MS Medieval 0064
F-zs2g,CDN-Mlr MS Medieval 0065,MS Medieval 0065
F-fgrm,CDN-Mlr MS Medieval 0072,MS Medieval 0072
F-tfow,CDN-Mlr MS Medieval 0078,MS Medieval 0078
F-igka,CDN-Mlr MS Medieval 0080,MS Medieval 0080
F-w00b,CDN-Mlr MS Medieval 0081,MS Medieval 0081
F-dkla,CDN-Mlr MS Medieval 0086,MS Medieval 0086
F-pldp,CDN-Mlr MS Medieval 0087,MS Medieval 0087
F-m8mb,CDN-Mlr MS Medieval 0088,MS Medieval 0088
F-owjc,CDN-Mlr MS Medieval 0089,MS Medieval 0089
F-s7b0,CDN-Mlr MS Medieval 0092,MS Medieval 0092
F-pvev,CDN-Mlr MS Medieval 0169,MS Medieval 0169
F-jx5t,CDN-Mlr MS Medieval 0170,MS Medieval 0170
F-iym2,CDN-Mlr MS Medieval 0171,MS Medieval 0171
F-fzcf,CDN-Mlr MS Medieval 0172,MS Medieval 0172
F-r74d,CDN-Mlr MS Medieval 0176,MS Medieval 0176
F-lu5k,CDN-Mlr MS Medieval 0184,MS Medieval 0184
F-2605,CDN-Mlr MS Medieval 0186,MS Medieval 0186
F-4sdy,CDN-Mlr MS Medieval 0204,MS Medieval 0204
F-t5I7,CDN-Mlr MS Medieval 0205,MS Medieval 0205
F-ghrg,CDN-Mlr MS Medieval 0206,MS Medieval 0206
F-yls1,CDN-Mlr MS Medieval 0207,MS Medieval 0207
F-v52I,CDN-Mlr MS Medieval 0208,MS Medieval 0208
F-c3tm,CDN-Mlr MS Medieval 0209,MS Medieval 0209
F-bai7,CDN-Mlr MS Medieval 0210,MS Medieval 0210
F-rxwj,CDN-Mlr MS Medieval 0211,MS Medieval 0211
F-hzbu,CDN-Mlr MS Medieval 0215,MS Medieval 0215
F-0ymk,CDN-Mlr MS Medieval 0217,MS Medieval 0217
F-76tu,CDN-Mlr MS Medieval 0218,MS Medieval 0218
F-4svq,CDN-Mlr MS Medieval 0219,MS Medieval 0219
F-b11w,CDN-Mlr MS Medieval 0220,MS Medieval 0220
F-1pqr,CDN-Mlr MS Medieval 0221,MS Medieval 0221
F-t7ke,CDN-Mlr MS Medieval 0222,MS Medieval 0222
F-u1yk,CDN-Mlr MS Medieval 0231,MS Medieval 0231
F-6e4d,CDN-Mlr MS Medieval 0239,MS Medieval 0239
F-2ryf,CDN-MtlQCpc D-02ryf,D:02ryf
F-dex0,CDN-MtlQCpc D-0dex0,D:0dex0
F-xbns,CDN-MtlQCpc D-0xbns,D:0xbns
F-7lzz,CDN-STCbul RG 394,RG 394
F-qev2,CDN-SYpc D-qev2,D:qev2
F-es6l,CDN-VicBCpc D-0es6l,D:0es6l
F-4sqa,CDN-pc(AB) D-04sqa,D:04sqa
F-2ka7,CDN-pc(BC) D-02ka7,D:02ka7
F-m827,"CH-ROM FiD 1, flyleaves","Ms. liturg. FiD 1, flyleaves"
F-7cs0,"CH-SGs Cod.Sang. 340, flyleaf","Cod. Sang. 340, flyleaf"
F-2csu,Cantus D:02csu,D:02csu
F-uhiz,Cantus D:0uhiz,D:0uhiz
F-ukk4,D-Berpc D-0ukk4,D:0ukk4
F-f2cr,D-ROTTpc D-0f2cr,D:0f2cr
F-4d80,D-TRs 12b 01-22 13b,"Fragmentenbox 12b, Fragment 01-22  no 13b"
F-3wh2,D-TRs 12b 01-22 14b,"Fragmentenbox 12b, Fragment 01-22, no. 14b"
F-351c,D-TRs 12b 01-22 2b-bis,"Fragmentenbox 12b, 01-22, no. 2b-bis"
F-1sy0,D-TRs 12b 23-42 26b,"Fragmentenbox 12b, Fragment 23-42, 26b"
F-4m3u,D-TRs 12b 23-42 40b,"Fragmentenbox 12b, Fragment 23-42, no. 40b"
F-4772,D-TRs 12b 23-42 42b,"Fragmentenbox 12b, 23-42, no. 42b"
F-3kib,D-TRs 12b 43-71 64b,"Fragmentenbox 12b, Fragment 43-71 no. 64b"
F-1uoy,D-TRs 12c 1-9 2c,"Fragmentenbox 12c, Fragment 1-9, no. 2c"
F-0kyx,D-TRs 12c 1-9 7c,"Fragmentenbox 12c, Fragment 1-9, no.7c"
F-5rkm,D-TRs F-5rkm,F-5rkm
F-661u,D-TRs F-661u,F-661u
F-6eoa,D-TRs F-6eoa,F-6eoa
F-76d5,D-TRs F-76d5,F-76d5
F-7anv,D-TRs F-7anv,F-7anv
F-7cii,D-TRs F-7cii,F-7cii
F-7z72,D-TRs F-7z72,F-7z72
F-87fs,D-TRs F-87fs,F-87fs
F-87fs,D-TRs F-87fs,F-87fs
F-8slb,D-TRs F-8slb,F-8slb
F-a0yk,D-TRs F-a0yk,F-a0yk
F-b2zd,D-TRs F-b2zd,F-b2zd
F-byer,D-TRs F-byer,F-byer
F-c8jl,D-TRs F-c8jl,F-c8jl
F-chdk,D-TRs F-chdk,F-chdk
F-dsjj,D-TRs F-dsjj,F-dsjj
F-dt0m,D-TRs F-dt0m,F-dt0m
F-e2zn,D-TRs F-e2zn,F-e2zn
F-e57b,D-TRs F-e57b,F-e57b
F-eu4i,D-TRs F-eu4i,F-eu4i
F-f0gp,D-TRs F-f0gp,F-f0gp
F-g5fs,D-TRs F-g5fs,F-g5fs
F-gdjn,D-TRs F-gdjn,F-gdjn
F-ge1j,D-TRs F-ge1j,F-ge1j
F-ghak,D-TRs F-ghak,F-ghak
F-h16v,D-TRs F-h16v,F-h16v
F-hii0,D-TRs F-hii0,F-hii0
F-impb,D-TRs F-impb,F-impb
F-irhl,D-TRs F-irhl,F-irhl
F-izjo,D-TRs F-izjo,F-izjo
F-jedx,D-TRs F-jedx,F-jedx
F-k1ip,D-TRs F-k1ip,F-k1ip
F-kabt,D-TRs F-kabt,F-kabt
F-lcn7,D-TRs F-lcn7,F-lcn7
F-mene,D-TRs F-mene,F-mene
F-mzph,D-TRs F-mzph,F-mzph
F-n8h3,D-TRs F-n8h3,F-n8h3
F-nmyl,D-TRs F-nmyl,F-nmyl
F-onwg,D-TRs F-onwg,F-onwg
F-ovo6,D-TRs F-ovo6,F-ovo6
F-p6th,D-TRs F-p6th,F-p6th
F-pjh5,D-TRs F-pjh5,F-pjh5
F-qwjc,D-TRs F-qwjc,F-qwjc
F-rgta,D-TRs F-rgta,F-rgta
F-sjgk,D-TRs F-sjgk,F-sjgk
F-svu8,D-TRs F-svu8,F-svu8
F-vwh5,D-TRs F-vwh5,F-vwh5
F-vxn8,D-TRs F-vxn8,F-vxn8
F-w2xh,D-TRs F-w2xh,F-w2xh
F-wr2o,D-TRs F-wr2o,F-wr2o
F-wvbj,D-TRs F-wvbj,F-wvbj
F-x6uf,D-TRs F-x6uf,F-x6uf
F-xr2h,D-TRs F-xr2h,F-xr2h
F-xxns,D-TRs F-xxns,F-xxns
F-yd41,D-TRs F-yd41,F-yd41
F-yp7r,D-TRs F-yp7r,F-yp7r
F-yv74,D-TRs F-yv74,F-yv74
F-zsxw,D-TRs F-zsxw,F-zsxw
F-5goe,D-WIl 2 lower pastedown,"2 (Riesencodex), detached lower pastedown"
F-lbqt,F-Pn Lat. 11411 ff. 37-38,"Latin 11411, ff. 37-38"
F-rtpl,F-Pn Lat. 9488 ff. 33-37,"Latin 9488, ff. 33-37"
F-4auj,F-Pn Lat.9488 ff.42-45,"Latin 9488, ff.42-45"
F-hbch,F-Pn NAL 2318 ff. 79-80,"NAL 2318, ff. 79-80"
F-ankz,F-Pn NAL 2444 f.60,"NAL 2444, f.60"
F-lerg,F-Pn NAL 2444 ff. 1-2,"NAL 2444, ff. 1-2"
F-olpi,F-Pn NAL 2444 ff. 21-24,"NAL 2444, ff. 21-24"
F-pq4i,F-Pn NAL 2444 ff. 32-33,"NAL 2444, ff. 32-33"
F-7oks,F-Pn NAL 2444 ff. 9-13,"NAL 2444, ff. 9-13"
F-yauk,"F-Pn NAL 2444, f. 50","NAL 2444, f. 50"
F-n50a,"F-Pn NAL 2444, ff. 53-55","NAL 2444, ff. 53-55"
F-rcf1,"F-Pn NAL 2444, ff. 7-8, 62-65","NAL 2444, ff. 7-8, 62-65"
F-um6h,F-Pn NAL 2482 f. 5,"NAL 2482, f. 5"
F-jp86,F-Pn NAL 2482 ff. 7-16,"NAL 2482, ff. 7-16"
F-iml3,F-Villpc D-0iml3,D:0iml3
F-eqhg,GB-Brpc D-0eqhg,D:0eqhg
F-njql,GB-LEc F-njql,F-njql
F-rc2m,GB-LEc F-rc2m,F-rc2m
F-co5m,GB-LVu SCA Inc.P12/C,Inc.P12/C Antiphoner
F-lmov,GB-LVu SCA MsEd.7-10,MS.Ed.7-10
F-1dct,GB-Oxpc D-01d6t,D:01d6t
F-3w1z,GB-Oxpc D-03w1z,D:03w1z
F-83py,GB-Oxpc D-083py,D:083py
F-fmrt,GB-Oxpc D-0fmrt,D:0fmrt
F-75ud,GOTTSCHALK,GOTTSCHALK
F-dd16,H-Ba T 174,T 174
F-wg82,IRL-Dpc D-0wg82,D:0wg82
F-zkxv,IRL-Dpc D-0zkxv,D:0zkxv
F-xs16,IRL-Dsa 41-38,Box 41 #38
F-v8wt,NL-EINpc D-0v8wt,D:0v8wt
F-ryor,RO-Ca BMV R.12,BMV R.12
F-q6ty,RO-Ca F.45047,F. 45047
F-cac4,S-UMsdl Ink. 4,Ink. 4
F-xvd0,S-UMsdl Östergren F 00648: 1-3,Östergren F 00648: 1-3
F-4o0b,TODO,D:04o0b
F-8kfm,TODO,D:08kfm
F-ak7n,TODO,D:0ak7n
F-c7q2,TODO,D:0c7q2
F-nhqn,TODO,D:0nhqn
F-ssyi,TODO,D:0ssyi
F-tj87,TODO,D:0tj87
F-u24o,TODO,D:0u240
F-wqoo,TODO,D:0wqoo
F-tqhx,TODO,F-tqhx
F-pkms,US-AshORpc D-0pkms,D:0pkms
F-3rs1,US-BosMApc D-0r3s1,D:0r3s1
F-jvu5,US-CAh MS typ 963,MS typ 963
F-io1s,US-CApc D-0io1s,D:0io1s
F-xpcp,US-CApc D-0xpcp,D:0xpcp
F-rqu3,US-CApc F-rqu3,F-rqu3
F-iqny,US-CON 33,CA 33
F-nzi0,US-CPbl 9 nzi0,9 (nzi0)
F-eyhr,"US-CPpa, s.n.",s.n.
