id,title,incipit,source_id,cantus_id,feast_name,siglum,source_title
693541,,Gloria*,693516,909000,Dominici,CDN-Mlr MS Medieval 0081,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0081"
713883,,Gloria patri et filio et ,713701,909000,Dominici,D-B Mus. ms. 40 222,"Berlin, Staatsbibliothek Preussischer Kulturbesitz, Mus. ms. 40 222"
713893,,Gloria patri et filio et ,713701,909000,Dominici,D-B Mus. ms. 40 222,"Berlin, Staatsbibliothek Preussischer Kulturbesitz, Mus. ms. 40 222"
713903,,Gloria patri et filio et,713701,909000,Dominici,D-B Mus. ms. 40 222,"Berlin, Staatsbibliothek Preussischer Kulturbesitz, Mus. ms. 40 222"
278517,,Gloria patri et filio et,123740,909000,Transl. Dominici,HR-Dsmbb XI,"Dubrovnik, Franjevacki samostan, Codex Badija XI"
278520,,Gloria patri et filio et,123740,909000,Transl. Dominici,HR-Dsmbb XI,"Dubrovnik, Franjevacki samostan, Codex Badija XI"
278523,,Gloria patri et filio et,123740,909000,Transl. Dominici,HR-Dsmbb XI,"Dubrovnik, Franjevacki samostan, Codex Badija XI"
278800,,Gloria patri et filio et,123740,909000,Dominici,HR-Dsmbb XI,"Dubrovnik, Franjevacki samostan, Codex Badija XI"
278810,,Gloria patri et filio et,123740,909000,Dominici,HR-Dsmbb XI,"Dubrovnik, Franjevacki samostan, Codex Badija XI"
278823,,Gloria patri et filio et,123740,909000,Dominici,HR-Dsmbb XI,"Dubrovnik, Franjevacki samostan, Codex Badija XI"
328615,,Gloria patri et filio et,123736,909000,Dominici,PL-KIk 1,"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1"
328626,,Gloria patri et filio et,123736,909000,Dominici,PL-KIk 1,"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1"
328635,,Gloria patri et filio et,123736,909000,Dominici,PL-KIk 1,"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1"
328638,,Gloria patri et filio et,123736,909000,Dominici,PL-KIk 1,"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1"
357941,,Gloria patri et filio et,123659,909000,Dominici,SI-Lna 19 (olim 18),"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 19 (olim 18)"
357951,,Gloria patri et filio et,123659,909000,Dominici,SI-Lna 19 (olim 18),"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 19 (olim 18)"
357961,,Gloria patri et filio et,123659,909000,Dominici,SI-Lna 19 (olim 18),"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 19 (olim 18)"
675576,,Gloria patri et filio et,669030,909000,Transl. Dominici,US-Cai 1911.142b,"Chicago, Art Institute of Chicago - Mrs. William E. Kelley Collection, 1911.142b"
675577,,Gloria patri et filio et,669030,909000,Transl. Dominici,US-Cai 1911.142b,"Chicago, Art Institute of Chicago - Mrs. William E. Kelley Collection, 1911.142b"
675578,,Gloria patri et filio et ,669030,909000,Transl. Dominici,US-Cai 1911.142b,"Chicago, Art Institute of Chicago - Mrs. William E. Kelley Collection, 1911.142b"
