type,mode,id,incipit
chant,*,153471,Beata progenies*
chant,*,161008,Beata progenies*
chant,*,162787,Beata est quae*
chant,*,162790,Beata es Maria*
chant,*,164178,Beatam me dicent*
chant,*,164179,Beata es Maria*
chant,*,170192,Beata mater et innupta virgo
chant,*,207041,Beata nobis*
chant,*,207060,Beata nobis*
chant,*,207064,Beata nobis*
chant,*,211343,Beata nobis gaudia*
chant,*,213418,Beata progenies*
chant,*,223761,Beatam me dicent omnes
chant,*,224382,Beata mater et inducta virgo*
chant,*,228203,Beata mater et innupta virgo
chant,*,232322,Beata es virgo*
chant,*,232883,Beata Caecilia*
chant,*,243395,Beatam me*
chant,*,246180,Beata Agnes*
chant,*,347727,Beata nobis gaudia*
chant,*,363281,Beata mater et innupta virgo
chant,*,367722,Beata mater et innupta virgo
chant,*,411069,Beata nobis gaudia*
chant,*,411091,Beata nobis*
chant,*,413465,Beata nobis gaudia*
chant,*,415267,Beata progenies*
chant,*,415269,Beata progenies*
chant,*,415275,Beata genetrix*
chant,*,457378,Beata es Maria*
chant,*,457379,Beatam me dicent*
chant,*,459288,Beata es virgo Maria*
chant,*,472338,Beata es Maria*
chant,*,472339,Beatam me dicent*
chant,*,474180,Beata es virgo Maria*
chant,*,490378,Beata nobis*
chant,*,514762,Beatam*
chant,*,514803,Beatam*
chant,*,514856,Beatam me dicent*
chant,*,517443,Beata nobis*
chant,*,517469,Beata nobis*
chant,*,517489,Beata nobis*
chant,*,522466,Beatam*
chant,*,522507,Beatam*
chant,*,522548,Beatam me dicent*
chant,*,525149,Beata nobis*
chant,*,525175,Beata nobis*
chant,*,525195,Beata nobis*
chant,*,554344,Beatam me dicent*
chant,*,566523,Beata es Maria quae credidisti
chant,*,566598,Beatam me dicent omnes generationes
chant,*,587771,Beata mater et innupta virgo
chant,*,614801,Beatam me dicent*
chant,*,677251,Beata es Maria quae credidisti
chant,*,679207,Beatam me dicent omnes generationes
chant,1,310341,Beata Agatha ingressa
chant,2,371332,Beata mater et innupta virgo
chant,2,426661,Beata virgo Christi Agathe
chant,2,580550,Beata mater et intacta virgo
chant,3,603525,Beata Agatha*
chant,4,508415,Beatae corpus virginis
chant,5,392117,Beata nobis gaudia anni reduxit
chant,5,496258,Beata Augusta de muro sedule 
chant,6,328782,Beata es virgo*
chant,6,423616,Beata es virgo*
chant,7,164065,Beata Agatha ingressa
chant,7,182800,Beata Agatha ingressa
chant,7,185712,Beata Agatha ingressa
chant,7,231607,Beata Agatha ingressa carcerem expandit
chant,7,242360,Beata Agatha ingressa carcerem expandit
chant,7,246413,Beata Agatha ingressa carcerem expandit
chant,7,288562,Beata Agatha ingressa carcerem expandit 
chant,7,301655,Beata Agatha ingressa
chant,7,310349,Beata Agatha ingressa
chant,7,327713,Beata Agatha ingressa
chant,7,344124,Beata Agatha ingressa
chant,7,432524,Beata Agatha ingressa
chant,7,441310,Beata Agatha ingressa
chant,7,457257,Beata Agatha ingressa carcerem expandit
chant,7,468018,Beata Agatha ingressa
chant,7,472182,Beata Agatha ingressa carcerem expandit
chant,7,493318,Beata Agatha ingressa carcerem expandit
chant,7,505118,Beata Agatha ingressa
chant,7,535398,Beata Agatha ingressa
chant,7,557520,Beata Agatha ingressa
chant,7,615948,Beata Agatha ingressa carcerem expandit
chant,8,154534,Beata es Maria quae
chant,8,165637,Beata es Maria quae
chant,8,166491,Beata es Maria quae
chant,8,166493,Beatam me dicent omnes
chant,8,170311,Beata es Maria quae credidisti
chant,8,170313,Beatam me dicent omnes generationes
chant,8,172974,Beata es Maria quae
chant,8,172976,Beatam me dicent omnes
chant,8,182571,Beata Agnes in medio
chant,8,185236,Beata es Maria quae
chant,8,188214,Beata es Maria quae
chant,8,188263,Beatam me dicent omnes
chant,8,191032,Beata es Maria quae
chant,8,191034,Beatam me dicent omnes
chant,8,194825,Beatam me dicent omnes
chant,8,200029,Beata es Maria quae credidisti
chant,8,200079,Beatam me dicent omnes generationes
chant,8,203777,Beata es Maria quae credidisti
chant,8,206202,Beata es Maria quae
chant,8,207882,Beata es Maria quae
chant,8,209516,Beatam me dicent omnes
chant,8,216586,Beata es Maria quae
chant,8,216588,Beatam me dicent omnes
chant,8,220238,Beata es Maria quae
chant,8,220240,Beatam me dicent omnes
chant,8,228424,Beata es Maria quae credidisti
chant,8,228477,Beatam me dicent omnes generationes
chant,8,233706,Beatam me dicent omnes
chant,8,238303,Beata es Maria quae
chant,8,238305,Beatam me dicent omnes
chant,8,243321,Beata es Maria quae credidisti
chant,8,243394,Beatam me dicent omnes generationes
chant,8,253471,Beata es Maria quae credidisti
chant,8,253473,Beatam me dicent omnes generationes
chant,8,260471,Beata es Maria quae
chant,8,260527,Beatam me dicent omnes
chant,8,263538,Beata Agnes in medio
chant,8,264799,Beata dei genetrix Maria vir-
chant,8,266567,Beata es Maria quae
chant,8,266569,Beatam me dicent omnes
chant,8,270197,Beata es Maria quae credidisti
chant,8,270288,Beatam me dicent omnes generationes
chant,8,273220,Beata es Maria quae credidisti
chant,8,276236,Beata es Maria quae
chant,8,276302,Beata es Maria quae
chant,8,287102,Beata es Maria quae credidisti
chant,8,288405,Beata Agnes in medio flammarum
chant,8,291068,Beata Agnes in medio
chant,8,291224,Beata Agatha ingressa
chant,8,296243,Beata Agnes in medio
chant,8,296397,Beata Agatha ingressa
chant,8,297420,Beata es Maria quae
chant,8,298773,Beata Agnes in medio
chant,8,298894,Beata Agatha ingressa
chant,8,300159,Beata es Maria quae
chant,8,301505,Beata Agnes in medio
chant,8,309168,Beata es Maria quae
chant,8,309254,Beatam me dicent omnes
chant,8,310673,Beatam me dicent omnes
chant,8,313959,Beata dei genetrix Maria vir-
chant,8,314621,Beata nimium et deo nostro
chant,8,317057,Beata es Maria quae
chant,8,317101,Beatam me dicent omnes
chant,8,323629,Beata Agnes in medio
chant,8,327479,Beata Agnes in medio
chant,8,331516,Beata Agnes in medio flammarum 
chant,8,341714,Beatam me dicent omnes
chant,8,343995,Beata Agnes in medio
chant,8,345454,Beata es Maria quae
chant,8,345497,Beatam me dicent omnes
chant,8,353351,Beata es Maria quae
chant,8,353399,Beatam me dicent omnes
chant,8,359348,Beata es Maria quae
chant,8,359350,Beatam me dicent omnes
chant,8,363706,Beata es Maria quae
chant,8,363709,Beatam me dicent omnes
chant,8,368246,Beatam me dicent omnes
chant,8,371333,Beata dei genetrix Maria vir-
chant,8,372417,Beata es Maria quae
chant,8,372419,Beatam me dicent omnes
chant,8,374618,Beatam me dicent omnes
chant,8,376155,Beata es Maria quae
chant,8,376156,Beatam me dicent omnes
chant,8,378108,Beatam me dicent omnes
chant,8,386815,Beata es Maria quae credidisti
chant,8,393543,Beatam me dicent omnes generationes
chant,8,393632,Beatam me dicent omnes generationes
chant,8,393969,Beatam me dicent omnes generationes
chant,8,394059,Beata es Maria quae credidisti
chant,8,394444,Beatam me dicent omnes generationes
chant,8,396306,Beata Agnes in medio flammarum 
chant,8,408504,Beata es Maria quae credidisti
chant,8,408552,Beatam me dicent omnes generationes
chant,8,415026,Beata dei genetrix Maria
chant,8,417051,Beata es Maria quae
chant,8,417095,Beatam me dicent omnes
chant,8,419699,Beata es Maria quae
chant,8,419702,Beatam me dicent omnes
chant,8,424957,Beatam me dicent omnes
chant,8,431775,Beata es Maria quae
chant,8,432409,Beata Agnes in medio
chant,8,451208,Beata es Maria quae
chant,8,451301,Beatam me dicent omnes
chant,8,456015,Beata es Maria quae credidisti
chant,8,457149,Beata Agnes in medio flammarum
chant,8,467077,Beata es Maria quae
chant,8,467147,Beatam me dicent omnes
chant,8,467914,Beata Agnes in medio
chant,8,470889,Beata es Maria quae credidisti
chant,8,470995,Beatam me dicent omnes generationes
chant,8,472074,Beata Agnes in medio flammarum 
chant,8,476512,Beata es Maria quae credidisti
chant,8,481993,Beata es Maria quae
chant,8,487841,Beata es Maria quae
chant,8,491918,Beata es Maria quae credidisti
chant,8,492000,Beatam me dicent omnes generationes 
chant,8,498165,Beata es Maria quae
chant,8,505028,Beata Agnes in medio
chant,8,512521,Beata es Maria quae
chant,8,512567,Beatam me dicent omnes
chant,8,514572,Beata es Maria quae credidisti 
chant,8,514641,Beatam me dicent omnes generationes 
chant,8,522278,Beata es Maria quae credidisti
chant,8,522347,Beatam me dicent omnes generationes
chant,8,525886,Beata sterilis quae
chant,8,533545,Beatam me dicent omnes
chant,8,533950,Beata es Maria quae
chant,8,533964,Beatam me dicent omnes
chant,8,535318,Beata Agnes in medio
chant,8,537120,Beata es Maria quae credidisti
chant,8,540230,Beata es Maria quae
chant,8,543295,Beata es Maria quae credidisti 
chant,8,543351,Beatam me dicent omnes generationes
chant,8,548750,Beata es Maria quae credidisti
chant,8,549957,Beata Agnes in medio flammarum
chant,8,550175,Beata Agatha ingressa carcerem expandit
chant,8,554279,Beata es Maria quae
chant,8,554456,Beatam me dicent omnes
chant,8,558207,Beata es Maria quae
chant,8,559097,Beata es Maria quae credidisti
chant,8,559137,Beata es Maria quae credidisti
chant,8,560411,Beata es Maria quae credidisti
chant,8,560466,Beatam me dicent omnes generationes
chant,8,563678,Beata Agnes in medio flammarum
chant,8,571658,Beata es Maria quae credidisti
chant,8,573862,Beatam me dicent omnes generationes
chant,8,574718,Beata es Maria quae credidisti
chant,8,574776,Beatam me dicent omnes generationes
chant,8,578229,Beata es Maria quae credidisti
chant,8,578311,Beatam me dicent omnes generationes
chant,8,581352,Beata es Maria quae credidisti
chant,8,581449,Beatam me dicent omnes generationes
chant,8,584951,Beata es Maria quae credidisti
chant,8,585062,Beatam me dicent omnes generationes
chant,8,587407,Beata es Maria quae credidisti
chant,8,596315,Beata es Maria quae
chant,8,596404,Beatam me dicent omnes
chant,8,602031,Beata es Maria quae credidisti 
chant,8,602073,Beatam me dicent omnes generationes
chant,8,614909,Beata es Maria quae credidisti
chant,8,615780,Beata Agnes in medio flammarum
chant,8,620195,Beata es Maria quae credisti
chant,8,641925,Beata es Maria*
chant,8,669217,Beata es Maria quae credidisti
chant,8,669219,Beatam me dicent omnes generationes
chant,8,700770,Beata dei genetrix Maria vir-
chant,8,1004301,Beatam me dicent omnes generationes
chant,?,214658,Beata me dicent omnes
chant,?,305653,Beata es Maria quae
chant,?,333446,Beata Augusta de muro sedule
chant,?,335537,Beata es Maria quae
chant,?,335606,Beatam me dicent omnes
chant,?,338808,Beata Agnes in medio
chant,?,339019,Beata Agatha ingressa
chant,?,379338,Beata Agnes in medio
chant,?,383564,Beata Agatha ingressa
chant,?,385279,Beata Augusta de muro sedule
chant,,151517,Beata nobis gaudia anni
chant,,202196,Beata nobis*
