type,incipit,id
chant,Alleluia*,401488
chant,Alleluia*,517679
chant,Alleluia vi (Sursum corda),235914
chant,Alleluia vi (Sic veniet)*,500672
chant,Alleluia vi (Sic veniet)*,500693
chant,Alleluia vi (Sic veniet)*,500703
chant,Alleluia vi (Sic veniet),500660
chant,Alleluia vi (Qui sunt hi),156970
chant,Alleluia vi (Puer Jesus),215334
chant,Alleluia vi (Pater sancte)*,240384
chant,Alleluia vi (Pater sancte),240392
chant,Alleluia vi (Pater sancte),370067
chant,Alleluia vi (Nonne sic),156675
chant,Alleluia vi (Nonne sic),500270
chant,Alleluia vi (Mittens haec),235906
chant,Alleluia vi (Lux perpetua),428248
chant,Alleluia vi (Justum deduxit),428237
chant,Alleluia vi (Juste et pie)*,525385
chant,Alleluia vi (Juste et pie),523477
chant,Alleluia vi (In domino)*,500976
chant,Alleluia vi (In domino),155435
chant,Alleluia vi (In domino),238851
chant,Alleluia vi (In domino),336602
chant,Alleluia vi (In domino),368846
chant,Alleluia vi (In domino),407765
chant,Alleluia vi (In domino),420184
chant,Alleluia vi (In domino),425967
chant,Alleluia vi (In domino),499065
chant,Alleluia vi (Et ingressus),156684
chant,Alleluia vi (Et ecce Jesus)*,156668
chant,Alleluia vi (Ego sum),354767
chant,Alleluia vi (Ego sum pastor),428141
chant,Alleluia vi (Dum comple-),433918
chant,Alleluia vi (Diviserunt sibi),479203
chant,Alleluia vi (Cujus),421735
chant,Alleluia vi (Crucifixus),235623
chant,Alleluia vi (Apertis),420172
chant,Alleluia vi,417678
chant,Alleluia vi,582985
chant,Alleluia vi,582997
chant,Alleluia alleluia alleluia alleluia alleluia ,244114
chant,Alleluia alleluia alleluia alleluia alleluia ,398973
chant,Alleluia alleluia alleluia alleluia alleluia ,473199
chant,Alleluia alleluia alleluia alleluia alleluia ,576410
chant,Alleluia alleluia alleluia alleluia alleluia ,582315
chant,Alleluia alleluia alleluia alleluia alleluia,218547
chant,Alleluia alleluia alleluia alleluia alleluia,242191
chant,Alleluia alleluia alleluia alleluia alleluia,388682
chant,Alleluia alleluia alleluia alleluia alleluia,493465
chant,Alleluia alleluia alleluia alleluia alleluia,549637
chant,Alleluia alleluia alleluia alleluia alleluia,551515
chant,Alleluia alleluia alleluia alleluia alleluia,551933
chant,Alleluia alleluia alleluia alleluia alleluia,576399
chant,Alleluia alleluia alleluia alleluia alleluia,576443
chant,Alleluia alleluia alleluia alleluia alleluia,576463
chant,Alleluia alleluia alleluia alleluia alleluia,579894
chant,Alleluia alleluia alleluia alleluia alleluia,617377
chant,Alleluia alleluia alleluia alleluia alleluia,619680
chant,Alleluia alleluia alleluia alleluia alleluia,643771
