type,siglum,id
chant,A-Gu,243157
chant,A-Gu,244066
chant,A-Gu,244739
chant,A-Gu,247379
chant,A-Gu,653946
chant,A-KN,289044
chant,A-KN,291679
chant,A-KN,296840
chant,A-KN,299468
chant,A-KN,302129
chant,A-LIb,337218
chant,A-SF,438457
chant,A-VOR,505598
chant,A-VOR,509671
chant,A-VOR,509694
chant,A-Wda,513410
chant,A-Wn,543175
chant,A-Wn,544009
chant,A-Wn,544241
chant,A-Wn,544927
chant,A-Wn,550716
chant,A-Wn,571833
chant,A-Wn,572958
chant,A-Wn,574262
chant,AUS-Msl,588834
chant,B-DEa,588610
chant,B-Gu,706047
chant,B-TOb,538429
chant,B-TOb,541543
chant,CDN-Hsmu,270049
chant,CDN-Hsmu,271036
chant,CDN-Hsmu,271308
chant,CDN-Mlr,678470
chant,CDN-Ttfl,694347
chant,CH-E,229505
chant,CH-E,231150
chant,CH-E,668217
chant,CH-E,669364
chant,CH-ENstb,275223
chant,CH-Fco,254646
chant,CH-Fco,256025
chant,CH-P,642520
chant,CH-SGs,456988
chant,CH-SGs,457637
chant,CH-SGs,458027
chant,CH-SGs,460514
chant,CH-SGs,471915
chant,CH-SGs,472598
chant,CH-SGs,475883
chant,CZ-Pst,647478
chant,CZ-Pu,464143
chant,CZ-Pu,468498
chant,CZ-Pu,588730
chant,D-AAm,180153
chant,D-AAm,181839
chant,D-AAm,184634
chant,D-B,196531
chant,D-FUl,259153
chant,D-KA,616407
chant,D-KA,619515
chant,D-KNd,601929
chant,D-KNd,602732
chant,D-KNd,602966
chant,D-LEu,644123
chant,D-LEu,651050
chant,D-MZb,346774
chant,D-MZb,349473
chant,D-Ma,359139
chant,D-Ma,360562
chant,D-Ma,361930
chant,D-Mbs,373610
chant,D-Mbs,374404
chant,D-Mbs,374559
chant,D-Sl,432969
chant,D-TRs,697229
chant,D-TRs,697630
chant,D-TRs,701496
chant,D-W,555384
chant,D-WIl,588512
chant,DK-Kk,311115
chant,E-SA,436815
chant,E-Tc,477162
chant,E-Tc,478013
chant,E-Tc,478724
chant,E-Tc,479526
chant,E-Tc,479558
chant,EC-Qsf,684860
chant,F-AI,177012
chant,F-AI,177533
chant,F-AI,178827
chant,F-AS,156020
chant,F-AS,157600
chant,F-AS,159189
chant,F-CA,201249
chant,F-CA,205062
chant,F-CA,208796
chant,F-Pn,396599
chant,F-Pn,398321
chant,F-Pn,400253
chant,F-Pn,409870
chant,F-Pn,410081
chant,F-Pn,415866
chant,F-Pn,417939
chant,F-Pn,419422
chant,F-Pn,445675
chant,F-Pn,451079
chant,F-Pn,452099
chant,F-Pn,452354
chant,F-Pn,453043
chant,F-Pn,455635
chant,F-Pn,675044
chant,F-SO,688916
chant,F-VAL,499664
chant,F-VAL,504165
chant,GB-AB,151686
chant,GB-AB,153900
chant,GB-Cu,210426
chant,GB-Cu,213873
chant,GB-Lbl,1001877
chant,GB-Ob,379842
chant,GB-WO,516469
chant,GB-WO,521952
chant,GB-WO,524175
chant,GB-WO,530070
chant,H-Bu,192171
chant,H-Bu,194002
chant,H-Bu,194266
chant,H-Bu,194308
chant,HR-Dsmbb,277133
chant,HR-Dsmbb,279260
chant,HR-Hf,267583
chant,HR-Hf,268226
chant,HR-Hf,269303
chant,I-AO,165061
chant,I-Ac,167706
chant,I-Ac,171323
chant,I-Ad,173840
chant,I-Ad,174985
chant,I-Ad,176097
chant,I-BV,189359
chant,I-BV,190107
chant,I-CHV,215561
chant,I-Far,235124
chant,I-Far,235728
chant,I-Far,235752
chant,I-Fl,239723
chant,I-Lc,369422
chant,I-Lc,372244
chant,I-MC,352916
chant,I-MZ,354203
chant,I-Nn,364923
chant,I-Nn,366322
chant,I-Nn,367672
chant,I-PCd,420813
chant,I-PCd,422889
chant,I-PCd,423021
chant,I-PCd,423103
chant,I-PCd,424833
chant,I-Rv,427324
chant,I-Rv,431088
chant,I-VCd,568158
chant,I-VCd,568924
chant,I-VCd,568988
chant,I-VCd,575993
chant,I-VCd,576482
chant,I-VCd,578120
chant,I-VCd,579476
chant,I-VCd,579992
chant,I-VCd,582571
chant,I-VCd,583113
chant,I-VCd,584678
chant,I-VCd,586072
chant,I-VCd,587782
chant,NL-Uu,493803
chant,P-Pm,466576
chant,PL-KIk,325484
chant,PL-KIk,330098
chant,PL-Kkar,318038
chant,PL-Kkar,322050
chant,PL-WRu,561847
chant,PL-WRu,596221
chant,PL-WRu,596970
chant,SI-Lna,342990
chant,SI-Lna,345081
chant,SI-Lna,358978
chant,TR-Itks,261898
chant,TR-Itks,266021
chant,US-CHNbcbl,665167
chant,US-CHNbcbl,665984
chant,US-CON,701549
chant,US-Cn,221444
chant,US-Cn,222838
chant,US-Cn,224480
chant,US-IOspca,712841
chant,US-NDu,393787
chant,US-NYcubl,690488
chant,US-STu,1002908
chant,US-STu,1002909
chant,V-CVbav,218145
chant,V-CVbav,219970
chant,V-CVbav,225558
chant,V-CVbav,226850
chant,V-CVbav,228303
chant,XX-NN,387962
chant,,1002682
