type,siglum,id,incipit
chant,A-Gu,247356,Libera me domine de morte 
chant,A-Gu,247357,Judex clementissime in regnum tuum
chant,A-Gu,247358,Dies illa dies irae calamitatis 
chant,A-Gu,247359,Christe te deprecor miserere pro 
chant,A-Gu,247360,Deus vitam viventium spes morientium 
chant,A-Gu,247361,Creator omnium rerum deus qui 
chant,A-Gu,247362,Fletus et stridor dentium (...)
chant,A-Gu,247363,Hujus mundi decus et gloria 
chant,A-Gu,247365,Virgo dei genetrix stella maris 
chant,A-Gu,247367,Aurum et argentum non liberabit 
chant,A-KN,294818,Absolve domine animas eorum ab
chant,A-KN,294819,Sique illis sint domine digne
chant,A-KN,300003,Libera me domine de viis
chant,A-KN,300004,Clamantes et dicentes advenisti redemptor
chant,A-KN,300007,Putasne mortuus homo rursum vivat
chant,A-KN,300008,Ecce in pulvere sedeo et
chant,A-KN,302671,Libera me domine de viis
chant,A-KN,302672,Clamantes et dicentes
chant,A-KN,302675,Putasne mortuus homo rursum
chant,A-KN,302676,Ecce in pulvere sedeo et 
chant,A-KN,305565,Absolve domine animas eorum
chant,A-KN,305566,Si quae illis sint domine
chant,A-SF,439911,Laudabilem virum adoremus in
chant,CDN-Mlr,688822,Requiem aeternam dona eis domine 
chant,CH-SGs,460456,Regem vivorum acquiescentium dominum venite
chant,CH-SGs,460457,Dirige domine deus meus in
chant,CH-SGs,460458,Convertere domine et eripe animam
chant,CH-SGs,460459,Nequando rapiat ut leo animam
chant,CH-SGs,460467,In loco pascuae ibi me
chant,CH-SGs,460468,Delicta juventutis meae et ignorantias
chant,CH-SGs,460469,Credo videre bona domini in
chant,CH-SGs,460477,Anima mea exsultabit in domino
chant,CH-SGs,460478,Complaceat tibi domine ut eripias
chant,CH-SGs,460479,Sitivit anima mea ad deum
chant,CH-SGs,460483,Libera me domine de viis
chant,CH-SGs,460487,Libera me domine de morte
chant,CH-SGs,460724,Laudabilem virum adoremus dominum quem
chant,D-AAm,184640,Regem cui omnia vivunt venite
chant,D-B,199368,Indicabo tibi homo quid sit
chant,D-KNd,334869,Circumdederunt me gemitus mortis dolores
chant,D-KNd,334870,Dirige domine*
chant,D-KNd,334871,Convertere domine*
chant,D-KNd,334872,Nequando rapiat*
chant,D-KNd,334876,Rogamus te domine deus noster
chant,D-KNd,334877,Misericors et miserator et clemens
chant,D-KNd,334878,Libera me domine de viis
chant,D-KNd,334879,Clamantes et dicentes advenisti redemptor
chant,D-KNd,334880,In loco pascuae*
chant,D-KNd,334881,Delicta juventutis*
chant,D-KNd,334884,Scio enim quod redemptor meus
chant,D-KNd,334885,Surgunt mortui et resurgunt qui
chant,D-KNd,334886,Ne tradas domine bestiis animas
chant,D-KNd,334887,Memorare quae sit nostra substantia
chant,D-KNd,334888,Quomodo confitebor tibi domine deus 
chant,D-KNd,334889,Tibi soli peccavi domine*
chant,D-KNd,334890,Non derelinquas me*
chant,D-KNd,334892,Sitivit anima mea*
chant,D-KNd,334894,Memento quaeso domine quod sicut
chant,D-KNd,334895,Vitam et misericordiam tribuisti mihi
chant,D-KNd,334896,Deus aeterne in cujus humana
chant,D-KNd,334897,Qui in cruce positus latronem
chant,D-KNd,334898,Cognoscimus domine quia peccavimus veniam
chant,D-KNd,334899,Vita nostra in dolore suspirat
chant,D-KNd,334910,Dirige domine deus meus in 
chant,D-KNd,334911,Convertere domine et eripe animam
chant,D-KNd,334912,Nequando rapiat ut leo animam 
chant,D-KNd,334921,In loco pascuae ibi me
chant,D-KNd,334922,Delicta juventutis meae et ignorantias
