id,date_created,date_updated,name,description,feast_code,notes,month,day,prefix,created_by_id,last_updated_by_id
2257,2023-06-07 20:15:52.277458+00,2023-07-17 18:39:40.566933+00,Alexandri et sociorum,"Alexander and Eventius, Martyrs",14050310,,5,3,14,,
2258,2023-06-07 20:15:53.271494+00,2023-07-17 18:39:40.574707+00,Amatoris,"Amator (Amatre), Bishop of Auxerre",14050130,,5,1,14,,
4173,2023-06-07 20:15:55.115146+00,2023-07-17 18:39:40.583282+00,Angelae Mericiae,"Angela Merici, Virgin, Foundress of the Ursuline Order of Nuns",14053120,"Holweck, p. 75;",5,31,14,,
4177,2023-06-07 20:15:58.575405+00,2023-07-17 18:39:40.599417+00,Antonini Episcopi,"Antoninus, Archbishop of Florence",14051010,"Holweck, pp. 86-7;",5,10,14,,
2259,2023-06-07 20:15:59.316074+00,2023-07-17 18:39:40.603117+00,Appar. Michaelis,Appearing of Michael the Archangel,14050800,,5,8,14,,
2260,2023-06-07 20:16:02.624843+00,2023-07-17 18:39:40.615311+00,Athanasii,"Athanasius, Archbishop of Alexandria",14050200,,5,2,14,,
2261,2023-06-07 20:16:03.65865+00,2023-07-17 18:39:40.621481+00,Augustini Cant.,"Augustine (Austin), of Canterbury",14052610,,5,26,14,,
4528,2023-06-07 20:16:03.800423+00,2023-07-17 18:39:40.622907+00,"Augustini, conv.","Conversion of Augustine, Bishop and Doctor",14050510,"Holweck, pp. 119-20;",5,5,14,,
4566,2023-06-07 20:23:40.826414+00,2024-07-12 03:25:19.580465+00,"Basilicae BMV de Martyribus Ulyssipponensis, in dedicatione","Dedication of the Basilica of Our Lady of the Martyrs, Lisbon",14051320,,5,13,14,,613
2262,2023-06-07 20:16:08.476613+00,2023-07-17 18:39:40.642553+00,Bedae,"The Venerable Bede, Doctor",14052600,,5,26,14,,
4534,2023-06-07 20:16:10.625202+00,2023-07-17 18:39:42.425995+00,"Bernardini Senensis, transl.",Moving of relics of Bernardinus degl' Albizzeschi of Siena,14051710,"Holweck, p. 155 (May 18);",5,17,14,,
2826,2023-06-07 20:16:12.769423+00,2023-07-17 18:39:40.669383+00,Bonifatii Martyris,,,,5,14,,,
2263,2023-06-07 20:16:15.923488+00,2023-07-17 18:39:40.689118+00,Cantiorum,"Cantius, Cantianus and Cantianilla, Martyrs",14053100,,5,31,14,,
2264,2023-06-07 20:16:16.374847+00,2023-07-17 18:39:40.69277+00,Carauni,"Caraunus, Deacon and Martyr",14052810,,5,28,14,,
2265,2023-06-07 20:16:42.169099+00,2023-07-17 18:39:40.807814+00,Coronae,"Corona, Martyr",14051420,,5,14,14,,
4616,2024-07-14 22:55:13.938733+00,2024-07-14 22:55:13.938757+00,De corona domini,Crown of the Lord,14050430,Also “De spinea corona” – “feast of the Crown of Thorns” in rubrics of some sources; see CantusDB feast code “14081120” and https://usuarium.elte.hu/calendarlabel/322/view. (Apr 24 for Dominicans?),5,4,14,613,
4497,2023-06-07 20:17:01.948116+00,2023-07-17 18:39:40.890838+00,Desiderii Lingon,"Desiderius (Didier), Martyr, Bishop of Langres",14052300,"Holweck, p. 272;",5,23,14,,
2266,2023-06-07 20:17:38.768102+00,2023-07-17 18:39:41.065204+00,Dunstani,"Dunstan, Archbishop of Canterbury",14051920,,5,19,14,,
2267,2023-06-07 20:17:40.931269+00,2023-07-17 18:39:41.079892+00,Elev. Elis. Hung.,Elevation of Elizabeth's relics,14050210,"Holweck, p. 314;",5,2,14,,
2268,2023-06-07 20:17:48.960904+00,2023-07-17 18:39:41.100608+00,Erici,"Eric IX of Sweden, King and Martyr",14051800,d. 1160; patron saint of Sweden,5,18,14,,
