id,title,image_link,genre_name,source_type
638301,,,[?],Chant
645482,,,[?],Chant
672455,,,[?],Chant
675520,,,[?],Chant
675527,,,[?],Chant
706685,,,[?],Chant
712795,,,[?],Chant
588638,,https://lib.is/IE9129581/iiif/2/FL9131032/full/full/0/default.jpg,[?],Chant
588637,,https://lib.is/IE9129581/iiif/2/FL9131031/full/full/0/default.jpg,[?],Chant
588582,,https://hlbrm.digitale-sammlungen.hebis.de/handschriften-hlbrm/content/pageview/450592,[?],Chant
588581,,https://hlbrm.digitale-sammlungen.hebis.de/handschriften-hlbrm/content/pageview/450591,[?],Chant
710400,,http://www.ksbm.oeaw.ac.at/images/AT/5000/AT5000-1013/AT5000-1013_2v.jpg,[?],Chant
