id,title,siglum,incipit,source_type
628334,Gaude mater luminis ,A-Gu 1584,Gaude mater luminis ,Sequence
635126,Gaude mater luminis,A-Gu 17,Gaude mater luminis,Sequence
629750,Gaude mater luminis quam divini numinis,A-Gu 281,Gaude mater luminis quam divini numinis,Sequence
627060,Gaude mater luminis quam divini numinis,A-Gu 479,Gaude mater luminis quam divini numinis,Sequence
626547,Gaude mater luminis quam divini numinis,A-Lol 286,Gaude mater luminis quam divini numinis,Sequence
624976,Gaude mater luminis,A-Lol 466,Gaude mater luminis,Sequence
631656,Gaude mater luminis,CZ-Pap P VIII,Gaude mater luminis,Sequence
630820,Gaude mater luminis quam divini numinis,D-KA P14a,Gaude mater luminis quam divini numinis,Sequence
633236,Gaude mater luminis quam divini numinis,D-KA P15,Gaude mater luminis quam divini numinis,Sequence
632180,Gaude mater luminis quam divini numinis,D-KA P16,Gaude mater luminis quam divini numinis,Sequence
631212,Gaude mater luminis,D-KA P44,Gaude mater luminis,Sequence
630382,Gaude mater luminis,D-Kl  5,Gaude mater luminis,Sequence
629975,Gaude mater luminis quam divini numinis,D-LEu 391,Gaude mater luminis quam divini numinis,Sequence
628326,Gaude mater luminis ,D-Mbs 10075,Gaude mater luminis ,Sequence
630879,Gaude mater luminis,D-Mbs 15730,Gaude mater luminis,Sequence
635183,Gaude mater luminis quam divini numinis,D-Mbs 19267,Gaude mater luminis quam divini numinis,Sequence
636561,Gaude mater luminis quam divini numinis,D-Mbs 27020,Gaude mater luminis quam divini numinis,Sequence
633142,Gaude mater luminis quam divini numinis,D-Mbs 4548,Gaude mater luminis quam divini numinis,Sequence
634633,Gaude mater luminis quam divini numinis,D-Mbs 9508,Gaude mater luminis quam divini numinis,Sequence
633268,Gaude mater luminis quam divini numinis,D-Mbs g716,Gaude mater luminis quam divini numinis,Sequence
631818,Gaude mater luminis,D-Mu 156,Gaude mater luminis,Sequence
636865,Gaude mater luminis quam divini numinis,D-P/imp1511,Gaude mater luminis quam divini numinis,Sequence
637395,Gaude mater luminis,D-Rtt 1/II,Gaude mater luminis,Sequence
636601,Gaude mater luminis quam divini numinis,D-Rtt 42/II,Gaude mater luminis quam divini numinis,Sequence
636643,Gaude mater luminis,D-Rtt 7/II,Gaude mater luminis,Sequence
625744,Gaude mater luminis,D-Sl 20,Gaude mater luminis,Sequence
626212,Gaude mater luminis quam divini numinis,GB-Lbl add.24680,Gaude mater luminis quam divini numinis,Sequence
628432,Gaude mater luminis,GB-Ob can.lit.340,Gaude mater luminis,Sequence
626658,Gaude mater luminis,GB-Ob can.lit.341,Gaude mater luminis,Sequence
630679,Gaude mater luminis,GB-Ob can.lit.354,Gaude mater luminis,Sequence
632953,Gaude mater luminis quam divini numinis,I-CF 56,Gaude mater luminis quam divini numinis,Sequence
630300,Gaude mater luminis quam divini numinis,NL-Uu 417,Gaude mater luminis quam divini numinis,Sequence
634235,Gaude mater luminis,Pl-WRu IV.Q.81,Gaude mater luminis,Sequence
631443,Gaude mater luminis,SL-B EC.Lad.3/18,Gaude mater luminis,Sequence
