type,id,title,manuscript_full_text,source_id,siglum
chant,243217,,Domine deus virtutum converte nos R | Et ostende faciem tuam et salvi erimus,123610,A-Gu
chant,243227,,Domine deus virtutum,123610,A-Gu
chant,243239,,Domine deus virtutum,123610,A-Gu
chant,243318,,Domine deus virtutum,123610,A-Gu
chant,243433,,Domine deus virtutum converte nos | Osten,123610,A-Gu
chant,243629,,Domine audivi auditum tuum et timui consideravi opera tua et expavi in medio duum animalium,123610,A-Gu
chant,243643,,Domine audivi auditum tuum et timui consideravi opera tua et expavi in medio duorum animalium,123610,A-Gu
chant,243747,,Domine audivi auditum tuum et timui consideravi opera tua et expavi in medio duorum animalium | Iacet,123610,A-Gu
chant,244078,,Domine in virtute tua letabitur rex,123610,A-Gu
chant,244082,,Domine ne in ira tua arguas me neque in furore tuo corripias me miserere michi domine quoniam infirmus sum,123610,A-Gu
chant,244101,,Domine dilexi decorem domus tue et locum habitationis glorie tue,123610,A-Gu
chant,244107,,Domine deus israhel exaudi preces nostras auribus percipe dolorem cordis nostri,123610,A-Gu
chant,244154,,Domine in celo misericordia tua,123610,A-Gu
chant,244157,,Domine in celo misericordia tua,123610,A-Gu
chant,244205,,Domine deus meus in te speravi,123610,A-Gu
chant,244234,,Domine deus in adiutorium meum intende,123610,A-Gu
chant,244270,,Domine deus propicius esto populo tuo et converte tribulacionem nostram in gaudium,123610,A-Gu
chant,244273,,Domine deus virtutum convertere respice de celo et vide et visita vineam istam,123610,A-Gu
chant,244281,,Domine refugium factus es nobis,123610,A-Gu
chant,244284,,Domine refugium factus es nobis,123610,A-Gu
chant,244293,,Domine probasti me et cognovisti me,123610,A-Gu
chant,244295,,Domine clamavi ad te exaudi me,123610,A-Gu
chant,244320,,Domine audivi auditum tuum et timui,123610,A-Gu
chant,244341,,Domine exaudi orationem,123610,A-Gu
chant,244342,,Domine exaudi orationem meam et clamor meus ad te perveniat quia non spernis deus preces pauperum,123610,A-Gu
chant,244370,,Domine si tu vis potes me mundare et ait jhesus volo mundare,123610,A-Gu
chant,244371,,Domine puer meus iacet paraliticus in domo et male torquetur amen dico tibi ego veniam et curabo eum,123610,A-Gu
chant,244372,,Domine non sum dignus ut intres sub tectum meum sed tantum dic verbo et sanabitur puer meus,123610,A-Gu
chant,244377,,Domine salva nos perimus impera et fac deus tranquillitatem magnam porro homines cum vidissent quod fecerat signum dicebant qualis est hic quia ventis imperat et mari et obediunt ei,123610,A-Gu
chant,244410,,Domine audivi auditum tuum et timui | Et abscondi,123610,A-Gu
chant,244518,,Domine deus israhel exaudi preces nostras auribus percipe dolorem cordis nostri | Et erue,123610,A-Gu
chant,244583,,Domine refugium tu factus es nobis | A generatione in progenies,123610,A-Gu
chant,244619,,Domine non habeo hominem ut cum mota fuerit aqua mittat me in piscinam,123610,A-Gu
chant,244623,,Domine bonum est nos hic esse si vis faciamus hic tria tabernacula tibi unum moysi unum et helye unum,123610,A-Gu
chant,244653,,Domine tu dixisti michi revertere in terram tuam et in locum nativitatis tue et benefaciam tibi | Libera me,123610,A-Gu
chant,244658,,Domine labia mea aperies et os meum annunciabit laudem tuam,123610,A-Gu
chant,244667,,Domine refugium,123610,A-Gu
chant,244669,,Domine dimitte eam quia clamat post nos ait illis jhesus non sum missus nisi ad oves que perierunt domus israhel,123610,A-Gu
chant,244761,,Domine ut video propheta es tu patres nostri in monte hoc adoraverunt,123610,A-Gu
chant,244818,,Domine deus salutis mee in die clamavi et nocte coram te,123610,A-Gu
chant,244833,,Domine si hic fuisses lazarus non esset mortuus ecce iam fetet quatriduanus in monumento,123610,A-Gu
chant,244845,,Domine deus meus in,123610,A-Gu
chant,244865,,Domine libera animam meam,123610,A-Gu
chant,244867,,Domine labia mea aperies et os meum annunciabit laudem tuam | Liberat,123610,A-Gu
chant,244923,,Domine deus meus in te speravi,123610,A-Gu
chant,244943,,Domine libera animam meam alleluia,123610,A-Gu
chant,244995,,Domine vim patior responde pro me quia nescio quid dicam inimicis meis,123610,A-Gu
chant,245064,,Domine miserere criste dominus factus est obediens usque ad mortem,123610,A-Gu
chant,245091,,Domine tu michi lavas pedes respondit jhesus et dixit ei et si non lavero tibi pedes non habebis partem mecum,123610,A-Gu
chant,245092,,Domine non tantum pedes sed et manus et caput respondit,123610,A-Gu
chant,245164,,Domine abstraxisti ab inferis animam meam,123610,A-Gu
chant,245402,,Domine jhesu criste magister bone suscipe spiritum meum in pace quia iam tempus est ut veniam desiderans te videre,123610,A-Gu
chant,245616,,Domine libera animam meam a labiis iniquis et a lingua dolosa,123610,A-Gu
chant,245628,,Domine suscipe me ut cum fratribus meis sim cum quibus veniens invitasti me aperi michi ianua vite et perduc me ad convivium epularum tuarum tu es enim cristus filius dei vivi qui precepto patris mundum salvasti tibi gracias referimus per infinita seculorum secula,123610,A-Gu
chant,245650,,Domine suscipe me ut cum,123610,A-Gu
chant,246303,,Domine rex eterne qui es tuorum spes certa sanctorum per orationem servi tui Blasii memento nostri,123610,A-Gu
chant,246324,,Domine rex eterne,123610,A-Gu
chant,246974,,Domine prevenisti eum in benedictionibus dulcedinis posuisti in capite eius coronam de lapide precioso,123610,A-Gu
chant,246977,,Domine iste sanctus habitabit in tabernaculo tuo operatus est iusticiam requiescet in monte sancto tuo,123610,A-Gu
chant,247067,,Domine dominus noster quam admirabile est nomen tuum in universa terra quia gloria et honore coronasti sanctum tuum et constituisti eum super opera manuum tuarum,123610,A-Gu
chant,247071,,Domine quinque talenta tradidisti michi ecce alia quinque superlucratus sum | Intra,123610,A-Gu
chant,247080,,Domine iste sanctus habitabit in tabernaculo tuo operatus est iusticiam requiescet in monte sancto tuo,123610,A-Gu
chant,247145,,Domine quinque talenta tradidisti michi ecce alia quinque superlucratus sum,123610,A-Gu
chant,247163,,Domine iste sanctus,123610,A-Gu
chant,247167,,Domine prevenisti,123610,A-Gu
chant,247213,,Domine quinque talenta,123610,A-Gu
chant,247748,,Domine si in tempore hoc restitues regnum israhel dixit autem eis non est vestrum nosse tempora vel monumenta que pater posuit in sua potestate alleluia,123611,A-Gu
chant,248145,,Domine in virtute tua,123611,A-Gu
chant,248158,,Domine qui custodis pactum et misericordiam servis tuis qui ambulant coram te in toto corde suo | Benedicite,123611,A-Gu
chant,248159,,Domine si conversus fuerit populus tuus oraverit ad sanctuarium tuum tu exaudies in celo domine et libera eos de manibus inimicorum eorum,123611,A-Gu
chant,248206,,Domine factum est ut imperasti et adhuc locus est,123611,A-Gu
chant,248207,,Domine factum est ut imperasti et adhuc locus est et ait dominus servo exi in vias  vias et sepes et conpelle intrare ut impleatur domus mea,123611,A-Gu
chant,248235,,Domine pater et deus vite mee ne derelinquas me in cogitatu maligno extollenciam oculorum meorum ne dederis michi et desiderium malignum averte a me domine aufer a me concupiscentiam et animo irreverenti et infrunito ne tradas me domine,123611,A-Gu
chant,248239,,Domine pater et deus vite mee ne derelinquas me in cogitatu maligno | Quoniam,123611,A-Gu
chant,248360,,Domine deus,123611,A-Gu
chant,248369,,Domine rex omnipotens in ditione tua cuncta sunt posita et non est qui possit resistere voluntati,123611,A-Gu
chant,248370,,Domine rex omnipotens in ditione tua cuncta sunt,123611,A-Gu
chant,248381,,Domine deus exercituum magne et mirabilis | Exaudi,123611,A-Gu
chant,248382,,Domine deus qui conteris bella ab inicio eleva brachium tuum super gentes que cogitant servis tuis mala et dextera tua glorificetur in nobis,123611,A-Gu
chant,248388,,Domine rex omnipotens in dicione tua cuncta sunt posita et non est qui possit resistere voluntati tue libera nos propter nomen tuum,123611,A-Gu
chant,248393,,Domine deus celi et terre respice ad humilitatem nostram | Qui iratus,123611,A-Gu
chant,248499,,Domine descende ut sanes filium meum priusquam moriatur dicit ei jhesus vade filius tuus vivit alleluia,123611,A-Gu
chant,248528,,Domine dilexi decorem,123611,A-Gu
chant,248577,,Domine dilexi decorem,123611,A-Gu
chant,248762,,Domine ostende nobis patrem et sufficit nobis alleluia philippe qui videt me videt et patrem alleluia alelluia,123611,A-Gu
chant,248772,,Domine ostende,123611,A-Gu
chant,249289,,Domine quinque talenta,123611,A-Gu
chant,249325,,Domine si tu es iube me venire ad te super aquas et extendens manum apprehendit eum et dixit jhesus modice fidei quare dubitasti,123611,A-Gu
chant,249538,,Domine deus noster,123611,A-Gu
chant,249547,,Domine iste sanctus,123611,A-Gu
chant,249601,,Domine si tu es iube,123611,A-Gu
chant,249643,,Domine quinque,123611,A-Gu
chant,249885,,Domine non aspicias,123611,A-Gu
chant,249923,,Domine non aspicias peccata mea sed fidem huius hominis qui resuscitari filium suum et redde in hoc corpusculum animam quam abtulisti et completa oracione revixit et sanum reddidit patri suo,123611,A-Gu
chant,250239,,Domine libera animam meam a labiis iniquis et a lingua dolosa,123611,A-Gu
chant,250748,,Domine iste sanctus,123611,A-Gu
chant,250754,,Domine prevenisti,123611,A-Gu
chant,250769,,Domine mi rex da michi in disco caput iohannis baptiste,123611,A-Gu
chant,250783,,Domine mi rex,123611,A-Gu
chant,251031,,Domine iste sanctus,123611,A-Gu
chant,251049,,Domine rex eterne qui es tuorum spes certa sanctorum per orationem servi tui lamberti memento nostri,123611,A-Gu
chant,251051,,Domine rex,123611,A-Gu
