type,id,title,mode,volpiano,source_id,siglum
chant,250109,,2,,123611,A-Gu
chant,284821,,2,1---a7--cdf--d---cff---gffed-feD--dc---dfec--ef--gffe---dffede--fd---f---fgh--hgge--fg---fgffede--fd7---da--c---df--d--d---dF--d---df--d---df--d--d---cef-gfe-ef-gfg--gf---3---c---dF7--f--def---dC--df--dfcd--cdc-bab-ba---ab--cdC--cdef-gfe-efgfg--gf---fgh--h-ghfd-cdfg-hfgfe--defef--ed7---4,123613,A-KN
chant,284822,,2,1---d--c--cdffG--f---gh--g--f---fE--fg---ef--d--defe--fd---d--defedc--d--fe-fgf7---fedf--dc---3---6------6---3,123613,A-KN
chant,284863,,2,1---a--a--cdfD--d7---d--d--f---fe-fgdf--dc---def-gffe--d--dffede--fd---f--fhgf--fd--g---fgfede--fd---3---da--c7---df--d--d---dF--d---df--d---df--d--d---dcdf-gfe-efgfg--gf---fghG--h-ghfd-cdfg-hfgfe77--dfef--ed---4,123613,A-KN
chant,284923,,2,1---a--a--cfd--d---ff--fg---gffed-feD--dc---dC---c-dfD--d7---f--fe-ffcd--def-gffe---dffede--fd---d---cdef-g--f--f---fE--fg--fgffede--fd---defedc--defe-fgf---fedf77--dc---3---d--dfD--c---a---dfec--def-gffe---dffede--fd---4,123613,A-KN
chant,284924,,2,1---d--cdeffG--f---f7---f---fg--ef--dfe--fd---d---d--efedc--d--fe-fgf---fedf--dc---3---6------6---3,123613,A-KN
chant,284977,,2,1---cd--d---d-efd--d---d--d--c--d---fe--fgF--d--d7---dca-bcd--d---dF---d---dC--d--fd--cd--c---c--dF--ffed--fd---cD---d--d---dg7---gfd--d---fe--dc--d--c---a---cD--d--d---d---d--c--def--dC---defg--fE--d--d---d---fG7--g---g--gf--ghG--fed--d---d---d--c--d--f--ef---g--fe--d--d---4---6------6---3---7f--f--f--f--cd--d---3,123613,A-KN
chant,285050,,2,1---cd--dfddc---cd--ffg--f---ef-gfgfe--defef--ed---f7--ef---d--dC--dfcd--cdbcca---cdf--f---ef-gfgfe--dfef--ed---3---c--d--fghgf-egfg--fgeffd---fe--fg7--fe--d---cd---dfcd--cdbcca---cd--df-ff-fdc-cdef--f---ef-gfgfe--fd--defef--ed---4,123613,A-KN
chant,285051,,2,1---cdef-g--f---gh--g---fg--f7--fe---fg---ef--defe---fd---d--cd---df--d---d---d--df--d--d---df--d7---d--df--d---defedc---d--fe-fgf---fedf--dc---3---6------6---3,123613,A-KN
chant,285059,,2,1---a--cdf--d--d---f---fe-fgdf--dc---d--dfec--ff---gffe--d--dffede--fd---f---fghg-hkh--g7---fe--fg---fg--ffede--fd---cdffedc---d--fefgf---fedf--dc---3---dfec--def-gffe---df-fede--fd---4,123613,A-KN
