id,title,incipit,mode
153471,,Beata progenies*,*
161008,,Beata progenies*,*
162787,,Beata est quae*,*
162790,,Beata es Maria*,*
164178,,Beatam me dicent*,*
164179,,Beata es Maria*,*
170192,,Beata mater et innupta virgo,*
207041,,Beata nobis*,*
207060,,Beata nobis*,*
207064,,Beata nobis*,*
211343,,Beata nobis gaudia*,*
213418,,Beata progenies*,*
223761,,Beatam me dicent omnes,*
224382,,Beata mater et inducta virgo*,*
228203,,Beata mater et innupta virgo,*
232322,,Beata es virgo*,*
232883,,Beata Caecilia*,*
243395,,Beatam me*,*
246180,,Beata Agnes*,*
347727,,Beata nobis gaudia*,*
363281,,Beata mater et innupta virgo,*
367722,,Beata mater et innupta virgo,*
411069,,Beata nobis gaudia*,*
411091,,Beata nobis*,*
413465,,Beata nobis gaudia*,*
415267,,Beata progenies*,*
415269,,Beata progenies*,*
415275,,Beata genetrix*,*
457378,,Beata es Maria*,*
457379,,Beatam me dicent*,*
459288,,Beata es virgo Maria*,*
472338,,Beata es Maria*,*
472339,,Beatam me dicent*,*
474180,,Beata es virgo Maria*,*
490378,,Beata nobis*,*
514762,,Beatam*,*
514803,,Beatam*,*
514856,,Beatam me dicent*,*
517443,,Beata nobis*,*
517469,,Beata nobis*,*
517489,,Beata nobis*,*
522466,,Beatam*,*
522507,,Beatam*,*
522548,,Beatam me dicent*,*
525149,,Beata nobis*,*
525175,,Beata nobis*,*
525195,,Beata nobis*,*
554344,,Beatam me dicent*,*
566523,,Beata es Maria quae credidisti,*
566598,,Beatam me dicent omnes generationes,*
587771,,Beata mater et innupta virgo,*
614801,,Beatam me dicent*,*
677251,,Beata es Maria quae credidisti,*
679207,,Beatam me dicent omnes generationes,*
310341,,Beata Agatha ingressa,1
371332,,Beata mater et innupta virgo,2
426661,,Beata virgo Christi Agathe,2
580550,,Beata mater et intacta virgo,2
603525,,Beata Agatha*,3
508415,,Beatae corpus virginis,4
392117,,Beata nobis gaudia anni reduxit,5
496258,,Beata Augusta de muro sedule ,5
328782,,Beata es virgo*,6
423616,,Beata es virgo*,6
164065,,Beata Agatha ingressa,7
182800,,Beata Agatha ingressa,7
185712,,Beata Agatha ingressa,7
231607,,Beata Agatha ingressa carcerem expandit,7
242360,,Beata Agatha ingressa carcerem expandit,7
