type,id,siglum,title,incipit
sequence,628334,A-Gu 1584,Gaude mater luminis ,Gaude mater luminis 
sequence,635126,A-Gu 17,Gaude mater luminis,Gaude mater luminis
sequence,629750,A-Gu 281,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,627060,A-Gu 479,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,626547,A-Lol 286,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,624976,A-Lol 466,Gaude mater luminis,Gaude mater luminis
sequence,631656,CZ-Pap P VIII,Gaude mater luminis,Gaude mater luminis
sequence,630820,D-KA P14a,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,633236,D-KA P15,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,632180,D-KA P16,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,631212,D-KA P44,Gaude mater luminis,Gaude mater luminis
sequence,630382,D-Kl  5,Gaude mater luminis,Gaude mater luminis
sequence,629975,D-LEu 391,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,628326,D-Mbs 10075,Gaude mater luminis ,Gaude mater luminis 
sequence,630879,D-Mbs 15730,Gaude mater luminis,Gaude mater luminis
sequence,635183,D-Mbs 19267,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,636561,D-Mbs 27020,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,633142,D-Mbs 4548,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,634633,D-Mbs 9508,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,633268,D-Mbs g716,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,631818,D-Mu 156,Gaude mater luminis,Gaude mater luminis
sequence,636865,D-P/imp1511,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,637395,D-Rtt 1/II,Gaude mater luminis,Gaude mater luminis
sequence,636601,D-Rtt 42/II,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,636643,D-Rtt 7/II,Gaude mater luminis,Gaude mater luminis
sequence,625744,D-Sl 20,Gaude mater luminis,Gaude mater luminis
sequence,626212,GB-Lbl add.24680,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,628432,GB-Ob can.lit.340,Gaude mater luminis,Gaude mater luminis
sequence,626658,GB-Ob can.lit.341,Gaude mater luminis,Gaude mater luminis
sequence,630679,GB-Ob can.lit.354,Gaude mater luminis,Gaude mater luminis
sequence,632953,I-CF 56,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,630300,NL-Uu 417,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
sequence,634235,Pl-WRu IV.Q.81,Gaude mater luminis,Gaude mater luminis
sequence,631443,SL-B EC.Lad.3/18,Gaude mater luminis,Gaude mater luminis
