type,id,incipit,siglum
Chant,243217,Domine deus virtutum converte nos,A-Gu
Chant,243227,Domine deus virtutum*,A-Gu
Chant,243239,Domine deus virtutum*,A-Gu
Chant,243318,Domine deus virtutum*,A-Gu
Chant,243433,Domine deus virtutum converte nos,A-Gu
Chant,243629,Domine audivi auditum tuum et,A-Gu
Chant,243643,Domine audivi auditum tuum et,A-Gu
Chant,243747,Domine audivi auditum tuum et,A-Gu
Chant,244078,Domine in virtute tua laetabitur,A-Gu
Chant,244082,Domine ne in ira tua,A-Gu
Chant,244101,Domine dilexi decorem domus tuae,A-Gu
Chant,244107,Domine deus Israel exaudi preces,A-Gu
Chant,244154,Domine in caelo misericordia tua,A-Gu
Chant,244157,Domine in caelo misericordia tua,A-Gu
Chant,244205,Domine deus meus in te ,A-Gu
Chant,244234,Domine deus in adjutorium meum,A-Gu
Chant,244270,Domine deus propitius esto populo,A-Gu
Chant,244273,Domine deus virtutum convertere respice,A-Gu
Chant,244281,Domine refugium factus es nobis,A-Gu
Chant,244284,Domine refugium factus es nobis,A-Gu
Chant,244293,Domine probasti me et cognovisti,A-Gu
Chant,244295,Domine clamavi ad te exaudi,A-Gu
Chant,244320,Domine audivi auditum tuum et,A-Gu
Chant,244341,Domine exaudi orationem*,A-Gu
Chant,244342,Domine exaudi orationem meam et ,A-Gu
Chant,244370,Domine si tu vis potes,A-Gu
Chant,244371,Domine puer meus jacet paralyticus,A-Gu
Chant,244372,Domine non sum dignus ut,A-Gu
Chant,244377,Domine salva nos perimus impera ,A-Gu
Chant,244410,Domine audivi auditum tuum et ,A-Gu
Chant,244518,Domine deus Israel exaudi preces ,A-Gu
Chant,244583,Domine refugium tu factus es ,A-Gu
Chant,244619,Domine non habeo hominem ut,A-Gu
Chant,244623,Domine bonum est nos hic,A-Gu
Chant,244653,Domine tu dixisti mihi revertere,A-Gu
Chant,244658,Domine labia mea aperies et,A-Gu
Chant,244667,Domine refugium*,A-Gu
Chant,244669,Domine dimitte eam quia clamat,A-Gu
Chant,244761,Domine ut video propheta es,A-Gu
Chant,244818,Domine deus salutis meae in ,A-Gu
Chant,244833,Domine si hic fuisses Lazarus,A-Gu
Chant,244845,Domine deus meus in*,A-Gu
Chant,244865,Domine libera animam meam*,A-Gu
Chant,244867,Domine labia mea aperies et ,A-Gu
Chant,244923,Domine deus meus in te ,A-Gu
Chant,244943,Domine libera animam meam alleluia,A-Gu
Chant,244995,Domine vim patior responde pro,A-Gu
Chant,245064,Domine miserere Christe dominus factus,A-Gu
Chant,245091,Domine tu mihi lavas pedes ,A-Gu
Chant,245092,Domine non tantum pedes sed ,A-Gu
Chant,245164,Domine abstraxisti ab inferis animam,A-Gu
Chant,245402,Domine Jesu Christe magister bone,A-Gu
Chant,245616,Domine libera animam meam a,A-Gu
Chant,245628,Domine suscipe me ut cum,A-Gu
Chant,245650,Domine suscipe me ut cum*,A-Gu
Chant,246303,Domine rex aeterne qui es,A-Gu
Chant,246324,Domine rex aeterne*,A-Gu
Chant,246339,Domine rex aeterne qui es,A-Gu
Chant,246974,Domine praevenisti eum in benedictionibus,A-Gu
Chant,246977,Domine iste sanctus habitabit in ,A-Gu
Chant,247067,Domine dominus noster quam admirabile ,A-Gu
Chant,247071,Domine quinque talenta tradidisti mihi,A-Gu
Chant,247080,Domine iste sanctus habitabit in ,A-Gu
Chant,247145,Domine quinque talenta tradidisti mihi ,A-Gu
Chant,247163,Domine iste sanctus*,A-Gu
Chant,247167,Domine praevenisti*,A-Gu
Chant,247213,Domine quinque talenta*,A-Gu
Chant,247748,Domine si in tempore hoc,A-Gu
Chant,248145,Domine in virtute tua*,A-Gu
Chant,248158,Domine qui custodis pactum et,A-Gu
Chant,248159,Domine si conversus fuerit populus,A-Gu
Chant,248206,Domine factum est ut imperasti,A-Gu
Chant,248207,Domine factum est ut imperasti,A-Gu
Chant,248235,Domine pater et deus vitae,A-Gu
Chant,248239,Domine pater et deus vitae,A-Gu
Chant,248360,Domine deus*,A-Gu
Chant,248369,Domine rex omnipotens in ditione,A-Gu
Chant,248370,Domine rex omnipotens in ditione,A-Gu
Chant,248381,Domine deus exercituum magne et,A-Gu
Chant,248382,Domine deus qui conteris bella,A-Gu
Chant,248388,Domine rex omnipotens in ditione ,A-Gu
Chant,248393,Domine deus caeli et terrae,A-Gu
Chant,248499,Domine descende ut sanes filium ,A-Gu
Chant,248528,Domine dilexi decorem*,A-Gu
Chant,248577,Domine dilexi decorem*,A-Gu
Chant,248762,Domine ostende nobis patrem et,A-Gu
Chant,248772,Domine ostende*,A-Gu
Chant,249289,Domine quinque talenta*,A-Gu
Chant,249325,Domine si tu es jube,A-Gu
Chant,249538,Domine deus noster*,A-Gu
Chant,249547,Domine iste sanctus*,A-Gu
Chant,249601,Domine si tu es jube*,A-Gu
Chant,249643,Domine quinque*,A-Gu
Chant,249885,Domine non aspicias*,A-Gu
Chant,249923,Domine non aspicias peccata mea,A-Gu
Chant,250239,Domine libera animam meam a,A-Gu
Chant,250748,Domine iste sanctus*,A-Gu
Chant,250754,Domine praevenisti*,A-Gu
Chant,250769,Domine mi rex da mihi,A-Gu
Chant,250783,Domine mi rex*,A-Gu
Chant,251031,Domine iste sanctus*,A-Gu
Chant,251049,Domine rex aeterne qui es,A-Gu
Chant,251051,Domine rex*,A-Gu
Chant,251058,Domine libera animam meam a,A-Gu
Chant,251075,Domine rex aeterne*,A-Gu
Chant,251150,Domine rex*,A-Gu
Chant,251244,Domine iste sanctus cum*,A-Gu
Chant,251247,Domine praevenisti eum*,A-Gu
Chant,251368,Domine Jesu Christe ne despicias ,A-Gu
Chant,251557,Domine qui operati sunt justitiam,A-Gu
Chant,251566,Domine spes sanctorum et turris,A-Gu
Chant,251569,Domine deus virtutum beati omnes,A-Gu
Chant,251618,Domine deus noster*,A-Gu
Chant,251634,Domine si adhuc populo tuo,A-Gu
Chant,251635,Domine si adhuc in eodem,A-Gu
Chant,251637,Domine si adhuc populo tuo,A-Gu
Chant,251667,Domine si adhuc populo tuo,A-Gu
Chant,251681,Domine deus noster cujus gratia,A-Gu
Chant,251683,Domine si adhuc*,A-Gu
Chant,251711,Domine deus noster*,A-Gu
Chant,251754,Domine iste sanctus*,A-Gu
Chant,251758,Domine praevenisti*,A-Gu
Chant,251886,Domine Jesu Christe seminator casti,A-Gu
Chant,251909,Domine Jesu Christe pastor bone,A-Gu
Chant,251934,Domine Jesu Christe*,A-Gu
Chant,251952,Domine praevenisti*,A-Gu
Chant,251955,Domine iste sanctus*,A-Gu
Chant,252136,Domine Jesu Christe magister bone,A-Gu
Chant,252492,Domine praevenisti eum in benedictionibus ,A-Gu
Chant,252496,Domine iste sanctus habitabit in,A-Gu
Chant,252587,Domine dominus noster quam admirabile,A-Gu
Chant,252591,Domine quinque talenta tradidisti mihi ,A-Gu
Chant,252600,Domine iste sanctus habitabit in,A-Gu
Chant,252665,Domine quinque talenta tradidisti mihi,A-Gu
Chant,252682,Domine iste sanctus*,A-Gu
Chant,252686,Domine praevenisti*,A-Gu
Chant,252733,Domine quinque*,A-Gu
Chant,653931,Domine deus salutis meae in,A-Gu
Chant,654085,Domine deus virtutum*,A-Gu
Chant,654289,Domine dominus noster* ,A-Gu
Chant,654500,Domine bonum est nos hic ,A-Gu
Chant,654529,Domine labia mea aperies et,A-Gu
Chant,654693,Domine si hic fuisses Lazarus,A-Gu
Chant,657818,Domine labia mea aperies et,A-Gu
Chant,657926,Domine vim patior responde pro,A-Gu
Chant,658005,Domine miserere nobis,A-Gu
Chant,658125,Domine abstraxisti ab inferis animam,A-Gu
Chant,658161,Domine deus virtutum converte nos,A-Gu
Chant,658547,Domine audivi auditum tuum et ,A-Gu
Chant,658779,Domine si in tempore hoc ,A-Gu
Chant,658820,Domine libera animam meam a ,A-Gu
Chant,658939,Domine ostende nobis patrem et,A-Gu
Chant,658944,Domine ostende*,A-Gu
Chant,659263,Domine si tu es jube ,A-Gu
Chant,662495,Domine mi rex da mihi ,A-Gu
Chant,662698,Domine deus sabaoth omnium dignitatum ,A-Gu
Chant,662830,Domine Jesu Christe ne despicias,A-Gu
Chant,662869,Domine qui operati sunt justitiam,A-Gu
Chant,662903,Domine spes sanctorum et turris ,A-Gu
Chant,662910,Domine deus virtutum beati omnes ,A-Gu
Chant,662989,Domine deus noster cujus gratia ,A-Gu
Chant,663013,Domine si adhuc populo tuo ,A-Gu
Chant,663014,Domine si adhuc in eodem,A-Gu
Chant,663046,Domine si adhuc populo tuo,A-Gu
Chant,663226,Domine Jesu Christe seminator casti ,A-Gu
Chant,663233,Domine Jesu Christe pastor bone,A-Gu
