type,id,institution_siglum
chant,248197,A-Gu
chant,286673,A-KN
chant,294466,A-KN
chant,305260,A-KN
chant,307343,A-KR
chant,338263,A-LIb
chant,439773,A-SF
chant,509150,A-VOR
chant,510686,A-Wda
chant,534860,A-Wda
chant,554093,A-Wn
chant,230638,CH-E
chant,181060,D-AAm
chant,199181,D-B
chant,187105,D-BAs
chant,258045,D-FUl
chant,619119,D-KA
chant,334012,D-KNd
chant,348796,D-MZb
chant,377095,D-Mbs
chant,435463,D-Sl
chant,312686,DK-Kk
chant,481724,E-Tc
chant,487244,E-Tc
chant,202384,F-CA
chant,395617,F-Pn
chant,395618,F-Pn
chant,401442,F-Pn
chant,407782,F-Pn
chant,418187,F-Pn
chant,450707,F-Pn
chant,500935,F-VAL
chant,382063,GB-Ob
chant,386086,GB-Ob
chant,275861,HR-Dsmbb
chant,163573,I-AO
chant,174559,I-Ad
chant,237639,I-Far
chant,370203,I-Lc
chant,355025,I-MZ
chant,428587,I-Rv
chant,569375,I-VCd
chant,576756,I-VCd
chant,584410,I-VCd
chant,326747,PL-KIk
chant,563040,PL-WRu
chant,597655,PL-WRu
chant,356856,SI-Lna
chant,263162,TR-Itks
chant,218875,V-CVbav
chant,389017,XX-NN
