id,title,incipit,siglum
153471,,Beata progenies*,GB-AB 20541 E
161008,,Beata progenies*,F-AS 465 (CGM 893)
162787,,Beata est quae*,F-AS 465 (CGM 893)
162790,,Beata es Maria*,F-AS 465 (CGM 893)
164178,,Beatam me dicent*,I-AO 6
164179,,Beata es Maria*,I-AO 6
170192,,Beata mater et innupta virgo,I-Ac 694
207041,,Beata nobis*,F-CA Impr. XVI C 4
207060,,Beata nobis*,F-CA Impr. XVI C 4
207064,,Beata nobis*,F-CA Impr. XVI C 4
211343,,Beata nobis gaudia*,GB-Cu Mm.ii.9
213418,,Beata progenies*,GB-Cu Mm.ii.9
223761,,Beatam me dicent omnes,US-Cn 24
224382,,Beata mater et inducta virgo*,US-Cn 24
228203,,Beata mater et innupta virgo,V-CVbav Vat.lat. 8737
232322,,Beata es virgo*,CH-E 611
232883,,Beata Caecilia*,CH-E 611
243395,,Beatam me*,A-Gu 29
246180,,Beata Agnes*,A-Gu 29
347727,,Beata nobis gaudia*,D-MZb C
363281,,Beata mater et innupta virgo,D-Ma 12o Cmm 1
367722,,Beata mater et innupta virgo,I-Nn vi.E.20
411069,,Beata nobis gaudia*,F-Pn Lat. 15181
411091,,Beata nobis*,F-Pn Lat. 15181
413465,,Beata nobis gaudia*,F-Pn Lat. 15182
415267,,Beata progenies*,F-Pn Lat. 15182
415269,,Beata progenies*,F-Pn Lat. 15182
415275,,Beata genetrix*,F-Pn Lat. 15182
457378,,Beata es Maria*,CH-SGs 390
457379,,Beatam me dicent*,CH-SGs 390
459288,,Beata es virgo Maria*,CH-SGs 391
472338,,Beata es Maria*,CH-SGs 388
472339,,Beatam me dicent*,CH-SGs 388
474180,,Beata es virgo Maria*,CH-SGs 388
490378,,Beata nobis*,F-TOm 149
514762,,Beatam*,GB-WO F.160 (Facs)
514803,,Beatam*,GB-WO F.160 (Facs)
514856,,Beatam me dicent*,GB-WO F.160 (Facs)
517443,,Beata nobis*,GB-WO F.160 (Facs)
517469,,Beata nobis*,GB-WO F.160 (Facs)
517489,,Beata nobis*,GB-WO F.160 (Facs)
522466,,Beatam*,GB-WO F.160
522507,,Beatam*,GB-WO F.160
522548,,Beatam me dicent*,GB-WO F.160
525149,,Beata nobis*,GB-WO F.160
525175,,Beata nobis*,GB-WO F.160
525195,,Beata nobis*,GB-WO F.160
554344,,Beatam me dicent*,D-W 29 Helmst.
566523,,Beata es Maria quae credidisti,I-VCd LXII
566598,,Beatam me dicent omnes generationes,I-VCd LXII
587771,,Beata mater et innupta virgo,I-VCd CLXX
614801,,Beatam me dicent*,D-KA Aug. LX
677251,,Beata es Maria quae credidisti,CDN-Mlr MS Medieval 0111
679207,,Beatam me dicent omnes generationes,CDN-Mlr MS Medieval 0111
310341,,Beata Agatha ingressa,DK-Kk 3449 8o [03] III
371332,,Beata mater et innupta virgo,I-Lc 601
426661,,Beata virgo Christi Agathe,I-Rv C.5
580550,,Beata mater et intacta virgo,I-VCd XXXVII
603525,,Beata Agatha*,D-KNd 1161
508415,,Beatae corpus virginis,A-VOR 287
392117,,Beata nobis gaudia anni reduxit,MA Impr. 1537
496258,,Beata Augusta de muro sedule ,NL-Uu 406 (3 J 7)
328782,,Beata es virgo*,PL-KIk 1
423616,,Beata es virgo*,I-PCd cod. 65
164065,,Beata Agatha ingressa,I-AO 6
182800,,Beata Agatha ingressa,D-AAm G 20
185712,,Beata Agatha ingressa,D-BAs Msc.Lit.25
231607,,Beata Agatha ingressa carcerem expandit,CH-E 611
246413,,Beata Agatha ingressa carcerem expandit,A-Gu 29
288562,,Beata Agatha ingressa carcerem expandit ,A-KN CCl 1013
301655,,Beata Agatha ingressa,A-KN CCl 1015
310349,,Beata Agatha ingressa,DK-Kk 3449 8o [03] III
327713,,Beata Agatha ingressa,PL-KIk 1
344124,,Beata Agatha ingressa,SI-Lna 18 (olim 17)
432524,,Beata Agatha ingressa,D-Sl HB.I.55
441310,,Beata Agatha ingressa,F-R 248
457257,,Beata Agatha ingressa carcerem expandit,CH-SGs 390
468018,,Beata Agatha ingressa,CZ-Pu XIV B 13
472182,,Beata Agatha ingressa carcerem expandit,CH-SGs 388
493318,,Beata Agatha ingressa carcerem expandit,NL-Uu 406 (3 J 7)
505118,,Beata Agatha ingressa,A-VOR 287
535398,,Beata Agatha ingressa,A-Wda D-4
557520,,Beata Agatha ingressa,D-W 28 Helmst.
615948,,Beata Agatha ingressa carcerem expandit,D-KA Aug. LX
154534,,Beata es Maria quae,F-AS 465 (CGM 893)
165637,,Beata es Maria quae,GB-Lbl IB.6753
166491,,Beata es Maria quae,I-Ac 694
166493,,Beatam me dicent omnes,I-Ac 694
170311,,Beata es Maria quae credidisti,I-Ac 693
170313,,Beatam me dicent omnes generationes,I-Ac 693
172974,,Beata es Maria quae,I-Ad 5
172976,,Beatam me dicent omnes,I-Ad 5
182571,,Beata Agnes in medio,D-AAm G 20
185236,,Beata es Maria quae,D-BAs Msc.Lit.25
188214,,Beata es Maria quae,I-BV V 19
188263,,Beatam me dicent omnes,I-BV V 19
191032,,Beata es Maria quae,H-Bu lat. 118
191034,,Beatam me dicent omnes,H-Bu lat. 118
194825,,Beatam me dicent omnes,H-Bu lat. 122
200029,,Beata es Maria quae credidisti,F-CA 38
200079,,Beatam me dicent omnes generationes,F-CA 38
203777,,Beata es Maria quae credidisti,F-CA 38
