id,title,incipit
401488,,Alleluia*
517679,,Alleluia*
235914,,Alleluia vi (Sursum corda)
500672,,Alleluia vi (Sic veniet)*
500693,,Alleluia vi (Sic veniet)*
500703,,Alleluia vi (Sic veniet)*
500660,,Alleluia vi (Sic veniet)
156970,,Alleluia vi (Qui sunt hi)
215334,,Alleluia vi (Puer Jesus)
240384,,Alleluia vi (Pater sancte)*
240392,,Alleluia vi (Pater sancte)
370067,,Alleluia vi (Pater sancte)
156675,,Alleluia vi (Nonne sic)
500270,,Alleluia vi (Nonne sic)
235906,,Alleluia vi (Mittens haec)
428248,,Alleluia vi (Lux perpetua)
428237,,Alleluia vi (Justum deduxit)
525385,,Alleluia vi (Juste et pie)*
523477,,Alleluia vi (Juste et pie)
500976,,Alleluia vi (In domino)*
155435,,Alleluia vi (In domino)
238851,,Alleluia vi (In domino)
336602,,Alleluia vi (In domino)
368846,,Alleluia vi (In domino)
407765,,Alleluia vi (In domino)
420184,,Alleluia vi (In domino)
425967,,Alleluia vi (In domino)
499065,,Alleluia vi (In domino)
156684,,Alleluia vi (Et ingressus)
156668,,Alleluia vi (Et ecce Jesus)*
354767,,Alleluia vi (Ego sum)
428141,,Alleluia vi (Ego sum pastor)
433918,,Alleluia vi (Dum comple-)
479203,,Alleluia vi (Diviserunt sibi)
421735,,Alleluia vi (Cujus)
235623,,Alleluia vi (Crucifixus)
420172,,Alleluia vi (Apertis)
417678,,Alleluia vi
582985,,Alleluia vi
582997,,Alleluia vi
244114,,Alleluia alleluia alleluia alleluia alleluia 
398973,,Alleluia alleluia alleluia alleluia alleluia 
473199,,Alleluia alleluia alleluia alleluia alleluia 
576410,,Alleluia alleluia alleluia alleluia alleluia 
582315,,Alleluia alleluia alleluia alleluia alleluia 
218547,,Alleluia alleluia alleluia alleluia alleluia
242191,,Alleluia alleluia alleluia alleluia alleluia
388682,,Alleluia alleluia alleluia alleluia alleluia
493465,,Alleluia alleluia alleluia alleluia alleluia
549637,,Alleluia alleluia alleluia alleluia alleluia
551515,,Alleluia alleluia alleluia alleluia alleluia
551933,,Alleluia alleluia alleluia alleluia alleluia
576399,,Alleluia alleluia alleluia alleluia alleluia
576443,,Alleluia alleluia alleluia alleluia alleluia
576463,,Alleluia alleluia alleluia alleluia alleluia
579894,,Alleluia alleluia alleluia alleluia alleluia
617377,,Alleluia alleluia alleluia alleluia alleluia
619680,,Alleluia alleluia alleluia alleluia alleluia
643771,,Alleluia alleluia alleluia alleluia alleluia
