id,siglum,title,incipit
628334,A-Gu 1584,Gaude mater luminis ,Gaude mater luminis 
635126,A-Gu 17,Gaude mater luminis,Gaude mater luminis
629750,A-Gu 281,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
627060,A-Gu 479,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
626547,A-Lol 286,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
624976,A-Lol 466,Gaude mater luminis,Gaude mater luminis
631656,CZ-Pap P VIII,Gaude mater luminis,Gaude mater luminis
630820,D-KA P14a,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
633236,D-KA P15,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
632180,D-KA P16,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
631212,D-KA P44,Gaude mater luminis,Gaude mater luminis
630382,D-Kl  5,Gaude mater luminis,Gaude mater luminis
629975,D-LEu 391,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
628326,D-Mbs 10075,Gaude mater luminis ,Gaude mater luminis 
630879,D-Mbs 15730,Gaude mater luminis,Gaude mater luminis
635183,D-Mbs 19267,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
636561,D-Mbs 27020,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
633142,D-Mbs 4548,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
634633,D-Mbs 9508,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
633268,D-Mbs g716,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
631818,D-Mu 156,Gaude mater luminis,Gaude mater luminis
636865,D-P/imp1511,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
637395,D-Rtt 1/II,Gaude mater luminis,Gaude mater luminis
636601,D-Rtt 42/II,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
636643,D-Rtt 7/II,Gaude mater luminis,Gaude mater luminis
625744,D-Sl 20,Gaude mater luminis,Gaude mater luminis
626212,GB-Lbl add.24680,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
628432,GB-Ob can.lit.340,Gaude mater luminis,Gaude mater luminis
626658,GB-Ob can.lit.341,Gaude mater luminis,Gaude mater luminis
630679,GB-Ob can.lit.354,Gaude mater luminis,Gaude mater luminis
632953,I-CF 56,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
630300,NL-Uu 417,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis
634235,Pl-WRu IV.Q.81,Gaude mater luminis,Gaude mater luminis
631443,SL-B EC.Lad.3/18,Gaude mater luminis,Gaude mater luminis
