id,title,incipit,institution_siglum
243217,,Domine deus virtutum converte nos,A-Gu
243227,,Domine deus virtutum*,A-Gu
243239,,Domine deus virtutum*,A-Gu
243318,,Domine deus virtutum*,A-Gu
243433,,Domine deus virtutum converte nos,A-Gu
243629,,Domine audivi auditum tuum et,A-Gu
243643,,Domine audivi auditum tuum et,A-Gu
243747,,Domine audivi auditum tuum et,A-Gu
244078,,Domine in virtute tua laetabitur,A-Gu
244082,,Domine ne in ira tua,A-Gu
244101,,Domine dilexi decorem domus tuae,A-Gu
244107,,Domine deus Israel exaudi preces,A-Gu
244154,,Domine in caelo misericordia tua,A-Gu
244157,,Domine in caelo misericordia tua,A-Gu
244205,,Domine deus meus in te ,A-Gu
244234,,Domine deus in adjutorium meum,A-Gu
244270,,Domine deus propitius esto populo,A-Gu
244273,,Domine deus virtutum convertere respice,A-Gu
244281,,Domine refugium factus es nobis,A-Gu
244284,,Domine refugium factus es nobis,A-Gu
244293,,Domine probasti me et cognovisti,A-Gu
244295,,Domine clamavi ad te exaudi,A-Gu
244320,,Domine audivi auditum tuum et,A-Gu
244341,,Domine exaudi orationem*,A-Gu
244342,,Domine exaudi orationem meam et ,A-Gu
244370,,Domine si tu vis potes,A-Gu
244371,,Domine puer meus jacet paralyticus,A-Gu
244372,,Domine non sum dignus ut,A-Gu
244377,,Domine salva nos perimus impera ,A-Gu
244410,,Domine audivi auditum tuum et ,A-Gu
244518,,Domine deus Israel exaudi preces ,A-Gu
244583,,Domine refugium tu factus es ,A-Gu
244619,,Domine non habeo hominem ut,A-Gu
244623,,Domine bonum est nos hic,A-Gu
244653,,Domine tu dixisti mihi revertere,A-Gu
244658,,Domine labia mea aperies et,A-Gu
244667,,Domine refugium*,A-Gu
244669,,Domine dimitte eam quia clamat,A-Gu
244761,,Domine ut video propheta es,A-Gu
244818,,Domine deus salutis meae in ,A-Gu
244833,,Domine si hic fuisses Lazarus,A-Gu
244845,,Domine deus meus in*,A-Gu
244865,,Domine libera animam meam*,A-Gu
244867,,Domine labia mea aperies et ,A-Gu
244923,,Domine deus meus in te ,A-Gu
244943,,Domine libera animam meam alleluia,A-Gu
244995,,Domine vim patior responde pro,A-Gu
245064,,Domine miserere Christe dominus factus,A-Gu
245091,,Domine tu mihi lavas pedes ,A-Gu
245092,,Domine non tantum pedes sed ,A-Gu
245164,,Domine abstraxisti ab inferis animam,A-Gu
245402,,Domine Jesu Christe magister bone,A-Gu
245616,,Domine libera animam meam a,A-Gu
245628,,Domine suscipe me ut cum,A-Gu
245650,,Domine suscipe me ut cum*,A-Gu
246303,,Domine rex aeterne qui es,A-Gu
246324,,Domine rex aeterne*,A-Gu
246339,,Domine rex aeterne qui es,A-Gu
246974,,Domine praevenisti eum in benedictionibus,A-Gu
246977,,Domine iste sanctus habitabit in ,A-Gu
247067,,Domine dominus noster quam admirabile ,A-Gu
247071,,Domine quinque talenta tradidisti mihi,A-Gu
247080,,Domine iste sanctus habitabit in ,A-Gu
247145,,Domine quinque talenta tradidisti mihi ,A-Gu
247163,,Domine iste sanctus*,A-Gu
247167,,Domine praevenisti*,A-Gu
247213,,Domine quinque talenta*,A-Gu
247748,,Domine si in tempore hoc,A-Gu
248145,,Domine in virtute tua*,A-Gu
248158,,Domine qui custodis pactum et,A-Gu
248159,,Domine si conversus fuerit populus,A-Gu
248206,,Domine factum est ut imperasti,A-Gu
248207,,Domine factum est ut imperasti,A-Gu
248235,,Domine pater et deus vitae,A-Gu
248239,,Domine pater et deus vitae,A-Gu
248360,,Domine deus*,A-Gu
248369,,Domine rex omnipotens in ditione,A-Gu
248370,,Domine rex omnipotens in ditione,A-Gu
248381,,Domine deus exercituum magne et,A-Gu
248382,,Domine deus qui conteris bella,A-Gu
248388,,Domine rex omnipotens in ditione ,A-Gu
248393,,Domine deus caeli et terrae,A-Gu
248499,,Domine descende ut sanes filium ,A-Gu
248528,,Domine dilexi decorem*,A-Gu
248577,,Domine dilexi decorem*,A-Gu
248762,,Domine ostende nobis patrem et,A-Gu
248772,,Domine ostende*,A-Gu
249289,,Domine quinque talenta*,A-Gu
249325,,Domine si tu es jube,A-Gu
249538,,Domine deus noster*,A-Gu
249547,,Domine iste sanctus*,A-Gu
249601,,Domine si tu es jube*,A-Gu
249643,,Domine quinque*,A-Gu
249885,,Domine non aspicias*,A-Gu
249923,,Domine non aspicias peccata mea,A-Gu
250239,,Domine libera animam meam a,A-Gu
250748,,Domine iste sanctus*,A-Gu
250754,,Domine praevenisti*,A-Gu
250769,,Domine mi rex da mihi,A-Gu
250783,,Domine mi rex*,A-Gu
251031,,Domine iste sanctus*,A-Gu
251049,,Domine rex aeterne qui es,A-Gu
251051,,Domine rex*,A-Gu
251058,,Domine libera animam meam a,A-Gu
251075,,Domine rex aeterne*,A-Gu
251150,,Domine rex*,A-Gu
251244,,Domine iste sanctus cum*,A-Gu
251247,,Domine praevenisti eum*,A-Gu
251368,,Domine Jesu Christe ne despicias ,A-Gu
251557,,Domine qui operati sunt justitiam,A-Gu
251566,,Domine spes sanctorum et turris,A-Gu
251569,,Domine deus virtutum beati omnes,A-Gu
251618,,Domine deus noster*,A-Gu
251634,,Domine si adhuc populo tuo,A-Gu
251635,,Domine si adhuc in eodem,A-Gu
251637,,Domine si adhuc populo tuo,A-Gu
251667,,Domine si adhuc populo tuo,A-Gu
251681,,Domine deus noster cujus gratia,A-Gu
251683,,Domine si adhuc*,A-Gu
251711,,Domine deus noster*,A-Gu
251754,,Domine iste sanctus*,A-Gu
251758,,Domine praevenisti*,A-Gu
251886,,Domine Jesu Christe seminator casti,A-Gu
251909,,Domine Jesu Christe pastor bone,A-Gu
251934,,Domine Jesu Christe*,A-Gu
251952,,Domine praevenisti*,A-Gu
251955,,Domine iste sanctus*,A-Gu
252136,,Domine Jesu Christe magister bone,A-Gu
252492,,Domine praevenisti eum in benedictionibus ,A-Gu
252496,,Domine iste sanctus habitabit in,A-Gu
252587,,Domine dominus noster quam admirabile,A-Gu
252591,,Domine quinque talenta tradidisti mihi ,A-Gu
252600,,Domine iste sanctus habitabit in,A-Gu
252665,,Domine quinque talenta tradidisti mihi,A-Gu
252682,,Domine iste sanctus*,A-Gu
252686,,Domine praevenisti*,A-Gu
252733,,Domine quinque*,A-Gu
653931,,Domine deus salutis meae in,A-Gu
654085,,Domine deus virtutum*,A-Gu
654289,,Domine dominus noster* ,A-Gu
654500,,Domine bonum est nos hic ,A-Gu
654529,,Domine labia mea aperies et,A-Gu
654693,,Domine si hic fuisses Lazarus,A-Gu
657818,,Domine labia mea aperies et,A-Gu
657926,,Domine vim patior responde pro,A-Gu
658005,,Domine miserere nobis,A-Gu
658125,,Domine abstraxisti ab inferis animam,A-Gu
658161,,Domine deus virtutum converte nos,A-Gu
658547,,Domine audivi auditum tuum et ,A-Gu
658779,,Domine si in tempore hoc ,A-Gu
658820,,Domine libera animam meam a ,A-Gu
658939,,Domine ostende nobis patrem et,A-Gu
658944,,Domine ostende*,A-Gu
659263,,Domine si tu es jube ,A-Gu
662495,,Domine mi rex da mihi ,A-Gu
662698,,Domine deus sabaoth omnium dignitatum ,A-Gu
662830,,Domine Jesu Christe ne despicias,A-Gu
662869,,Domine qui operati sunt justitiam,A-Gu
662903,,Domine spes sanctorum et turris ,A-Gu
662910,,Domine deus virtutum beati omnes ,A-Gu
662989,,Domine deus noster cujus gratia ,A-Gu
663013,,Domine si adhuc populo tuo ,A-Gu
663014,,Domine si adhuc in eodem,A-Gu
663046,,Domine si adhuc populo tuo,A-Gu
663226,,Domine Jesu Christe seminator casti ,A-Gu
663233,,Domine Jesu Christe pastor bone,A-Gu
663570,,Domine dilexi decorem*,A-Gu
663792,,Domine quinque talenta tradidisti mihi,A-Gu
663799,,Domine dominus noster quam admirabile,A-Gu
663806,,Domine iste sanctus habitabit in,A-Gu
663906,,Domine deus meus in te,A-Gu
663928,,Domine qui custodis pactum et,A-Gu
663929,,Domine si conversus fuerit populus,A-Gu
663933,,Domine in virtute tua laetabitur ,A-Gu
663960,,Domine pater et deus vitae,A-Gu
663961,,Domine pater et deus vitae,A-Gu
664035,,Domine deus caeli et terrae,A-Gu
664038,,Domine deus qui conteris bella ,A-Gu
664040,,Domine rex omnipotens in ditione,A-Gu
664045,,Domine deus caeli et terrae ,A-Gu
664119,,Domine audivi auditum tuum et ,A-Gu
664152,,Domine factum est ut imperasti,A-Gu
664203,,Domine descende ut sanes filium ,A-Gu
664216,,Domine dilexi decorem domus tuae,A-Gu
664220,,Domine audivi auditum tuum et,A-Gu
664391,,Domine virtus et laetitia rectorum,A-Gu
664421,,Domine suscipe me ut cum,A-Gu
664586,,Domine ne in ira tua,A-Gu
664611,,Domine dilexi decorem domus tuae,A-Gu
664712,,Domine ne in ira tua,A-Gu
664759,,Domine deus in adjutorium meum,A-Gu
