id,title,incipit,siglum,folio,mode,service_id,service_name,feast_name,institution_siglum
247356,,Libera me domine de morte ,A-Gu 29,356r,?,4153,M,Pro defunctis,A-Gu
247357,,Judex clementissime in regnum tuum,A-Gu 29,356v,?,4153,M,Pro defunctis,A-Gu
247358,,Dies illa dies irae calamitatis ,A-Gu 29,356v,?,4153,M,Pro defunctis,A-Gu
247359,,Christe te deprecor miserere pro ,A-Gu 29,356v,?,4153,M,Pro defunctis,A-Gu
247360,,Deus vitam viventium spes morientium ,A-Gu 29,356v,?,4153,M,Pro defunctis,A-Gu
247361,,Creator omnium rerum deus qui ,A-Gu 29,357r,?,4153,M,Pro defunctis,A-Gu
247362,,Fletus et stridor dentium (...),A-Gu 29,357r,?,4153,M,Pro defunctis,A-Gu
247363,,Hujus mundi decus et gloria ,A-Gu 29,358r,?,4153,M,Pro defunctis,A-Gu
247365,,Virgo dei genetrix stella maris ,A-Gu 29,359v,?,4153,M,Pro defunctis,A-Gu
247367,,Aurum et argentum non liberabit ,A-Gu 29,359v,?,4153,M,Pro defunctis,A-Gu
294818,,Absolve domine animas eorum ab,A-KN 1018,240v,?,4153,M,Pro defunctis,A-KN
294819,,Sique illis sint domine digne,A-KN 1018,241r,?,4153,M,Pro defunctis,A-KN
300003,,Libera me domine de viis,A-KN 1011,242r,?,4153,M,Pro defunctis,A-KN
300004,,Clamantes et dicentes advenisti redemptor,A-KN 1011,242r,?,4153,M,Pro defunctis,A-KN
300007,,Putasne mortuus homo rursum vivat,A-KN 1011,242v,?,4153,M,Pro defunctis,A-KN
300008,,Ecce in pulvere sedeo et,A-KN 1011,242v,?,4153,M,Pro defunctis,A-KN
302671,,Libera me domine de viis,A-KN 1015,187r,?,4153,M,Pro defunctis,A-KN
302672,,Clamantes et dicentes,A-KN 1015,187r,?,4153,M,Pro defunctis,A-KN
302675,,Putasne mortuus homo rursum,A-KN 1015,187r,?,4153,M,Pro defunctis,A-KN
302676,,Ecce in pulvere sedeo et ,A-KN 1015,187v,?,4153,M,Pro defunctis,A-KN
305565,,Absolve domine animas eorum,A-KN 589,155r,?,4153,M,Pro defunctis,A-KN
305566,,Si quae illis sint domine,A-KN 589,155r,?,4153,M,Pro defunctis,A-KN
439911,,Laudabilem virum adoremus in,A-SF XI 480,185r,?,4153,M,De Prophetis,A-SF
688822,,Requiem aeternam dona eis domine ,CDN-Mlr 234,145r,?,4153,M,Pro defunctis,CDN-Mlr
460456,,Regem vivorum acquiescentium dominum venite,CH-SGs 391,196,?,4153,M,Pro defunctis,CH-SGs
460457,,Dirige domine deus meus in,CH-SGs 391,196,?,4153,M,Pro defunctis,CH-SGs
460458,,Convertere domine et eripe animam,CH-SGs 391,196,?,4153,M,Pro defunctis,CH-SGs
460459,,Nequando rapiat ut leo animam,CH-SGs 391,196,?,4153,M,Pro defunctis,CH-SGs
460467,,In loco pascuae ibi me,CH-SGs 391,197,?,4153,M,Pro defunctis,CH-SGs
460468,,Delicta juventutis meae et ignorantias,CH-SGs 391,197,?,4153,M,Pro defunctis,CH-SGs
460469,,Credo videre bona domini in,CH-SGs 391,197,?,4153,M,Pro defunctis,CH-SGs
460477,,Anima mea exsultabit in domino,CH-SGs 391,197,?,4153,M,Pro defunctis,CH-SGs
460478,,Complaceat tibi domine ut eripias,CH-SGs 391,197,?,4153,M,Pro defunctis,CH-SGs
460479,,Sitivit anima mea ad deum,CH-SGs 391,197,?,4153,M,Pro defunctis,CH-SGs
460483,,Libera me domine de viis,CH-SGs 391,198,?,4153,M,Pro defunctis,CH-SGs
460487,,Libera me domine de morte,CH-SGs 391,198,?,4153,M,Pro defunctis,CH-SGs
460724,,Laudabilem virum adoremus dominum quem,CH-SGs 391,222,?,4153,M,De Prophetis,CH-SGs
184640,,Regem cui omnia vivunt venite,D-AAm G 20,360v,?,4153,M,Pro defunctis,D-AAm
199368,,Indicabo tibi homo quid sit,D-B Mus. 40047,141v,?,4153,M,De Prophetis,D-B
334869,,Circumdederunt me gemitus mortis dolores,D-KNd 215,202v,?,4153,M,Pro defunctis,D-KNd
334870,,Dirige domine*,D-KNd 215,202v,?,4153,M,Pro defunctis,D-KNd
334871,,Convertere domine*,D-KNd 215,202v,?,4153,M,Pro defunctis,D-KNd
334872,,Nequando rapiat*,D-KNd 215,202v,?,4153,M,Pro defunctis,D-KNd
334876,,Rogamus te domine deus noster,D-KNd 215,203r,?,4153,M,Pro defunctis,D-KNd
334877,,Misericors et miserator et clemens,D-KNd 215,203r,?,4153,M,Pro defunctis,D-KNd
334878,,Libera me domine de viis,D-KNd 215,203r,?,4153,M,Pro defunctis,D-KNd
334879,,Clamantes et dicentes advenisti redemptor,D-KNd 215,203r,?,4153,M,Pro defunctis,D-KNd
334880,,In loco pascuae*,D-KNd 215,203r,?,4153,M,Pro defunctis,D-KNd
334881,,Delicta juventutis*,D-KNd 215,203v,?,4153,M,Pro defunctis,D-KNd
334884,,Scio enim quod redemptor meus,D-KNd 215,203v,?,4153,M,Pro defunctis,D-KNd
334885,,Surgunt mortui et resurgunt qui,D-KNd 215,203v,?,4153,M,Pro defunctis,D-KNd
334886,,Ne tradas domine bestiis animas,D-KNd 215,204r,?,4153,M,Pro defunctis,D-KNd
334887,,Memorare quae sit nostra substantia,D-KNd 215,204r,?,4153,M,Pro defunctis,D-KNd
334888,,Quomodo confitebor tibi domine deus ,D-KNd 215,204r,?,4153,M,Pro defunctis,D-KNd
334889,,Tibi soli peccavi domine*,D-KNd 215,204v,?,4153,M,Pro defunctis,D-KNd
334890,,Non derelinquas me*,D-KNd 215,204v,?,4153,M,Pro defunctis,D-KNd
334892,,Sitivit anima mea*,D-KNd 215,204v,?,4153,M,Pro defunctis,D-KNd
334894,,Memento quaeso domine quod sicut,D-KNd 215,204v,?,4153,M,Pro defunctis,D-KNd
334895,,Vitam et misericordiam tribuisti mihi,D-KNd 215,204v,?,4153,M,Pro defunctis,D-KNd
334896,,Deus aeterne in cujus humana,D-KNd 215,205r,?,4153,M,Pro defunctis,D-KNd
334897,,Qui in cruce positus latronem,D-KNd 215,205r,?,4153,M,Pro defunctis,D-KNd
334898,,Cognoscimus domine quia peccavimus veniam,D-KNd 215,205v,?,4153,M,Pro defunctis,D-KNd
334899,,Vita nostra in dolore suspirat,D-KNd 215,205v,?,4153,M,Pro defunctis,D-KNd
334910,,Dirige domine deus meus in ,D-KNd 215,206v,?,4153,M,Pro defunctis,D-KNd
334911,,Convertere domine et eripe animam,D-KNd 215,206v,?,4153,M,Pro defunctis,D-KNd
334912,,Nequando rapiat ut leo animam ,D-KNd 215,206v,?,4153,M,Pro defunctis,D-KNd
334921,,In loco pascuae ibi me,D-KNd 215,207r,?,4153,M,Pro defunctis,D-KNd
334922,,Delicta juventutis meae et ignorantias,D-KNd 215,207r,?,4153,M,Pro defunctis,D-KNd
334931,,Ne derelinquas me domine deus ,D-KNd 215,207v,?,4153,M,Pro defunctis,D-KNd
334933,,Sitivit anima mea ad deum,D-KNd 215,207v,?,4153,M,Pro defunctis,D-KNd
334940,,Absolve domine animas eorum ab,D-KNd 215,208r,?,4153,M,Pro defunctis,D-KNd
334941,,Si quae illis sint domine,D-KNd 215,208r,?,4153,M,Pro defunctis,D-KNd
334942,,Libera me domine de morte ,D-KNd 215,208r,?,4153,M,Pro defunctis,D-KNd
334943,,Dies illa dies irae calamitatis ,D-KNd 215,208r,?,4153,M,Pro defunctis,D-KNd
334944,,Tremens factus sum ego et ,D-KNd 215,208r,?,4153,M,Pro defunctis,D-KNd
