id,name,description,feast_code,month,day
2360,"Abdonis, Sennis","Abdon and Sennen, Martyrs",14073000,7,30
2311,Acacii et sociorum,"Acacius and Companions, Martyrs",14062220,6,22
1471,Ad Benedicite,Antiphons for the Benedicite canticle,16001000,,
1472,Ad Benedictus,Antiphons for the Benedictus canticle,16002000,,
1473,Ad Completorium,For Compline,16006000,,
1474,Ad Magnificat,Antiphons for the Magnificat canticle,16003000,,
1475,Ad Mandatum,At the Mandatum (Foot-Washing),07065010,,
1476,Ad Missam,Mass chants appearing as a group,16012000,,
1477,Ad Nunc Dimittis,Antiphons for the Nunc Dimittis canticle,16005000,,
2104,Ad Nunc Dimittis TP,"Antiphons for the Nunc Dimittis canticle, Eastertide",16005080,,
1478,Ad Processionem,For Processions,16009000,,
1479,Ad Suffragium,Memorial chants,15000000,,
1470,Ad aquam benedictio,Chants for the blessing of water,16010000,,
2797,Ad aspersionem aquae benedictae,For the sprinkling of Holy Water,16023000,,
2798,Ad aspersionem aquae benedictae TP,For the sprinkling of Holy Water in Eastertide,16023080,,
2800,Ad lavandum altaria,Chants for the washing of the altar,16024000,,
1480,Ad visitandum infirmum,Chants for the visiting of the sick,16013000,,
2228,Adalberti,"Adalbert of Prague, Bishop and Martyr",14042310,4,23
2092,"Adalberti,8",In week after Adalbert,14042318,,
4552,Adalhardi Corbeiensis,"Adalard (Adalhard) of Corbie, Abbot",14010220,1,2
2722,Adalheidae,"Adelaide, Empress",14121600,12,16
1481,Additamenta,"Added or Miscellaneous Items

To be used when the feast designation is unknown/unknowable because it was not provided by the scribe(s).",17001000,,
2516,Adriani,"Adrian, Martyr",14091000,9,10
2582,Adventus Ewaldorum,Arrival of the Ewald brothers' relics (heads) in Muenster,14102910,10,29
2434,Adventus Walburgae,The Departure of Walburga from England (to found a religious house in Bischofsheim),14080410,8,4
2517,Aegidii,"Aegidius (Giles), Abbot",14090100,9,1
4527,"Aemigdii, Episc. et Martyr","Emygdius (Emidius), Bishop Martyr",14080530,8,5
4263,Aemiliani Cucullati,"Aemilianus Cucullatus, Confessor, Relics in San Millan de la Cogolla",14111220,,
2435,Afrae,"Afra, Martyr",14080500,8,5
2436,Agapiti,"Agapitus, Martyr",14081800,8,18
1482,"Agapiti,8",In week after Agapitus,14081808,,
2183,Agathae,"Agatha, Virgin Martyr",14020500,2,5
1483,"Agathae,8",In week after Agatha,14020508,,
2116,Agnetis,"Agnes, Virgin Martyr",14012100,1,21
4264,Agnetis Assisiensis,"Agnes of Assisi, younger sister to Clare",14111610,,
4612,Agnetis secundo,"The memory of Agnes (""a remnant of an ancient octave,"" Holweck, p. 33)",14012840,1,28
1484,"Agnetis,8",In week after Agnes,14012108,,
2518,Aichardi,"Aichardus (Achard, Aichadrus, Aycadrius), Abbot",14091520,9,15
2312,"Albani, Mart.","Albanus (Alban) of Mainz, Martyr",14062100,6,21
2437,Alberti,"Albert of Trapani, Confessor and Carmelite Friar",14080720,8,7
2801,Alberti Magni,"Albert the Great (Albertus Magnus), Bishop of Regensburg and ""Doctor Universalis""",14111550,11,15
2210,"Albini, Epi.","Albinus (Aubin), Bishop of Angers",14030100,3,1
2117,Aldegundis,"Aldegundis, Virgin",14013000,1,30
2257,Alexandri et sociorum,"Alexander and Eventius, Martyrs",14050310,5,3
2361,Alexis,"Alexis, the Man of God",14071700,7,17
4170,Aloisii Gonzagae,"Aloysius (Luigi) Gonzaga, Confessor, Patron of youthful Catholic students",14062120,6,21
4617,Alphegi,"Alphege (Aelfeah, Elphege, Aelfeach),Archbishop of Canterbury (1006-1012)",14041920,4,19
4171,Alphonsi Mariae de Ligorio,"Alphonsus Maria de Liguori, Bishop, Confessor, Doctor of the Church",14080210,8,2
2184,Amandi,"Amand (Amandus), Bishop",14020620,2,6
2583,Amati,"Amatus, Bishop of Sens",14101900,10,19
2258,Amatoris,"Amator (Amatre), Bishop of Auxerre",14050130,5,1
2229,Ambrosii,"Ambrose, Bishop of Milan, Doctor",14040400,4,4
2230,Ambrosii TP,"Ambrose, Eastertide",14040480,4,4
2118,Anastasii,"Anastasius the Persian, Martyr",14012210,1,22
2661,Andreae,"Andrew, Apostle",14113000,11,30
4172,Andreae Avellini,"Andrew, Avellino (Lancelotto), Confessor",14111010,11,10
2185,Andreae Corsini,"Andrew Corsini, Carmelite ""apostle of Florence""",14020400,2,4
1485,"Andreae,8",In week after Andrew,14113008,,
4173,Angelae Mericiae,"Angela Merici, Virgin, Foundress of the Ursuline Order of Nuns",14053120,5,31
2584,Angeli Custodis,For Guardian Angels,14100220,10,2
2662,Aniani,"Anianus (Aignan), Bishop of Orleans",14111710,11,17
2362,Annae,"Anne, Mother of Mary",14072610,7,26
2211,Annuntiatio Mariae,Annunciation of Mary (Lady Day),14032500,3,25
4492,"Annuntiatio Mariae, Dom. infra oct.",Sunday after Annunciation of Mary,14032501,,
1486,"Annuntiatio Mariae,8",In week after Annunciation of Mary,14032508,,
2212,Annuntiatio TP,"Annunciation of Mary, Eastertide",14032580,3,25
