id,name,description
2311,Acacii et sociorum,"Acacius and Companions, Martyrs"
2517,Aegidii,"Aegidius (Giles), Abbot"
4527,"Aemigdii, Episc. et Martyr","Emygdius (Emidius), Bishop Martyr"
4170,Aloisii Gonzagae,"Aloysius (Luigi) Gonzaga, Confessor, Patron of youthful Catholic students"
2229,Ambrosii,"Ambrose, Bishop of Milan, Doctor"
2230,Ambrosii TP,"Ambrose, Eastertide"
2118,Anastasii,"Anastasius the Persian, Martyr"
2186,Ansgarii,"Anskar, Bishop and Confessor"
2119,Antonii,"Antony, Abbot"
4175,Antonii Mariae Claret,"Antonio Maria Claret y Clara, Bishop, Confessor, Spanish Prelate and Missionary"
4176,Antonii Mariae Zaccaria,"Antonio Maria Zaccaria, Confessor, Founder of the Clerks Regular of St. Paul (Barnabites)"
2313,Antonii Patavini,"Anthony of Padua, Doctor"
4553,Aredii Nivernensis,"Aredius (Aregius, Arigius, Agricius, Aré) of Nevers, Bishop"
2260,Athanasii,"Athanasius, Archbishop of Alexandria"
4265,Austremonii,"Austremonius (Stremoine), Bishop, Martyr, Apostle of Auvergne"
2122,Basilii,"Basil of Ancyra, Martyr"
2317,"Basilii, Doct.","Basil the Great, Doctor"
2188,Blasii,"Blaise, Bishop of Sebastea, Martyr"
1496,"Blasii,8",In week after Blaise
2318,Bonifacii,"Boniface, Archbishop and Martyr"
2826,Bonifatii Martyris,
4269,Bononii,"Bononius, Abbot, Disciple of Romuald"
2664,Briccii,"Brice, Bishop of Tours"
4271,"Briccii,8",In week after Brice
4537,Caesarii Arelatensis,"Caesarius, Archbishop of Arles"
2666,"Caesarii, Juliani","Caesarius and Julian, Martyrs"
4273,"Caprasii, Abb.","Caprasius, Abbot of Lerins"
4274,"Caprasii, Mart.","Caprasius, Martyr, of Agen"
4490,"Claudii commentariensis, Symphoriani, Nicostrati et sociorum","Claudius, his sons Felicissimus and Symphorianus, his brother Victorinus, and Castor the brother of the jailer Nicostratus, Roman Martyrs"
2115,Constantii,"Constantius, Bishop of Perugia"
2525,"Cornelii, Cypriani","Cornelius and Cyprian, Martyrs"
2594,Demetrii,"Demetrius, Martyr"
4497,Desiderii Lingon,"Desiderius (Didier), Martyr, Bishop of Langres"
2595,Dionysii,"Denis (Dionysius), Bishop of Paris"
1580,"Dionysii,8","In week after Denis, Bishop of Paris"
2734,Eligii,"Eligius (Eloi), Bishop of Noyon"
4189,Eucharii,"Eucharius, First Bishop of Trier"
2679,Eugenii,"Eugene, Martyr, Disciple of Denis"
2459,"Eupli, Leucii","Euplus, Deacon Martyr; and Leucius, Bishop Confessor"
2460,Eusebii,Eusebius of Rome
4297,Eusebii Episcopi,"Eusebius, Bishop of Vercelli"
2680,Eustachii,"Eustachius (Eustace), Martyr"
4476,Eustachii,"Eustachius (Eustasius, Eustace), Martyr"
2735,Eustratii et Soc.,"Eustratius et al, Martyrs"
2269,Euticii,"Euticius (Eutice, Euthycius), Martyr"
2233,Eutropii,"Eutropius, Bishop of Saintes, Martyr"
2533,Evurtii,"Evurtius (Euvert), Bishop"
1727,Fer. 2 in Letaniis,Rogation Monday
1756,Fer. 3 in Letaniis,Rogation Tuesday
1786,Fer. 4 in Letaniis,Rogation Wednesday
4615,"Florentii, Episc.","Florentius, Bishop of Strasbourg"
4315,Francisci Salesii,"Francis de Sales, Confessor, Bishop of Geneva and Doctor of the Church (canonized 1665)"
4316,Francisci Xaverii,"Francis Xavier, Confessor, Apostle of India and Japan (canonized in 1622)"
