id,feast_code,name,description
1903,01008000,Hebd. Adventus,Weekdays in Advent
1890,01018000,Hebd. 1 Adventus,1st week of Advent
1892,01028000,Hebd. 2 Adventus,2nd week of Advent
1895,01038000,Hebd. 3 Adventus,3rd week of Advent
1898,01048000,Hebd. 4 Adventus,4th week of Advent
1487,01048010,Antiphonae Majores,Great 'O' Antiphons
1910,02008000,Hebd. Nat. Dom.,Weekdays in Christmastide
1962,02010108,"Octava Nat. Domini,8",In week after Octave of Christmas
1954,02122508,"Nativitas Domini,8",In week after Christmas
2017,02122608,"Stephani,8",In week after Stephen
1939,02122708,"Joannis Evang.,8",In week after John the Evangelist
2744,02122800,Nat. Innocentium,Holy Innocents
1953,02122808,"Nat. Innocentium,8",In week after Holy Innocents
1912,04008000,Hebd. per annum,"Weekdays, Ferial Office"
1707,05010608,"Epiphania,8",In week after Epiphany
2127,05010800,Die 3 p. Epiphaniam,"2nd day after Epiphany (3rd day ""of"" Epiphany)"
1583,05011018,"Dom. 1 p. Epiph.,8",In the week following the 1st Sunday after Epiphany
1608,05021008,"Dom. 2 p. Epiph.,8",In the week following the 2nd Sunday after Epiphany
1916,06018000,Hebd. Septuagesimae,Week after Septuagesima
1917,06028000,Hebd. Sexagesimae,Week after Sexagesima
1914,06038000,Hebd. Quinquagesimae,Week after Quinquagesima
1913,07008000,Hebd. Quadragesimae,Weekdays in Lent
1891,07018000,Hebd. 1 Quad.,1st week of Lent
1894,07028000,Hebd. 2 Quad.,2nd week of Lent
1897,07038000,Hebd. 3 Quad.,3rd week of Lent
1900,07048000,Hebd. 4 Quad.,4th week of Lent
1907,07058000,Hebd. de Passione,5th week of Lent
1915,07068000,Hebd. Sancta,Holy Week
1930,08000000,In tempore Paschae,"General, Eastertide"
1701,08001000,Dominica TP,"Sundays, Eastertide"
1860,08002000,Feria 2 TP,"Mondays, Eastertide"
1864,08003000,Feria 3 TP,"Tuesdays, Eastertide"
1867,08004000,Feria 4 TP,"Wednesdays, Eastertide"
1870,08005000,Feria 5 TP,"Thursdays, Eastertide"
1873,08006000,Feria 6 TP,"Fridays, Eastertide"
2015,08007000,Sabbato TP,"Saturdays, Eastertide"
1918,08008000,Hebd. TP,"Weekdays, Eastertide"
1688,08011000,Dom. Resurrectionis,Easter Sunday
1687,08011008,"Dom. Resurrect.,8",In week after Easter Sunday
1733,08012000,Fer. 2 p. Pascha,Easter Monday
1762,08013000,Fer. 3 p. Pascha,Easter Tuesday
1793,08014000,Fer. 4 p. Pascha,Easter Wednesday
1820,08015000,Fer. 5 p. Pascha,Easter Thursday
1847,08016000,Fer. 6 p. Pascha,Easter Friday
2008,08017000,Sabbato in Albis,Easter Saturday
1969,08020100,Pascha Annotinum,Memorial of past year's Easter
1963,08021000,Octava Paschae,"Octave of Easter (also ""Dominica in Albis"")"
1964,08021008,"Octava Paschae,8",In 2nd week after Easter
1732,08022000,Fer. 2 p. Oct.Pasch.,"Monday, 2nd week after Easter"
1761,08023000,Fer. 3 p. Oct.Pasch.,"Tuesday, 2nd week after Easter"
1792,08024000,Fer. 4 p. Oct.Pasch.,"Wednesday, 2nd week after Easter"
1819,08025000,Fer. 5 p. Oct.Pasch.,"Thursday, 2nd week after Easter"
1846,08026000,Fer. 6 p. Oct.Pasch.,"Friday, 2nd week after Easter"
1573,08026010,De Sancta Lancea,The Holy Lance; on the Friday after the Octave of Easter
1995,08027000,Sabb. p. Oct. Pasch.,"Saturday, 2nd week after Easter"
1893,08028000,Hebd. 2 p. Pascha,2nd week after Easter
1609,08031000,Dom. 2 p. Pascha,2nd Sunday after Easter
1610,08031008,"Dom. 2 p. Pascha,8",In 3rd week after Easter
1719,08032000,Fer. 2 Hebd. 3 Pasc.,"Monday, 3rd week after Easter"
1750,08033000,Fer. 3 Hebd. 3 Pasc.,"Tuesday, 3rd week after Easter"
1780,08034000,Fer. 4 Hebd. 3 Pasc.,"Wednesday, 3rd week after Easter"
1809,08035000,Fer. 5 Hebd. 3 Pasc.,"Thursday, 3rd week after Easter"
1835,08036000,Fer. 6 Hebd. 3 Pasc.,"Friday, 3rd week after Easter"
