id,name,feast_code
1941,LACUNA,00000000
1944,LITURA,00000001
1927,In tempore Adventus,01000000
1657,Dom. Adventus,01001000
1709,Fer. 2 Adventus,01002000
1740,Fer. 3 Adventus,01003000
1769,Fer. 4 Adventus,01004000
1981,Sabb. Adventus,01007000
1903,Hebd. Adventus,01008000
1581,Dom. 1 Adventus,01011000
1712,Fer. 2 Hebd. 1 Adv.,01012000
1743,Fer. 3 Hebd. 1 Adv.,01013000
1773,Fer. 4 Hebd. 1 Adv.,01014000
1803,Fer. 5 Hebd. 1 Adv.,01015000
1829,Fer. 6 Hebd. 1 Adv.,01016000
2004,Sabbato Hebd. 1 Adv.,01017000
1890,Hebd. 1 Adventus,01018000
1606,Dom. 2 Adventus,01021000
1714,Fer. 2 Hebd. 2 Adv.,01022000
1745,Fer. 3 Hebd. 2 Adv.,01023000
1775,Fer. 4 Hebd. 2 Adv.,01024000
1805,Fer. 5 Hebd. 2 Adv.,01025000
1831,Fer. 6 Hebd. 2 Adv.,01026000
2005,Sabbato Hebd. 2 Adv.,01027000
1892,Hebd. 2 Adventus,01028000
1977,Q.T. Adventus,01030009
1628,Dom. 3 Adventus,01031000
1717,Fer. 2 Hebd. 3 Adv.,01032000
1748,Fer. 3 Hebd. 3 Adv.,01033000
1778,Fer. 4 Hebd. 3 Adv.,01034000
1795,Fer. 4 Q.T. Adventus,01034009
1808,Fer. 5 Hebd. 3 Adv.,01035000
1823,Fer. 5 Q.T. Adventus,01035009
1834,Fer. 6 Hebd. 3 Adv.,01036000
1850,Fer. 6 Q.T. Adventus,01036009
2006,Sabbato Hebd. 3 Adv.,01037000
1996,Sabb. Q.T. Adventus,01037009
1895,Hebd. 3 Adventus,01038000
1635,Dom. 4 Adventus,01041000
1721,Fer. 2 Hebd. 4 Adv.,01042000
1752,Fer. 3 Hebd. 4 Adv.,01043000
1782,Fer. 4 Hebd. 4 Adv.,01044000
1812,Fer. 5 Hebd. 4 Adv.,01045000
1837,Fer. 6 Hebd. 4 Adv.,01046000
2007,Sabbato Hebd. 4 Adv.,01047000
1898,Hebd. 4 Adventus,01048000
1487,Antiphonae Majores,01048010
1910,Hebd. Nat. Dom.,02008000
2159,Octava Nat. Domini,02010100
1962,"Octava Nat. Domini,8",02010108
4223,Circumcisio Domini,02010110
2160,Octava Stephani,02010200
2155,Oct. Joannis Evang.,02010300
2156,Oct. Nat. Innocent.,02010400
4510,Vigilia Epiphaniae,02010500
2729,Die 5 a. Nat. Domini,02122100
2728,Die 3 a. Nat. Domini,02122300
2768,Vigilia Nat. Domini,02122400
2745,Nativitas Domini,02122500
1954,"Nativitas Domini,8",02122508
2757,Stephani,02122600
2017,"Stephani,8",02122608
2740,Joannis Evang.,02122700
1939,"Joannis Evang.,8",02122708
2744,Nat. Innocentium,02122800
1953,"Nat. Innocentium,8",02122808
2730,Die 5 p. Nat. Domini,02122900
2731,Die 6 p. Nat. Domini,02123000
2732,Die 7 p. Nat. Domini,02123100
1929,In tempore Nat.,03000000
1675,Dom. p. Nat. Dom.,03021000
1731,Fer. 2 p. Nat. Dom.,03022000
1760,Fer. 3 p. Nat. Dom.,03023000
1791,Fer. 4 p. Nat. Dom.,03024000
1818,Fer. 5 p. Nat. Dom.,03025000
1844,Fer. 6 p. Nat. Dom.,03026000
1993,Sabb. p. Nat. Dom.,03027000
1677,Dom. p. Oct. Nat.,03031000
1874,Fest. per annum,04000000
1684,Dom. per annum,04001000
1859,Fer. 2 per annum,04002000
1863,Fer. 3 per annum,04003000
1866,Fer. 4 per annum,04004000
1869,Fer. 5 per annum,04005000
1872,Fer. 6 per annum,04006000
2011,Sabbato per annum,04007000
1912,Hebd. per annum,04008000
1928,In tempore Epiph.,05000000
1669,Dom. p. Epiphaniam,05001000
2178,Vigilia Epiphaniae,05010500
2135,Epiphania,05010600
1707,"Epiphania,8",05010608
2126,Die 2 p. Epiphaniam,05010700
2127,Die 3 p. Epiphaniam,05010800
2128,Die 4 p. Epiphaniam,05010900
2129,Die 5 p. Epiphaniam,05011000
2103,Dom. 1 p. Epiphaniam,05011010
