id,date_created,date_updated,name,description,feast_code,notes,month,day,prefix,created_by_id,last_updated_by_id
4170,2023-06-07 20:15:52.576858+00,2023-07-17 18:39:40.569677+00,Aloisii Gonzagae,"Aloysius (Luigi) Gonzaga, Confessor, Patron of youthful Catholic students",14062120,"Holweck, p. 52;",6,21,14,,
4171,2023-06-07 20:15:52.71256+00,2023-07-17 18:39:40.570953+00,Alphonsi Mariae de Ligorio,"Alphonsus Maria de Liguori, Bishop, Confessor, Doctor of the Church",14080210,"Holweck, p. 53;",8,2,14,,
4172,2023-06-07 20:15:54.641202+00,2023-07-17 18:39:40.580825+00,Andreae Avellini,"Andrew, Avellino (Lancelotto), Confessor",14111010,"Holweck, p. 72;",11,10,14,,
2211,2023-06-07 20:15:56.379185+00,2023-07-17 18:39:40.588189+00,Annuntiatio Mariae,Annunciation of Mary (Lady Day),14032500,,3,25,14,,
4183,2023-06-07 20:16:12.313272+00,2023-07-17 18:39:40.665678+00,BMV Immaculatae a Sacro Numismate,Our Lady of the Miraculous Medal,14112700,Beatae Mariae Virginis a Sacro Numismate;,11,27,14,,
4179,2023-06-07 20:16:11.45604+00,2023-07-17 18:39:42.367563+00,BMV a Rosario,Our Lady of the Rosary,14100730,"Holweck, p. 674; Beatae Mariae Virginis de Rosario;",10,7,14,,
4267,2023-06-07 20:16:11.609463+00,2023-07-17 18:39:40.723041+00,BMV ab Exilio,Our Lady of Exile (on the third Sunday after Epiphany),15031050,,,,15,,
4180,2023-06-07 20:16:11.754347+00,2023-07-17 18:39:40.66084+00,BMV de Bono Consilio,Our Lady of Good Counsel,14042600,"Holweck, p. 674; Beatae Mariae Virginis de Bono Consilio;",4,26,14,,
4181,2023-06-07 20:16:11.894755+00,2023-07-17 18:39:40.662015+00,BMV de Guadalupe,Our Lady of Guadalupe,14121210,"Holweck, p. 676; Beatae Mariae Virginis de Guadalupe;",12,12,14,,
4268,2023-06-07 20:16:12.036003+00,2023-07-17 18:39:40.663211+00,BMV de Monte Carmelo,Our Lady of Mount Carmel,14071610,,,,14,,
4182,2023-06-07 20:16:12.188235+00,2023-07-17 18:39:40.66443+00,BMV de Perpetuo Succursu,Our Lady of Perpetual Help,14062730,Beatae Mariae Virginis de Perpetuo Succursu;,6,27,14,,
4566,2023-06-07 20:23:40.826414+00,2024-07-12 03:25:19.580465+00,"Basilicae BMV de Martyribus Ulyssipponensis, in dedicatione","Dedication of the Basilica of Our Lady of the Martyrs, Lisbon",14051320,,5,13,14,,613
4551,2023-06-07 20:16:15.465938+00,2023-07-17 18:39:42.368767+00,Camilli de Lellis,"Camillus de Lellis, Confessor, Founder of the Canons Regular of a Good Death (Infirmis Ministrantium)",14071820,"Holweck, p. 186; July 14, 15, or 18;",7,18,14,,
4273,2023-06-07 20:16:16.062142+00,2023-07-17 18:39:40.690346+00,"Caprasii, Abb.","Caprasius, Abbot of Lerins",14060110,,,,14,,
2522,2023-06-07 20:16:20.435262+00,2023-07-17 18:39:40.716979+00,Cleophae,"Cleophas, father of James the Less",14092510,,9,25,14,,
1502,2023-06-07 20:16:22.585942+00,2023-07-17 18:39:40.730492+00,Comm. Apostolorum TQ,"Common of Apostles, Lent",12701000,,,,12,,
2215,2023-06-07 20:16:43.855683+00,2023-07-17 18:39:40.816274+00,Cuthberti,"Cuthbert, Bishop of Lindisfarne",14032000,,3,20,14,,
2674,2023-06-07 20:16:50.15588+00,2023-07-17 18:39:42.354201+00,De Imagine Domini,The Icon of our Lord Saviour,14110900,,11,9,14,,
1573,2023-06-07 20:16:53.197819+00,2023-07-17 18:39:40.865417+00,De Sancta Lancea,The Holy Lance; on the Friday after the Octave of Easter,08026010,,,,08,,
4616,2024-07-14 22:55:13.938733+00,2024-07-14 22:55:13.938757+00,De corona domini,Crown of the Lord,14050430,Also “De spinea corona” – “feast of the Crown of Thorns” in rubrics of some sources; see CantusDB feast code “14081120” and https://usuarium.elte.hu/calendarlabel/322/view. (Apr 24 for Dominicans?),5,4,14,613,
2593,2023-06-07 20:17:00.861522+00,2023-07-17 18:39:40.886036+00,"Dedic. S.Salv., Mar.","Dedication of the Church of the Holy Saviour, St. Martial (Limoges)",14101340,,10,13,14,,
2231,2023-06-07 20:17:01.778854+00,2023-07-17 18:39:40.889612+00,Depositio Ludgeri,Commemoration of the Burial of Ludger,14042420,in Muenster,4,24,14,,
4497,2023-06-07 20:17:01.948116+00,2023-07-17 18:39:40.890838+00,Desiderii Lingon,"Desiderius (Didier), Martyr, Bishop of Langres",14052300,"Holweck, p. 272;",5,23,14,,
1585,2023-06-07 20:17:07.874915+00,2023-07-17 18:39:40.920994+00,Dom. 1 Quadragesimae,1st Sunday of Lent,07011000,,,,07,,
